EXPERIMENT_ID,CANONICAL_ID,CANONICAL_NAME,R2_REFERENCE_COUNT,SELECTED_FILES,SELECTED_BYTES,RUNNER_FILES,PROTOCOL_FILES,OUTPUT_OR_RAW_FILES,AUTHORITY_OR_FREEZE_FILES,UNCLASSIFIED_SELECTED,OUTSIDE_ROOT_EXCLUDED,COPY_OR_PROVENANCE_EXCLUDED,CROSS_CANONICAL_EXCLUDED,OTHER_CANONICAL_ROOT_EXCLUDED,RUNTIME_EXCLUDED,BLOCKS_HYDRATION,SELECTION_STATUS
EXP-001,CAN-V5-FOREST,V5 - Forest Forensic Full,34,17,14081794,1,2,8,6,4,17,0,0,0,0,False,READY_FOR_HYDRATION
EXP-002,CAN-V6-STRUCTURAL,V6 - Structural Fingerprint Vector,64,17,11556082,1,2,9,6,3,47,0,0,0,0,False,READY_FOR_HYDRATION
EXP-003,CAN-API-FP-V1,API Fingerprint Experiment V1,30,15,15789826,1,1,7,3,2,15,0,0,0,0,False,READY_FOR_HYDRATION
EXP-004,CAN-API-FP-V2,API Fingerprint Experiment V2,7,4,9325000,0,1,1,0,1,3,0,0,0,0,False,READY_FOR_HYDRATION
EXP-005,CAN-V7-CROSSMODEL,V7 - Cross-Model Deployment Localization,64,17,10933497,1,2,9,6,3,47,0,0,0,0,False,READY_FOR_HYDRATION
EXP-006,CAN-V8-CONTROL,V8 - Compositional Structural Control,64,17,13838317,1,2,6,6,5,47,0,0,0,0,False,READY_FOR_HYDRATION
EXP-007,CAN-V9-TRANSPORT,V9 - Representational Transport Operator,68,18,10149336,1,2,7,6,4,50,0,0,0,0,False,READY_FOR_HYDRATION
EXP-008,CAN-V11-CLEAN,V11 - Relational Graph / Structural Metric Clean Repair,17,17,17297002,1,2,8,7,3,0,0,0,0,0,False,READY_FOR_HYDRATION
EXP-009,CAN-V12-TOPOLOGY,V12 - Relational Topology Causal Map,77,25,24265435,3,2,8,8,3,47,0,0,0,5,False,READY_FOR_HYDRATION
EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,42,21,517449214,0,0,3,11,3,21,0,0,0,0,False,READY_FOR_HYDRATION
EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,57,51,2472110487,3,0,9,19,19,1,4,0,0,1,False,READY_FOR_HYDRATION
EXP-012,CAN-F2-B,F2-B - Corrected External Rarity,939,49,20753393,2,1,13,5,27,717,0,0,162,11,False,READY_FOR_HYDRATION
EXP-013,CAN-WF1-P0,WF1-P0 - Historical Corpus Bridge,27,25,346125402,2,1,7,7,8,0,2,0,0,0,False,READY_FOR_HYDRATION
EXP-014,CAN-WF1-A,WF1-A - Corrective Causal / Topology,461,139,55276577,7,9,34,40,43,0,206,2,111,3,False,READY_FOR_HYDRATION
EXP-015,CAN-WF1-B,WF1-B - External Population Confirmation,214,111,1872527279,3,7,25,19,59,101,0,0,0,2,False,READY_FOR_HYDRATION
EXP-016,CAN-WF2,WF2 - Prospective Cross-System Confirmation,31879,2401,74770933,14,11,2206,71,45,0,35,13,0,29430,False,READY_FOR_HYDRATION
