RUN_ID,SOURCE_CLUSTER,TOTAL_FILES,PRIMARY_FILES,RUNNER_FILES,PROTOCOL_FILES,RESULT_FILES,AUTHORITY_FILES,COPY_FILES,RUNTIME_FILES,CLUSTER_SCORE,CLUSTER_RANK
RUN-001,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD,260,5,8,24,88,39,255,0,75,1
RUN-002,C:\RSOS\RSOS  Python Results\V11_OPENAI_RELATIONAL_GRAPH_FINGERPRINT_FINAL,15,15,1,2,3,5,0,0,60,1
RUN-002,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,28,0,2,4,6,10,28,0,34,2
RUN-003,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR,16,16,1,2,5,5,0,0,67,1
RUN-004,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R1,28,28,1,0,9,5,0,0,83,1
RUN-004,C:\RSOS\Training data\RUN_F1_DEV_LMARENA_BLIND_R1.py,1,1,1,0,0,0,0,0,9,2
RUN-004,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,52,0,2,0,17,10,52,0,3,3
RUN-004,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,0,0,0,0,1,4
RUN-004,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,0,0,0,0,1,5
RUN-004,C:\RSOS\Training data\__pycache__,1,0,0,0,0,0,0,1,-2,6
RUN-005,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R2_HARDENED,16,16,0,0,5,7,0,0,59,1
RUN-005,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,28,0,0,0,9,11,28,0,15,2
RUN-005,C:\RSOS\Training data\RUN_F1_DEV_LMARENA_BLIND_R2_HARDENED.ps1,1,1,1,0,0,0,0,0,9,3
RUN-005,C:\RSOS\Training data\RUN_F1_DEV_LMARENA_BLIND_R2_HARDENED.py,1,1,1,0,0,0,0,0,9,4
RUN-005,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,1,0,0,0,4,5
RUN-005,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,1,0,0,0,4,6
RUN-005,C:\RSOS\Training data\training data,1,1,0,0,0,0,0,0,1,7
RUN-005,C:\RSOS\Training data\__pycache__,1,0,0,0,0,0,0,1,-2,8
RUN-006,C:\RSOS\Training data\F1_DEV_LMARENA_BLIND_R3_HARDENED,22,22,2,0,7,8,0,0,91,1
RUN-006,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,41,0,4,0,13,14,41,0,45,2
RUN-006,C:\RSOS\Training data\RUN_F1_DEV_LMARENA_BLIND_R3_HARDENED.ps1,1,1,1,0,0,0,0,0,9,3
RUN-006,C:\RSOS\Training data\RUN_F1_DEV_LMARENA_BLIND_R3_HARDENED.py,1,1,1,0,0,0,0,0,9,4
RUN-006,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,1,0,0,0,4,5
RUN-006,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,1,0,0,0,4,6
RUN-006,C:\RSOS\Training data\training data,1,1,0,0,0,0,0,0,1,7
RUN-006,C:\RSOS\Training data\__pycache__,1,0,0,0,0,0,0,1,-2,8
RUN-007,C:\RSOS\Training data\F1_DEV_R4_V12_GRAPH_CALIBRATION,22,21,2,0,5,4,0,1,66,1
RUN-007,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,40,0,4,0,10,7,39,1,10,2
RUN-007,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,0,1,0,0,5,3
RUN-007,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,0,1,0,0,5,4
RUN-007,C:\RSOS\Training data\training data,1,1,0,0,0,0,0,0,1,5
RUN-008,C:\RSOS\Training data\F1_DEV_R5_V12_SPECIFICITY_OPERATOR,27,26,2,0,6,4,0,1,74,1
RUN-008,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,0,1,0,0,5,2
RUN-008,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,0,1,0,0,5,3
RUN-008,C:\RSOS\Training data\training data,1,1,0,0,0,0,0,0,1,4
RUN-008,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,48,0,4,0,12,7,47,1,0,5
RUN-009,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION,82,81,4,2,12,29,0,1,271,1
RUN-009,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,10,9,3,0,3,1,0,1,44,2
RUN-009,C:\RSOS\RSOS_EXPERIMENTS_WF3_GENEALOGY_POPULATION_CONFIRMATION,1,1,0,0,0,1,0,0,5,3
RUN-009,C:\RSOS\F1_FINAL_COMPLETE,1,1,0,0,0,0,0,0,1,4
RUN-009,C:\RSOS\F1_FINAL_LOCAL,1,1,0,0,0,0,0,0,1,5
RUN-009,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip,1,1,0,0,0,0,0,0,1,6
RUN-009,C:\RSOS\Training data\F2_A_WILDCHAT_RARITY_RUNNER.zip.sha256,1,1,0,0,0,0,0,0,1,7
RUN-010,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,622,7,39,28,181,136,611,4,288,1
