SOURCE_PATH,CLASS,SCIENTIFIC_NEGATIVE,METHODOLOGICAL_INVALIDATION,PRESERVE
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\pip\_internal\utils\__pycache__\retry.cpython-313.pyc,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\pip\_internal\utils\retry.py,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__\retry.cpython-313.pyc,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\pip\_vendor\urllib3\util\retry.py,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_score\Lib\site-packages\pip\_internal\utils\__pycache__\retry.cpython-313.pyc,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_score\Lib\site-packages\pip\_internal\utils\retry.py,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_score\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__\retry.cpython-313.pyc,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_score\Lib\site-packages\pip\_vendor\urllib3\util\retry.py,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\WF2_ACTIVE_SCORE_PRE_ADJUDICATION_AUDIT\WF2_FINAL_ADJUDICATION_TECHNICAL_FAILURE_01_MISSING_PYARROW.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\00_CONTROL\WF2_ACTIVE_SCORE_PRE_ADJUDICATION_AUDIT\WF2_PASSIVE_ADJUDICATION_TECHNICAL_FAILURE_02_SKLEARN_MISMATCH.txt,TECHNICAL_EXECUTION_FAILURE_OR_RETRY,NO,NOT_AUTOMATIC,YES
