EXPERIMENT_ID,CANONICAL_ID,CANONICAL_NAME,TOTAL_REFERENCES,ELIGIBLE_PRIMARY,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE,CROSS_CANONICAL_OVERLAP,SENSITIVE_EXCLUDED,MISSING_SOURCE,TOTAL_REFERENCED_BYTES,ELIGIBLE_PRIMARY_BYTES,UNCLASSIFIED_ELIGIBLE,TOP_SOURCE_CLUSTER,TOP_CLUSTER_FILES,AUDIT_STATUS
EXP-001,CAN-V5-FOREST,V5 - Forest Forensic Full,34,0,34,0,0,0,0,71603994,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-002,CAN-V6-STRUCTURAL,V6 - Structural Fingerprint Vector,64,0,64,0,0,0,0,39212996,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-003,CAN-API-FP-V1,API Fingerprint Experiment V1,30,0,30,0,0,0,0,31579652,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-004,CAN-API-FP-V2,API Fingerprint Experiment V2,7,0,7,0,0,0,0,18627278,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-005,CAN-V7-CROSSMODEL,V7 - Cross-Model Deployment Localization,64,0,64,0,0,0,0,35728174,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-006,CAN-V8-CONTROL,V8 - Compositional Structural Control,64,0,64,0,0,0,0,46235120,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-007,CAN-V9-TRANSPORT,V9 - Representational Transport Operator,68,0,68,0,0,0,0,34408443,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-008,CAN-V11-CLEAN,V11 - Relational Graph / Structural Metric Clean Repair,17,0,17,0,0,0,0,17297002,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-009,CAN-V12-TOPOLOGY,V12 - Relational Topology Causal Map,77,0,77,0,0,0,0,54622706,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-010,CAN-F1-FINAL,F1 - Blind Longitudinal Rediscovery Final,42,0,42,0,0,0,0,2791870666,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-011,CAN-F2-EXTERNAL,F2 - External Population Rarity,57,0,57,0,0,0,0,2472402017,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-012,CAN-F2-B,F2-B - Corrected External Rarity,939,0,939,0,0,0,0,2455285226,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-013,CAN-WF1-P0,WF1-P0 - Historical Corpus Bridge,27,0,27,0,0,0,0,354584360,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-014,CAN-WF1-A,WF1-A - Corrective Causal / Topology,461,0,461,0,0,0,0,1980791575,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-015,CAN-WF1-B,WF1-B - External Population Confirmation,214,0,214,0,0,0,0,1884167182,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
EXP-016,CAN-WF2,WF2 - Prospective Cross-System Confirmation,31879,0,31879,0,0,0,0,953620565,0,0,,0,READY_FOR_AUTHORITATIVE_SELECTION
