SEQUENCE_NO,RUN_ID,CANONICAL_ID,CANONICAL_NAME,HISTORICAL_STATUS,SELECTION_SOURCE,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,SIZE_BYTES,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR,ORIGINAL_PHASE8G_DESTINATION,HYDRATION_VERSION
1,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,01_PROTOCOL,1781,db269f2d88445dc8b2088c44f9f898def4db950aeb74925734a443a065e1ee02,db269f2d88445dc8b2088c44f9f898def4db950aeb74925734a443a065e1ee02,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\01_PROTOCOL\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,PHASE8G_ORIGINAL_VERIFIED
2,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,09_FREEZE,566,8cf8bf55cd119fc3765b7fd70e7a8b054d341d3f73418dfe44a2b4470bfcc4cc,8cf8bf55cd119fc3765b7fd70e7a8b054d341d3f73418dfe44a2b4470bfcc4cc,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,PHASE8G_ORIGINAL_VERIFIED
3,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,09_FREEZE,4503233,6a755c68720599a28e439757c762cbdb1f9ccb7df74f479d6c58cdb502e9b886,6a755c68720599a28e439757c762cbdb1f9ccb7df74f479d6c58cdb502e9b886,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,PHASE8G_ORIGINAL_VERIFIED
4,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,05_OUTPUTS,563940,749445ad7bfa7761ab3ea71ce0bb5bc81d3b227ed8bbea27c9a72349cf092e5a,749445ad7bfa7761ab3ea71ce0bb5bc81d3b227ed8bbea27c9a72349cf092e5a,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,PHASE8G_ORIGINAL_VERIFIED
5,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,05_OUTPUTS,136,d849789308673608b57934abf1a0a9e31124fb6589fff78105eeacdddfb02eb2,d849789308673608b57934abf1a0a9e31124fb6589fff78105eeacdddfb02eb2,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,PHASE8G_ORIGINAL_VERIFIED
6,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,05_OUTPUTS,563,a6a34f975f94d5284f4f4522fdb8749cefb1eae90d369b247abd6238ca3cbc0c,a6a34f975f94d5284f4f4522fdb8749cefb1eae90d369b247abd6238ca3cbc0c,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,PHASE8G_ORIGINAL_VERIFIED
7,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,09_FREEZE,1364,67a9b8a93982f640b3cf8d29d601d9e3a86586422926a84ea12cb46e04e78b10,67a9b8a93982f640b3cf8d29d601d9e3a86586422926a84ea12cb46e04e78b10,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\09_FREEZE\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,PHASE8G_ORIGINAL_VERIFIED
8,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,05_OUTPUTS,5725,fbd4a8f39d91e33cdeaedf4df9c9c8a5c35f89ca53c093cd8347b2edde2460fc,fbd4a8f39d91e33cdeaedf4df9c9c8a5c35f89ca53c093cd8347b2edde2460fc,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\05_OUTPUTS\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,PHASE8G_ORIGINAL_VERIFIED
9,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\07_ADJUDICATION\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,07_ADJUDICATION,4306,3fb667a12ba504215d4b0207c12831dacdd7826dab7ff8c01f3ceab754613efd,3fb667a12ba504215d4b0207c12831dacdd7826dab7ff8c01f3ceab754613efd,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\07_ADJUDICATION\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,PHASE8G_ORIGINAL_VERIFIED
10,RUN-001,CAN-V6-CLEAN,V6 Clean - Confirmatory Fingerprint Replication,CONFIRMATORY_RUN,PHASE8F_R2_PRESERVATION_MODE,C:\RSOS\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,03_RUNNER,31588,06f8becc2373a3b959e834933709f06f9d5ba972dda204f3e0c28e84df275bac,06f8becc2373a3b959e834933709f06f9d5ba972dda204f3e0c28e84df275bac,True,COPIED_AND_VERIFIED,,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\90_RUN_RECORDS\RUN-001__V6_Clean_Confirmatory_Fingerprint_Replication\03_RUNNER\SOURCE\V6_CLEAN_CONFIRMATORY_BUILD\EXTRACTED\API_FINGERPRINT_EXPERIMENT_V1\RUN_API_FINGERPRINT_V1.py,PHASE8G_ORIGINAL_VERIFIED
