split,contrast,N,difference,p,positive,nominal_gate
A,TOPOLOGY,40,-0.35625,0.9496410071798564,False,False
A,DIRECTION,40,1.69375,1.999960000799984e-05,True,True
A,PRESERVATION,40,1.01875,1.999960000799984e-05,True,True
A,HELDOUT_TOPOLOGY,40,-0.05,0.8232035359292814,False,False
A,HELDOUT_DIRECTION,40,0.10625,0.06369872602547949,True,False
B,TOPOLOGY,40,-0.5625,0.997500049999,False,False
B,DIRECTION,40,1.35,1.999960000799984e-05,True,True
B,PRESERVATION,40,0.70625,5.999880002399952e-05,True,True
B,HELDOUT_TOPOLOGY,40,-0.1875,0.9888202235955281,False,False
B,HELDOUT_DIRECTION,40,0.04375,0.2623347533049339,True,False
