seed,condition,rep,response_id,response_sha256,RETURN,REENTRY,GENERATIVE_REUSE,NEXT_TRANSFORMATION,RECURRENCE,PRESERVATION,META_CONTROL,COMPRESSION_USE,RELATIONAL_CONTINUITY,CLOSED_TRAJECTORY,FOREST_SCORE,REENTRY_CLUSTER,CONTROL_CLUSTER,PRESERVATION_CLUSTER,TRAJECTORY_CLUSTER,MULTISCALE_SCORE
0,A100_AUTHENTIC,0,resp_064d049d938dfea9006aa2fd81d0d887d2808f3a521df414c1,c4211df5d8b89597d5602e9cda6d516ceb04313ef6f9ac6b86da518e8778608e,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2
0,A100_AUTHENTIC,1,resp_0301e45b63c21a4f006aa2fd81d2a087d2be01a584ffd95747,74dd769857ae16eb0490b3fe7e0da27f73adf32a0cd0741b0c70a1cf4e25585e,1,0,1,0,0,1,1,0,0,0,4,0,0,0,0,4
0,A100_AUTHENTIC,2,resp_0abdeb933233c244006aa2fd81d8e487d28f4d71f1f305f67a,2f690f8a7592b48d6daf0f5663b101ab802dc5c258e380bc4cb8fa8edfca6c28,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,A100_AUTHENTIC,3,resp_09b9220a1dc886c5006aa2fd81d74c87d28ed91c9674c0dd1e,7bcefefd47b108a4fe1001693cde217092274d63a1cbd8f289b431bfa910466d,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,4
0,A75_DOSE,0,resp_02de5800567287e8006aa2fd81db6087d29a5d101d95c428d1,c8f2dfa7866af34ca083415cd34d6f4d3218ae9ca75600f75f12b3e6c26b4ae2,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2
0,A75_DOSE,1,resp_05bb76230372bcbf006aa2fd81df2887d2b0780d2fd57919b0,9c91b138b8ba146e44505a171a5b5adae39a913902d3a55a6c658a0c9b7d7fe9,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2
0,A75_DOSE,2,resp_03a6862c3441a8ac006aa2fd81e24487d2bbdd0f715b5f76a5,daca7317cc591c659e3820ddced3dae76115cbf02d9450d4e8236252e27c1728,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,3
0,A75_DOSE,3,resp_0fc04355b2a9211d006aa2fd81da9487d2ae39528d59b69abb,a43fb9e8ad38ec612aa18af03f154da41871c6101d377203cada4062a45d4103,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,A50_DOSE,0,resp_054b0bfca9c23ca4006aa2fd81d96887d29f64ae96a48fd917,b3c2856c5de106645809cda66aaa97c8c5b1c9b275c3413d6bc469ae4fbc0d9f,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,4
0,A50_DOSE,1,resp_010e3f3a920e63c1006aa2fd81ddf087d2a878a89bca99cf70,4c61ab00a45a72641e49a4fa4067e09dd8a1a70db729a9549d1d2ea5d6507174,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,4
0,A50_DOSE,2,resp_0de1694b93ce65e3006aa2fd81d29487d299be118750415d8c,f894b5610e19cde2ad4206fcd3d15b22c1455b3b0871ef0f5e8611986c5f15e8,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,4
0,A50_DOSE,3,resp_0d535e366ae40a59006aa2fd81dad487d28472b59c44dbfb2b,3987fb7d68df603a73eb652c1e984d499291fa9e3c2223ca8473abec15e5bc77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A25_DOSE,0,resp_0ebdd47328181996006aa2fd85537087d2a55197d57ea0eb2a,1ebcca7ce13c4b1584fba1574b48b0cbfd01d6dd62b071089294ebfcecbeaa56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,A25_DOSE,1,resp_0c19d782aff317fa006aa2fd855d2887d2b7ce7cc97aa21abf,b855d204165d2235a8f4b33774756e4f6ecfb46762c75514c5e43e4e2c16781f,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,A25_DOSE,2,resp_0ddf822bdb08e4cb006aa2fd8577e087d293f6ed87579bafe0,7b13a3478a3f351a23100eeb8076b130ccb8d20ce352142571e6972ee4263b8d,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,A25_DOSE,3,resp_084b396215c93c49006aa2fd85616887d2bb3eaca04d972cb2,63131d1aa3493a2d9c30129125b95e18029630ba3877c9241db536bcf0f41b65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S1_SURFACE_PARAPHRASE,0,resp_06091d0001aadc3b006aa2fd8589b087d29ffd43d9a88f4fe2,87999cac24f8d5310da42a7f349f3c47a8d2cc13621b993c92651cab674eb2d0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2
0,S1_SURFACE_PARAPHRASE,1,resp_0019a3f23e06f6e9006aa2fd857f2087d2a4b6454102a76d0e,2f8babb08e99d554913031f3ae35121971c40bf62f50782362106f8ec3545707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S1_SURFACE_PARAPHRASE,2,resp_0a4eafa50d0b956a006aa2fd85baf087d2b1ef6fc365c51961,a1ddaff78f757fa7fc20c7392a0ee824de72210719760f88ca03e96df679c907,0,0,0,1,0,1,1,0,0,0,3,0,1,0,0,4
0,S1_SURFACE_PARAPHRASE,3,resp_01a443b78598f4c7006aa2fd85b65087d2906831bd52d90027,0ed10099bdc7b905f7d4eb8735d0a606e7ef929e3c052e8835749842ccf86cb2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,S2_SURFACE_PARAPHRASE,0,resp_014ff7e75c77b3a2006aa2fd85bafc87d2840a4a01d9990372,3364b48b931ef99bde69962afdf74d9cabbd9838f6ee4f103a30084739c0d82e,0,0,0,0,0,1,1,1,0,0,3,0,0,1,0,4
0,S2_SURFACE_PARAPHRASE,1,resp_0dd644c6e18671a0006aa2fd85c3e087d2bc17caf944dde4c8,1765b34e37f048cdbb02ffcdbf1ea27f8b3244b07cf15a5221952f2e6d275e7c,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,S2_SURFACE_PARAPHRASE,2,resp_04265e8d1045a74e006aa2fd85d29487d2bcd552eaaa595f7e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S2_SURFACE_PARAPHRASE,3,resp_0ad0ead4bcfbe338006aa2fd861ea087d28e5de2543a52c5e4,4ee930c346445d1ccba6496bfb046b1dcb3821d613b956eb2865e022268b16b0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2
0,S3_SURFACE_PARAPHRASE,0,resp_0190ae88423ca897006aa2fd8aa0d887d280dbf778ca8bb7ba,98d2e26a478a48f4b103f3be846ded552bdc24bf5ae65e79a1617b1434cfd472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S3_SURFACE_PARAPHRASE,1,resp_0949434c2261f287006aa2fd889a0087d2aa9642261eead40e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S3_SURFACE_PARAPHRASE,2,resp_00d61cc7752ce241006aa2fd88a61087d28741d6a9a56f7a9c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,S3_SURFACE_PARAPHRASE,3,resp_0d1e66c3aef43ef4006aa2fd88bef087d281ff035372f5c6b8,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,T_TOPOLOGY_SHUFFLED,0,resp_08dd1aa74b89b85e006aa2fd89089087d29af9209ebeb33862,dc7debaa345ec4c5146314dbe5bca629510774d011e8b834b9bf5bacfd34a935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
