partition,coordinate,N,difference,p,PASS
DEVELOPMENT,DIRECTION,50,7.89,9.99990000099999e-06,True
DEVELOPMENT,ORDER,50,4.45,9.99990000099999e-06,True
DEVELOPMENT,META_CONTROL,50,1.935,9.99990000099999e-06,True
DEVELOPMENT,PRESERVATION,50,4.045,9.99990000099999e-06,True
DEVELOPMENT,TERMINAL,50,5.2,9.99990000099999e-06,True
CONFIRMATION,DIRECTION,30,7.658333333333333,9.99990000099999e-06,True
CONFIRMATION,ORDER,30,3.8833333333333333,9.99990000099999e-06,True
CONFIRMATION,META_CONTROL,30,1.1,0.022229777702222977,True
CONFIRMATION,PRESERVATION,30,3.8916666666666666,9.99990000099999e-06,True
CONFIRMATION,TERMINAL,30,4.708333333333333,9.99990000099999e-06,True
FINAL_HOLDOUT,DIRECTION,20,7.3875,9.99990000099999e-06,True
FINAL_HOLDOUT,ORDER,20,4.75,9.99990000099999e-06,True
FINAL_HOLDOUT,META_CONTROL,20,0.6375,0.1947680523194768,False
FINAL_HOLDOUT,PRESERVATION,20,3.775,9.99990000099999e-06,True
FINAL_HOLDOUT,TERMINAL,20,4.5625,9.99990000099999e-06,True
