FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\00_PREREGISTRATION.json,00_PREREGISTRATION.json,.json,1781,2026-09-10T15:33:45.0242847Z,2026-09-10T16:34:47.3732320Z,PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\00A_PRE_API_HASH_LOCK.json,00A_PRE_API_HASH_LOCK.json,.json,566,2026-09-10T15:33:45.0555350Z,2026-09-10T16:34:47.4048736Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\01_PROMPT_MANIFEST.csv,01_PROMPT_MANIFEST.csv,.csv,4503233,2026-09-10T15:33:44.8672721Z,2026-09-10T16:34:47.3576077Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\02_RAW_API_RESPONSES.jsonl,02_RAW_API_RESPONSES.jsonl,.jsonl,6497179,2026-09-10T15:54:42.1187087Z,2026-09-10T16:23:53.9311631Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\03_REQUEST_METADATA.csv,03_REQUEST_METADATA.csv,.csv,1482847,2026-09-10T16:23:54.2766739Z,2026-09-10T16:34:47.9692904Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\04_FINGERPRINT_SCORES.csv,04_FINGERPRINT_SCORES.csv,.csv,563940,2026-09-10T16:23:54.4260786Z,2026-09-10T16:34:48.0321796Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\05_ABLATION_RESULTS.json,05_ABLATION_RESULTS.json,.json,136,2026-09-10T16:23:54.6488086Z,2026-09-10T16:34:48.0950578Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\06_CONDITION_SUMMARY.csv,06_CONDITION_SUMMARY.csv,.csv,563,2026-09-10T16:23:54.5599441Z,2026-09-10T16:34:48.0634274Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\07_STATISTICAL_TESTS.json,07_STATISTICAL_TESTS.json,.json,2800,2026-09-10T16:23:54.6338044Z,2026-09-10T16:34:48.0950578Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\08_FAILURES_RETRIES.jsonl,08_FAILURES_RETRIES.jsonl,.jsonl,245873,2026-09-10T15:33:46.8132639Z,2026-09-10T16:23:03.8849337Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\10_RESULT_HASHES.csv,10_RESULT_HASHES.csv,.csv,1364,2026-09-10T16:23:54.9027529Z,2026-09-10T16:34:48.2673261Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\11_RUN_SUMMARY.json,11_RUN_SUMMARY.json,.json,5725,2026-09-10T16:23:54.6548432Z,2026-09-10T16:34:48.1106892Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\12_FINAL_REPORT.txt,12_FINAL_REPORT.txt,.txt,4306,2026-09-10T16:23:54.6574354Z,2026-09-10T16:34:48.1106892Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
C:\RSOS\RSOS  Python Results\API_FINGERPRINT_EXPERIMENT_V1\API_FINGERPRINT_EXPERIMENT_V1_UPLOAD.zip,API_FINGERPRINT_EXPERIMENT_V1_UPLOAD.zip,.zip,2447925,2026-09-10T16:23:54.9057516Z,2026-09-10T16:34:48.9570294Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED
