model,condition,N_SEEDS,mean_total,median_total,sd_total,mean_output_tokens,mean_latency_seconds
gpt-5.6-luna,A0_AUTHENTIC,60,13.25,13.333333333333334,1.8822443229158046,140.91111111111113,3.0628112024731107
gpt-5.6-luna,A1_SURFACE_PARAPHRASE,60,8.694444444444445,8.333333333333334,1.8250110715209058,89.41666666666669,2.6536288685268827
gpt-5.6-luna,A2_SURFACE_PARAPHRASE,60,8.605555555555554,8.5,1.5676720739123169,106.02222222222221,2.6358744038475885
gpt-5.6-luna,D_DIRECTION_REVERSED,60,6.655555555555555,6.333333333333333,1.9212035880188354,131.0222222222222,3.004405057430267
gpt-5.6-luna,O_ORDER_SHUFFLED,60,11.605555555555556,11.333333333333334,2.6329018216619824,109.69444444444447,2.6644613610373598
gpt-5.6-luna,M_META_CONTROL_ABLATED,60,10.938888888888888,11.0,2.018270284269204,96.88333333333334,2.7057610458797883
gpt-5.6-luna,P_PRESERVATION_ABLATED,60,8.2,8.0,1.3587964099215966,86.41666666666669,2.4826696621047133
gpt-5.6-luna,T_TERMINAL_COUNTERFACTUAL,60,9.066666666666666,9.0,1.994153412923628,121.82222222222224,2.8203691336843706
gpt-5.6-luna,R_RECURSION_CONTROL,60,16.805555555555554,16.5,3.154103336827253,219.0388888888889,4.05358700354894
gpt-5.6-luna,X_COMPLEXITY_CONTROL,60,9.766666666666667,10.0,1.899846361118939,198.8388888888889,4.056629765033722
gpt-5.6-luna,H_AUTHENTIC_HELDOUT,60,7.866666666666666,7.666666666666667,1.8207839622778246,80.80555555555557,2.439316748248206
gpt-5.6-luna,H_DAMAGED_HELDOUT,60,4.477777777777777,4.333333333333333,1.0493773001841955,59.59444444444444,2.098424984349145
gpt-5.6-terra,A0_AUTHENTIC,60,8.683333333333332,8.666666666666666,1.4734626831784365,81.59444444444443,2.945489697986179
gpt-5.6-terra,A1_SURFACE_PARAPHRASE,60,8.6,8.5,1.6304540515796875,101.07222222222224,3.354401189751095
gpt-5.6-terra,A2_SURFACE_PARAPHRASE,60,7.372222222222223,7.166666666666666,1.8196372506056224,75.15555555555557,2.7453188127941552
gpt-5.6-terra,D_DIRECTION_REVERSED,60,7.5166666666666675,7.5,2.145748654464356,178.3666666666667,4.907337571514978
gpt-5.6-terra,O_ORDER_SHUFFLED,60,4.8,4.666666666666667,1.9467487019321665,41.988888888888894,2.0625648339589437
gpt-5.6-terra,M_META_CONTROL_ABLATED,60,7.444444444444445,7.333333333333333,1.4928160255459493,54.61111111111111,2.277731145752801
gpt-5.6-terra,P_PRESERVATION_ABLATED,60,5.200000000000001,5.0,1.4934886924835657,52.2,2.1761300921440125
gpt-5.6-terra,T_TERMINAL_COUNTERFACTUAL,60,5.844444444444446,5.666666666666667,1.674520103462163,72.77222222222221,2.6331882741716166
gpt-5.6-terra,R_RECURSION_CONTROL,60,5.777777777777778,5.5,1.8036024493647922,203.40555555555554,4.91339313586553
gpt-5.6-terra,X_COMPLEXITY_CONTROL,60,6.644444444444445,6.0,2.1670939749573153,206.17222222222225,5.5427564183870945
gpt-5.6-terra,H_AUTHENTIC_HELDOUT,60,8.744444444444444,9.0,1.7545922170365893,81.86666666666666,2.917827716138628
gpt-5.6-terra,H_DAMAGED_HELDOUT,60,2.822222222222222,2.6666666666666665,0.7627551079322318,39.2,2.063137100802527
gpt-5.6-sol,A0_AUTHENTIC,60,6.855555555555555,7.0,1.1778985831517224,70.75000000000001,3.6725946095254685
gpt-5.6-sol,A1_SURFACE_PARAPHRASE,60,6.105555555555555,6.0,1.3605854321364284,66.82222222222224,3.0998021297984653
gpt-5.6-sol,A2_SURFACE_PARAPHRASE,60,6.405555555555556,6.333333333333333,1.1384260232534174,65.26666666666668,3.599938219123416
gpt-5.6-sol,D_DIRECTION_REVERSED,60,3.5055555555555555,3.3333333333333335,1.0149386382547831,67.27222222222223,3.237868477238549
gpt-5.6-sol,O_ORDER_SHUFFLED,60,6.938888888888888,7.0,1.30260013284551,44.038888888888884,2.5699143502447344
gpt-5.6-sol,M_META_CONTROL_ABLATED,60,6.255555555555556,6.333333333333333,1.0759599868411063,52.40555555555556,2.840804086791145
gpt-5.6-sol,P_PRESERVATION_ABLATED,60,4.838888888888889,4.666666666666667,0.9999843062170912,42.63888888888889,2.6144480784734085
gpt-5.6-sol,T_TERMINAL_COUNTERFACTUAL,60,6.111111111111111,6.333333333333333,0.9381366848292808,70.3722222222222,3.2808747357792334
gpt-5.6-sol,R_RECURSION_CONTROL,60,9.016666666666667,8.0,4.261872748221597,126.12222222222222,4.978125154972076
gpt-5.6-sol,X_COMPLEXITY_CONTROL,60,3.3499999999999996,3.3333333333333335,1.3715223098177016,115.25555555555556,4.845507029692332
gpt-5.6-sol,H_AUTHENTIC_HELDOUT,60,6.35,6.333333333333333,1.0185196598749526,64.83333333333333,3.3769907103644474
gpt-5.6-sol,H_DAMAGED_HELDOUT,60,2.627777777777778,2.6666666666666665,0.7692089185172181,40.455555555555556,2.6241479674975077
