model,coordinate,condition_authentic,condition_damaged,N,mean_authentic,mean_damaged,difference,permutation_p,wilcoxon_p,holm_adjusted_p,PASS
gpt-5.6-luna,DIRECTION,A0_AUTHENTIC,D_DIRECTION_REVERSED,60,13.25,6.655555555555555,6.594444444444444,1.999960000799984e-05,8.522554721656348e-12,9.99980000399992e-05,True
gpt-5.6-luna,ORDER,A0_AUTHENTIC,O_ORDER_SHUFFLED,60,13.25,11.605555555555556,1.6444444444444446,0.00023999520009599807,0.0003129404720396842,0.00023999520009599807,True
gpt-5.6-luna,META_CONTROL,A0_AUTHENTIC,M_META_CONTROL_ABLATED,60,13.25,10.938888888888888,2.3111111111111113,1.999960000799984e-05,2.3853047211173267e-07,9.99980000399992e-05,True
gpt-5.6-luna,PRESERVATION,A0_AUTHENTIC,P_PRESERVATION_ABLATED,60,13.25,8.2,5.049999999999999,1.999960000799984e-05,9.408521033315713e-12,9.99980000399992e-05,True
gpt-5.6-luna,TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,60,13.25,9.066666666666666,4.183333333333334,1.999960000799984e-05,3.290036315284562e-11,9.99980000399992e-05,True
gpt-5.6-terra,DIRECTION,A0_AUTHENTIC,D_DIRECTION_REVERSED,60,8.683333333333332,7.5166666666666675,1.166666666666667,0.00047999040019199615,0.0008897054262343581,0.00047999040019199615,True
gpt-5.6-terra,ORDER,A0_AUTHENTIC,O_ORDER_SHUFFLED,60,8.683333333333332,4.8,3.8833333333333337,1.999960000799984e-05,1.8601452795481018e-10,9.99980000399992e-05,True
gpt-5.6-terra,META_CONTROL,A0_AUTHENTIC,M_META_CONTROL_ABLATED,60,8.683333333333332,7.444444444444445,1.2388888888888892,9.99980000399992e-05,3.8555008020447146e-05,0.0001999960000799984,True
gpt-5.6-terra,PRESERVATION,A0_AUTHENTIC,P_PRESERVATION_ABLATED,60,8.683333333333332,5.200000000000001,3.4833333333333334,1.999960000799984e-05,1.2474185493306076e-11,9.99980000399992e-05,True
gpt-5.6-terra,TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,60,8.683333333333332,5.844444444444446,2.838888888888889,1.999960000799984e-05,2.636849060553881e-10,9.99980000399992e-05,True
gpt-5.6-sol,DIRECTION,A0_AUTHENTIC,D_DIRECTION_REVERSED,60,6.855555555555555,3.5055555555555555,3.3499999999999996,1.999960000799984e-05,1.1853854979238869e-11,9.99980000399992e-05,True
gpt-5.6-sol,ORDER,A0_AUTHENTIC,O_ORDER_SHUFFLED,60,6.855555555555555,6.938888888888888,-0.08333333333333345,0.6595068098638027,0.7365706737693264,0.6595068098638027,False
gpt-5.6-sol,META_CONTROL,A0_AUTHENTIC,M_META_CONTROL_ABLATED,60,6.855555555555555,6.255555555555556,0.5999999999999999,0.003379932401351973,0.0070775308809196595,0.006759864802703946,True
gpt-5.6-sol,PRESERVATION,A0_AUTHENTIC,P_PRESERVATION_ABLATED,60,6.855555555555555,4.838888888888889,2.0166666666666666,1.999960000799984e-05,5.6480853187262527e-11,9.99980000399992e-05,True
gpt-5.6-sol,TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,60,6.855555555555555,6.111111111111111,0.7444444444444444,0.0001399972000559989,9.506973094385337e-05,0.00041999160016799666,True
