FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,68257,2026-09-10T20:42:54.5878709Z,2026-09-10T20:42:50.0862362Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-10T20:42:54.5858648Z,2026-09-10T20:42:54.5858648Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\01_RAW_RESPONSES.jsonl,01_RAW_RESPONSES.jsonl,.jsonl,8913377,2026-09-10T20:42:59.3997044Z,2026-09-10T21:08:15.1742371Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,04_RAW,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\03_FROZEN_SPECIFICATION.json,03_FROZEN_SPECIFICATION.json,.json,8690,2026-09-10T20:42:54.5878709Z,2026-09-10T20:42:54.5878709Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\04_FROZEN_SPECIFICATION_SHA256.txt,04_FROZEN_SPECIFICATION_SHA256.txt,.txt,66,2026-09-10T20:42:54.5878709Z,2026-09-10T20:42:54.5878709Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\05_FROZEN_PROMPTS.csv,05_FROZEN_PROMPTS.csv,.csv,2673921,2026-09-10T20:42:54.6035193Z,2026-09-10T20:42:54.6660157Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\06_RESPONSE_FEATURES.csv,06_RESPONSE_FEATURES.csv,.csv,1488532,2026-09-10T21:08:25.4509068Z,2026-09-10T21:08:25.5405431Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,04_RAW,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\07_SEED_LEVEL_RESULTS.csv,07_SEED_LEVEL_RESULTS.csv,.csv,491340,2026-09-10T21:08:44.8244955Z,2026-09-10T21:08:44.8775682Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,02_INPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\08_FACTORIAL_CONDITION_RESULTS.csv,08_FACTORIAL_CONDITION_RESULTS.csv,.csv,10526,2026-09-10T21:08:44.9900741Z,2026-09-10T21:08:44.9900741Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,05_OUTPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\09_UNSEEN_COMBINATION_PREDICTION.csv,09_UNSEEN_COMBINATION_PREDICTION.csv,.csv,45261,2026-09-10T21:08:45.0679187Z,2026-09-10T21:08:45.0744991Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\10_INTERACTION_REPLICATION.csv,10_INTERACTION_REPLICATION.csv,.csv,1052,2026-09-10T21:09:27.6641741Z,2026-09-10T21:09:27.6641741Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\11_FACTOR_DECODING.csv,11_FACTOR_DECODING.csv,.csv,189,2026-09-10T21:08:58.6081933Z,2026-09-10T21:08:58.6081933Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\12_EXACT_CODE_RECOVERY.csv,12_EXACT_CODE_RECOVERY.csv,.csv,8825,2026-09-10T21:08:58.6081933Z,2026-09-10T21:08:58.6081933Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\14_PREDICTION_NULL.csv,14_PREDICTION_NULL.csv,.csv,53581,2026-09-10T21:08:58.3539700Z,2026-09-10T21:08:58.3622469Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE\15_MISSING_CELLS.csv,15_MISSING_CELLS.csv,.csv,29,2026-09-10T21:08:15.4670428Z,2026-09-10T21:08:15.4670428Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-006,CAN-V8-CONTROL,True,False,True,False,False,,04_RAW,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS  Python Results\V8_COMPOSITIONAL_STRUCTURAL_CONTROL_CODE
