condition,seed,true_code,predicted_code,exact_match
D-_O-_M-_P+_T+,40,D-_O-_M-_P-_T+,D-_O-_M-_P-_T+,False
D-_O-_M-_P+_T+,41,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,42,D-_O-_M+_P-_T+,D-_O-_M+_P-_T+,True
D-_O-_M-_P+_T+,43,D-_O-_M+_P-_T+,D-_O-_M+_P-_T-,False
D-_O-_M-_P+_T+,44,D-_O-_M-_P-_T+,D-_O+_M-_P-_T+,False
D-_O-_M-_P+_T+,45,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,46,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,47,D-_O-_M-_P-_T+,D-_O-_M-_P-_T+,False
D-_O-_M-_P+_T+,48,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,49,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,50,D-_O-_M-_P-_T+,D-_O-_M-_P-_T+,True
D-_O-_M-_P+_T+,51,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,52,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,53,D-_O-_M-_P-_T+,D-_O+_M-_P-_T+,False
D-_O-_M-_P+_T+,54,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,55,D-_O-_M-_P-_T+,D-_O+_M-_P-_T+,False
D-_O-_M-_P+_T+,56,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M-_P+_T+,57,D-_O-_M-_P-_T+,D-_O+_M-_P-_T+,False
D-_O-_M-_P+_T+,58,D-_O-_M-_P-_T+,D-_O-_M-_P-_T+,False
D-_O-_M-_P+_T+,59,D-_O-_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O-_M+_P+_T-,40,D-_O-_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O-_M+_P+_T-,41,D-_O-_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O-_M+_P+_T-,42,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,43,D-_O-_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O-_M+_P+_T-,44,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,45,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,46,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,47,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,48,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,49,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,50,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,51,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,52,D-_O-_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O-_M+_P+_T-,53,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,54,D-_O-_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O-_M+_P+_T-,55,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,56,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,57,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,58,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O-_M+_P+_T-,59,D-_O-_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O+_M-_P-_T+,40,D-_O+_M-_P+_T+,D-_O-_M-_P+_T-,False
D-_O+_M-_P-_T+,41,D-_O+_M+_P-_T+,D-_O+_M+_P-_T-,False
D-_O+_M-_P-_T+,42,D-_O+_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O+_M-_P-_T+,43,D-_O+_M-_P-_T+,D-_O-_M-_P-_T-,False
D-_O+_M-_P-_T+,44,D-_O+_M+_P-_T+,D-_O+_M+_P-_T-,False
D-_O+_M-_P-_T+,45,D-_O+_M+_P-_T+,D-_O-_M+_P-_T+,False
D-_O+_M-_P-_T+,46,D-_O+_M+_P-_T+,D-_O-_M+_P-_T-,False
D-_O+_M-_P-_T+,47,D-_O+_M-_P-_T+,D-_O-_M-_P-_T-,False
D-_O+_M-_P-_T+,48,D-_O+_M-_P-_T+,D-_O+_M-_P-_T-,False
D-_O+_M-_P-_T+,49,D-_O+_M+_P-_T+,D-_O+_M+_P-_T-,False
D-_O+_M-_P-_T+,50,D-_O+_M+_P-_T+,D-_O+_M+_P-_T+,False
D-_O+_M-_P-_T+,51,D-_O+_M+_P-_T+,D-_O-_M+_P-_T+,False
D-_O+_M-_P-_T+,52,D-_O+_M+_P-_T+,D-_O-_M+_P-_T-,False
D-_O+_M-_P-_T+,53,D-_O+_M+_P+_T+,D-_O-_M+_P+_T-,False
D-_O+_M-_P-_T+,54,D-_O+_M+_P-_T+,D-_O+_M+_P-_T+,True
D-_O+_M-_P-_T+,55,D-_O+_M+_P-_T+,D-_O+_M+_P-_T-,False
D-_O+_M-_P-_T+,56,D-_O+_M-_P-_T+,D-_O-_M-_P-_T+,False
D-_O+_M-_P-_T+,57,D-_O+_M-_P-_T+,D-_O-_M-_P-_T-,False
D-_O+_M-_P-_T+,58,D-_O+_M-_P-_T+,D-_O+_M-_P-_T-,False
D-_O+_M-_P-_T+,59,D-_O+_M-_P-_T+,D-_O+_M-_P-_T+,False
D-_O+_M+_P-_T-,40,D-_O+_M-_P+_T-,D-_O-_M-_P+_T-,False
D-_O+_M+_P-_T-,41,D-_O+_M-_P+_T-,D-_O+_M-_P-_T-,False
D-_O+_M+_P-_T-,42,D-_O+_M+_P-_T-,D-_O-_M+_P-_T-,False
D-_O+_M+_P-_T-,43,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,44,D-_O+_M-_P+_T-,D-_O-_M-_P+_T-,False
D-_O+_M+_P-_T-,45,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,46,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,47,D-_O+_M-_P+_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,48,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,49,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,50,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,51,D-_O+_M-_P-_T-,D-_O-_M-_P-_T+,False
D-_O+_M+_P-_T-,52,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,53,D-_O+_M-_P-_T-,D-_O+_M-_P-_T-,True
D-_O+_M+_P-_T-,54,D-_O+_M-_P-_T-,D-_O+_M-_P-_T+,False
D-_O+_M+_P-_T-,55,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,56,D-_O+_M-_P-_T-,D-_O+_M-_P-_T-,True
D-_O+_M+_P-_T-,57,D-_O+_M-_P-_T-,D-_O+_M-_P-_T-,False
D-_O+_M+_P-_T-,58,D-_O+_M-_P-_T-,D-_O-_M-_P-_T-,False
D-_O+_M+_P-_T-,59,D-_O+_M-_P+_T-,D+_O-_M-_P+_T-,False
D+_O-_M-_P+_T+,40,D+_O-_M+_P-_T+,D+_O-_M+_P+_T-,False
D+_O-_M-_P+_T+,41,D+_O-_M-_P-_T+,D+_O-_M-_P-_T-,False
D+_O-_M-_P+_T+,42,D+_O-_M+_P-_T+,D+_O+_M+_P-_T+,False
D+_O-_M-_P+_T+,43,D+_O-_M+_P-_T+,D+_O-_M+_P-_T-,False
D+_O-_M-_P+_T+,44,D+_O-_M-_P-_T+,D+_O-_M-_P-_T+,True
D+_O-_M-_P+_T+,45,D+_O-_M+_P-_T+,D+_O-_M+_P-_T-,False
D+_O-_M-_P+_T+,46,D+_O-_M+_P-_T+,D+_O-_M+_P-_T-,False
D+_O-_M-_P+_T+,47,D+_O-_M-_P-_T+,D+_O-_M-_P-_T+,False
D+_O-_M-_P+_T+,48,D+_O-_M+_P-_T+,D+_O-_M+_P-_T+,True
D+_O-_M-_P+_T+,49,D+_O-_M-_P-_T+,D+_O-_M-_P-_T+,True
D+_O-_M-_P+_T+,50,D+_O-_M+_P-_T+,D+_O+_M+_P+_T-,False
D+_O-_M-_P+_T+,51,D+_O-_M-_P-_T+,D+_O-_M-_P+_T-,False
D+_O-_M-_P+_T+,52,D+_O-_M+_P+_T+,D+_O-_M+_P+_T-,False
D+_O-_M-_P+_T+,53,D+_O-_M-_P+_T+,D+_O-_M-_P+_T-,False
D+_O-_M-_P+_T+,54,D+_O-_M-_P-_T+,D+_O+_M-_P-_T+,False
D+_O-_M-_P+_T+,55,D+_O-_M+_P-_T+,D+_O-_M+_P-_T-,False
D+_O-_M-_P+_T+,56,D+_O-_M+_P-_T+,D+_O-_M+_P+_T+,False
D+_O-_M-_P+_T+,57,D+_O-_M+_P-_T+,D+_O+_M+_P-_T-,False
D+_O-_M-_P+_T+,58,D+_O-_M+_P-_T+,D+_O-_M+_P-_T+,True
D+_O-_M-_P+_T+,59,D+_O-_M-_P-_T+,D+_O+_M-_P-_T-,False
D+_O-_M+_P+_T-,40,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,41,D+_O-_M+_P-_T-,D+_O-_M+_P-_T-,True
D+_O-_M+_P+_T-,42,D+_O-_M+_P-_T-,D+_O+_M+_P-_T-,False
D+_O-_M+_P+_T-,43,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,44,D+_O-_M-_P-_T-,D+_O-_M-_P-_T-,True
D+_O-_M+_P+_T-,45,D+_O-_M+_P-_T-,D+_O-_M+_P-_T-,True
D+_O-_M+_P+_T-,46,D+_O-_M-_P-_T-,D+_O-_M-_P-_T-,False
D+_O-_M+_P+_T-,47,D+_O-_M+_P-_T-,D+_O+_M+_P-_T+,False
D+_O-_M+_P+_T-,48,D+_O-_M+_P-_T-,D+_O+_M+_P-_T-,False
D+_O-_M+_P+_T-,49,D+_O-_M+_P-_T-,D+_O-_M+_P-_T-,True
D+_O-_M+_P+_T-,50,D+_O-_M-_P-_T-,D+_O-_M-_P-_T-,True
D+_O-_M+_P+_T-,51,D+_O-_M-_P-_T-,D+_O-_M-_P+_T-,False
D+_O-_M+_P+_T-,52,D+_O-_M-_P-_T-,D+_O+_M-_P-_T+,False
D+_O-_M+_P+_T-,53,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,54,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,55,D+_O-_M-_P-_T-,D+_O-_M-_P-_T-,True
D+_O-_M+_P+_T-,56,D+_O-_M+_P+_T-,D+_O-_M+_P+_T-,True
D+_O-_M+_P+_T-,57,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,58,D+_O-_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O-_M+_P+_T-,59,D+_O-_M-_P-_T-,D+_O-_M-_P-_T-,True
D+_O+_M-_P-_T+,40,D+_O+_M-_P-_T+,D+_O+_M-_P-_T+,True
D+_O+_M-_P-_T+,41,D+_O+_M+_P-_T+,D+_O+_M+_P-_T+,True
D+_O+_M-_P-_T+,42,D+_O+_M+_P-_T+,D-_O+_M+_P-_T+,False
D+_O+_M-_P-_T+,43,D+_O+_M+_P-_T+,D+_O+_M-_P-_T+,False
D+_O+_M-_P-_T+,44,D+_O+_M-_P+_T+,D+_O+_M-_P+_T-,False
D+_O+_M-_P-_T+,45,D+_O+_M-_P+_T+,D-_O+_M-_P+_T-,False
D+_O+_M-_P-_T+,46,D+_O+_M-_P-_T+,D-_O+_M-_P-_T+,False
D+_O+_M-_P-_T+,47,D+_O+_M-_P-_T+,D+_O-_M-_P-_T+,False
D+_O+_M-_P-_T+,48,D+_O+_M-_P-_T+,D+_O-_M-_P-_T+,False
D+_O+_M-_P-_T+,49,D+_O+_M+_P-_T+,D-_O+_M+_P-_T+,False
D+_O+_M-_P-_T+,50,D+_O+_M+_P-_T+,D+_O+_M+_P-_T-,False
D+_O+_M-_P-_T+,51,D+_O+_M+_P-_T+,D+_O-_M+_P-_T+,False
D+_O+_M-_P-_T+,52,D+_O+_M+_P-_T+,D+_O-_M+_P-_T-,False
D+_O+_M-_P-_T+,53,D+_O+_M-_P+_T+,D+_O+_M-_P+_T-,False
D+_O+_M-_P-_T+,54,D+_O+_M+_P-_T+,D-_O+_M+_P-_T+,False
D+_O+_M-_P-_T+,55,D+_O+_M+_P-_T+,D+_O+_M+_P-_T+,True
D+_O+_M-_P-_T+,56,D+_O+_M-_P-_T+,D+_O+_M-_P-_T+,True
D+_O+_M-_P-_T+,57,D+_O+_M+_P-_T+,D+_O+_M+_P-_T-,False
D+_O+_M-_P-_T+,58,D+_O+_M+_P-_T+,D+_O+_M+_P-_T-,False
D+_O+_M-_P-_T+,59,D+_O+_M+_P-_T+,D-_O+_M+_P-_T-,False
D+_O+_M+_P-_T-,40,D+_O+_M+_P-_T-,D+_O+_M+_P-_T-,True
D+_O+_M+_P-_T-,41,D+_O+_M+_P-_T-,D+_O-_M+_P-_T-,False
D+_O+_M+_P-_T-,42,D+_O+_M+_P-_T-,D+_O+_M+_P-_T-,True
D+_O+_M+_P-_T-,43,D+_O+_M+_P-_T-,D+_O-_M+_P-_T+,False
D+_O+_M+_P-_T-,44,D+_O+_M+_P+_T-,D+_O+_M+_P+_T-,True
D+_O+_M+_P-_T-,45,D+_O+_M+_P-_T-,D+_O+_M+_P-_T-,True
D+_O+_M+_P-_T-,46,D+_O+_M-_P-_T-,D+_O-_M-_P-_T-,False
D+_O+_M+_P-_T-,47,D+_O+_M+_P-_T-,D+_O+_M+_P-_T-,True
D+_O+_M+_P-_T-,48,D+_O+_M+_P+_T-,D-_O+_M+_P+_T+,False
D+_O+_M+_P-_T-,49,D+_O+_M+_P+_T-,D+_O+_M+_P+_T-,True
D+_O+_M+_P-_T-,50,D+_O+_M-_P-_T-,D+_O-_M-_P-_T-,False
D+_O+_M+_P-_T-,51,D+_O+_M-_P-_T-,D+_O-_M-_P-_T+,False
D+_O+_M+_P-_T-,52,D+_O+_M+_P-_T-,D+_O-_M+_P-_T-,False
D+_O+_M+_P-_T-,53,D+_O+_M+_P-_T-,D+_O+_M-_P-_T-,False
D+_O+_M+_P-_T-,54,D+_O+_M-_P-_T-,D+_O-_M-_P-_T-,False
D+_O+_M+_P-_T-,55,D+_O+_M-_P+_T-,D+_O-_M-_P+_T-,False
D+_O+_M+_P-_T-,56,D+_O+_M+_P-_T-,D+_O+_M+_P-_T-,True
D+_O+_M+_P-_T-,57,D+_O+_M-_P-_T-,D+_O-_M-_P-_T-,False
D+_O+_M+_P-_T-,58,D+_O+_M-_P-_T-,D-_O-_M-_P-_T+,False
D+_O+_M+_P-_T-,59,D+_O+_M+_P-_T-,D+_O-_M+_P-_T-,False
