condition,combo_index,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,seed,OUTPUT_TOKENS,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,GENERATIVE_REUSE,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL,LATENCY_SECONDS
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.0,-1,0,193.0,169.0,8.666666666666666,0.6704959916457172,0.0,0.3333333333333333,0.0,4.0,1.6666666666666667,1.6666666666666667,2.0,3.6666666666666665,6.0,11.666666666666666,4.975557247797648
D-_O-_M-_P-_T-,0,False,-1,-1,1.3333333333333333,1.3333333333333333,-1,1,165.66666666666666,147.33333333333334,8.0,0.6968769787771174,0.0,0.0,0.0,4.666666666666667,3.0,0.3333333333333333,3.0,1.6666666666666667,6.0,10.666666666666666,5.0365603764851885
D-_O-_M-_P-_T-,0,False,-1,-1,2.6666666666666665,1.6666666666666667,-1,2,176.66666666666666,156.33333333333334,8.0,0.6539268196970782,0.0,0.0,0.3333333333333333,3.3333333333333335,1.6666666666666667,0.6666666666666666,2.0,3.3333333333333335,5.0,10.333333333333334,5.300139268239339
D-_O-_M-_P-_T-,0,False,-1,-1,2.3333333333333335,1.3333333333333333,-1,3,179.66666666666666,159.0,8.333333333333334,0.6978835978835979,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.0,2.3333333333333335,2.6666666666666665,7.0,4.971948703130086
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.6666666666666665,-1,4,172.0,152.0,9.0,0.6851832647013041,0.0,0.0,0.0,3.0,1.6666666666666667,0.3333333333333333,1.6666666666666667,2.3333333333333335,5.666666666666667,9.666666666666666,3.5586904684702554
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.0,-1,5,197.33333333333334,175.0,8.666666666666666,0.6691163146224379,0.0,0.0,0.0,3.3333333333333335,2.3333333333333335,0.6666666666666666,2.3333333333333335,2.6666666666666665,5.333333333333333,10.333333333333334,3.4909512996673584
D-_O-_M-_P-_T-,0,False,-1,-1,3.0,2.6666666666666665,-1,6,150.0,131.0,7.0,0.6979213407382887,0.3333333333333333,0.0,0.0,3.3333333333333335,2.6666666666666665,0.3333333333333333,3.0,3.3333333333333335,6.0,12.333333333333334,2.8081217606862388
D-_O-_M-_P-_T-,0,False,-1,-1,1.3333333333333333,2.3333333333333335,-1,7,188.0,164.33333333333334,9.0,0.6476628696310405,0.0,0.0,0.0,4.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,2.0,6.333333333333333,10.0,3.784040689468384
D-_O-_M-_P-_T-,0,False,-1,-1,1.6666666666666667,2.0,-1,8,174.0,152.0,8.333333333333334,0.7236730009687756,0.0,0.0,0.0,3.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,5.0,8.666666666666666,3.9027201334635415
D-_O-_M-_P-_T-,0,False,-1,-1,1.6666666666666667,2.0,-1,9,183.0,161.33333333333334,8.666666666666666,0.6383956134905856,0.0,0.0,0.0,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.3333333333333333,3.0,4.333333333333333,7.666666666666667,3.4313155810038247
