combo_index,condition,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,mean_OUTPUT_TOKENS,mean_WORD_COUNT,mean_SENTENCE_COUNT,mean_TYPE_TOKEN_RATIO,mean_RETURN,mean_RECURRENCE,mean_GENERATIVE_REUSE,mean_META_CONTROL,mean_PRESERVATION,mean_COMPRESSION,mean_TRANSFORMATION,mean_CAUSAL,mean_TRAJECTORY,mean_CONTROL,mean_RELATIONAL,mean_TOTAL
0,D-_O-_M-_P-_T-,False,-1,-1,-1,-1,-1,167.25555555555553,147.19444444444446,8.055555555555555,0.688342554957456,0.03888888888888888,0.005555555555555555,0.07222222222222222,1.7388888888888887,1.9333333333333336,3.1722222222222216,1.85,0.638888888888889,1.9666666666666663,2.3777777777777778,5.105555555555556,9.450000000000001
1,D-_O-_M-_P-_T+,False,-1,-1,-1,-1,1,174.71666666666667,154.63888888888886,7.861111111111112,0.677493759681824,0.016666666666666666,0.0,0.2,2.5722222222222224,2.1666666666666665,4.211111111111111,1.2611111111111113,1.35,1.4777777777777779,3.9222222222222225,6.377777777777778,11.777777777777779
2,D-_O-_M-_P+_T-,False,-1,-1,-1,1,-1,176.08888888888887,155.2611111111111,8.472222222222223,0.6579827545859982,0.07222222222222222,0.0,0.08888888888888888,1.283333333333333,4.655555555555556,3.805555555555556,2.072222222222222,1.0833333333333333,2.2333333333333334,2.3666666666666667,8.461111111111112,13.061111111111112
3,D-_O-_M-_P+_T+,True,-1,-1,-1,1,1,186.35,164.49999999999997,8.444444444444445,0.6585263674980083,0.03888888888888888,0.0,0.15,1.8833333333333333,4.8166666666666655,4.622222222222222,2.222222222222222,1.6444444444444446,2.411111111111111,3.527777777777778,9.43888888888889,15.377777777777778
4,D-_O-_M+_P-_T-,False,-1,-1,1,-1,-1,170.3722222222222,150.45555555555555,7.8888888888888875,0.6667894597818022,0.03888888888888888,0.0,0.027777777777777776,3.2722222222222226,2.2944444444444447,3.9111111111111114,2.194444444444444,0.7444444444444444,2.261111111111111,4.0166666666666675,6.205555555555555,12.483333333333336
5,D-_O-_M+_P-_T+,False,-1,-1,1,-1,1,183.1222222222222,161.89999999999998,8.038888888888888,0.6587408775122362,0.02222222222222222,0.016666666666666666,0.22222222222222224,3.744444444444445,3.127777777777778,4.566666666666667,2.2000000000000006,1.7000000000000002,2.461111111111111,5.444444444444445,7.694444444444443,15.6
6,D-_O-_M+_P+_T-,True,-1,-1,1,1,-1,187.26111111111112,165.2833333333333,8.56111111111111,0.6423205551189182,0.049999999999999996,0.005555555555555555,0.027777777777777776,3.6166666666666667,4.672222222222222,5.105555555555555,3.594444444444444,1.416666666666667,3.6777777777777776,5.033333333333332,9.777777777777779,18.48888888888889
7,D-_O-_M+_P+_T+,False,-1,-1,1,1,1,181.88888888888889,160.5777777777778,8.072222222222221,0.6619299677397948,0.05555555555555555,0.0,0.15555555555555556,2.8999999999999995,4.966666666666668,4.688888888888888,3.405555555555556,1.7277777777777776,3.6166666666666667,4.627777777777777,9.655555555555555,17.89999999999999
8,D-_O+_M-_P-_T-,False,-1,1,-1,-1,-1,155.12777777777774,136.88888888888889,7.288888888888889,0.6743871247235618,0.05555555555555556,0.01111111111111111,0.044444444444444446,0.9388888888888888,1.8666666666666665,3.777777777777778,2.5,0.7111111111111111,2.6111111111111116,1.65,5.644444444444444,9.905555555555555
9,D-_O+_M-_P-_T+,True,-1,1,-1,-1,1,197.38888888888889,175.5722222222222,8.761111111111111,0.6411201099261399,0.03333333333333333,0.005555555555555555,0.09444444444444443,1.527777777777778,2.588888888888889,4.433333333333333,2.0999999999999996,1.45,2.2333333333333334,2.9777777777777774,7.022222222222223,12.233333333333336
