FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,59308,2026-09-10T21:03:09.6051224Z,2026-09-10T21:03:05.7787046Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-10T21:03:09.6051224Z,2026-09-10T21:03:09.6051224Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\01_RAW_RESPONSES.jsonl,01_RAW_RESPONSES.jsonl,.jsonl,6010977,2026-09-10T21:03:13.3701177Z,2026-09-10T21:21:49.7866373Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\03_FROZEN_SPECIFICATION.json,03_FROZEN_SPECIFICATION.json,.json,1880,2026-09-10T21:03:09.6051224Z,2026-09-10T21:03:09.6051224Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\04_FROZEN_SPECIFICATION_SHA256.txt,04_FROZEN_SPECIFICATION_SHA256.txt,.txt,66,2026-09-10T21:03:09.6051224Z,2026-09-10T21:03:09.6051224Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\05_FROZEN_PROMPTS.csv,05_FROZEN_PROMPTS.csv,.csv,2633737,2026-09-10T21:03:09.6836707Z,2026-09-10T21:03:09.7778276Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\06_RESPONSE_FEATURES.csv,06_RESPONSE_FEATURES.csv,.csv,1066649,2026-09-10T21:21:55.6600335Z,2026-09-10T21:21:55.8702120Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\07_SEED_LEVEL_RESULTS.csv,07_SEED_LEVEL_RESULTS.csv,.csv,306778,2026-09-10T21:21:56.8437417Z,2026-09-10T21:21:56.8770204Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,02_INPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\08_CONDITION_RESULTS.csv,08_CONDITION_RESULTS.csv,.csv,1336,2026-09-10T21:21:56.8770204Z,2026-09-10T21:21:56.8770204Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\09_TRANSPORT_PRESERVATION.csv,09_TRANSPORT_PRESERVATION.csv,.csv,394,2026-09-10T21:21:56.8927598Z,2026-09-10T21:21:56.8937453Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\10_COMPOSITION_PATH_INDEPENDENCE.csv,10_COMPOSITION_PATH_INDEPENDENCE.csv,.csv,302,2026-09-10T21:21:56.8957836Z,2026-09-10T21:21:56.8967825Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\11_INVERSE_RECOVERY.csv,11_INVERSE_RECOVERY.csv,.csv,203,2026-09-10T21:21:56.8967825Z,2026-09-10T21:21:56.8967825Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\12_DAMAGE_CONTROLS.csv,12_DAMAGE_CONTROLS.csv,.csv,856,2026-09-10T21:22:08.9916721Z,2026-09-10T21:22:08.9916721Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,00_CONTROL,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\13_TRANSPORT_EFFECT_VECTORS.csv,13_TRANSPORT_EFFECT_VECTORS.csv,.csv,1967,2026-09-10T21:22:08.9916721Z,2026-09-10T21:22:08.9916721Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\14_PERMUTATION_CONTROLS.csv,14_PERMUTATION_CONTROLS.csv,.csv,389,2026-09-10T21:22:08.9916721Z,2026-09-10T21:22:08.9916721Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,00_CONTROL,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR\15_MISSING_CELLS.csv,15_MISSING_CELLS.csv,.csv,29,2026-09-10T21:21:49.9440551Z,2026-09-10T21:21:49.9440551Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-007,CAN-V9-TRANSPORT,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V9_REPRESENTATIONAL_TRANSPORT_OPERATOR,PHASE8B_R2,V9 - Representational Transport Operator,True,False,False,SELECT_AUTHORITATIVE_SOURCE
