condition,N,mean_TOTAL,median_TOTAL,mean_output_tokens
BASE_FOREST,80,4.741666666666666,4.666666666666667,132.825
BASE_CITY,80,7.0375,6.833333333333334,100.3625
BASE_CIRCUIT,80,7.895833333333334,7.666666666666667,107.40416666666667
BASE_ORCHESTRA,80,3.8875,3.833333333333333,129.35416666666669
DIRECT_FOREST_TO_CITY,80,6.104166666666667,6.0,115.92083333333332
DIRECT_FOREST_TO_CIRCUIT,80,9.5625,9.333333333333334,109.54583333333332
DIRECT_FOREST_TO_ORCHESTRA,80,6.079166666666667,6.0,125.67916666666665
COMPOSE_FOREST_CITY_CIRCUIT,80,12.6625,12.666666666666666,141.20833333333331
COMPOSE_FOREST_CIRCUIT_ORCHESTRA,80,7.6375,7.666666666666667,152.9375
DIRECT_FOREST_TO_CIRCUIT_ENDPOINT,80,9.4875,9.666666666666666,108.84166666666665
DIRECT_FOREST_TO_ORCHESTRA_ENDPOINT,80,6.083333333333334,6.0,124.37916666666665
INVERSE_FOREST_CITY_FOREST,80,4.9125,4.833333333333334,151.26666666666665
INVERSE_FOREST_CIRCUIT_FOREST,80,4.4208333333333325,4.333333333333333,170.82083333333335
DAMAGED_FOREST_TO_CITY,80,9.3125,9.333333333333334,139.5
DAMAGED_FOREST_TO_CIRCUIT,80,12.366666666666665,12.5,123.07083333333335
SHUFFLED_FOREST_TO_CITY,80,8.266666666666666,8.333333333333334,121.05833333333335
SHUFFLED_FOREST_TO_CIRCUIT,80,10.808333333333334,10.666666666666666,106.15
METAPHOR_SURFACE_ONLY,80,1.3,1.3333333333333333,225.9125
