FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,62743,2026-09-11T00:35:46.1817283Z,2026-09-10T22:16:38.0222926Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-11T00:35:46.1817283Z,2026-09-10T22:16:55.4765777Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\00A_VALID_TEXT_COMPLETENESS.json,00A_VALID_TEXT_COMPLETENESS.json,.json,319,2026-09-11T00:35:46.1817283Z,2026-09-10T22:55:23.0680011Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\01_RAW_RESPONSES.jsonl,01_RAW_RESPONSES.jsonl,.jsonl,12484086,2026-09-11T00:35:46.1984669Z,2026-09-10T22:52:48.8083315Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\03_FROZEN_SPECIFICATION.json,03_FROZEN_SPECIFICATION.json,.json,3442,2026-09-11T00:35:46.3146371Z,2026-09-10T22:16:55.4809830Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\04_FROZEN_SPECIFICATION_SHA256.txt,04_FROZEN_SPECIFICATION_SHA256.txt,.txt,66,2026-09-11T00:35:46.3315403Z,2026-09-10T22:16:55.4819865Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\05_FROZEN_PROMPTS.csv,05_FROZEN_PROMPTS.csv,.csv,2206537,2026-09-11T00:35:46.3315403Z,2026-09-10T22:16:55.5872521Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\06_RESPONSE_FEATURE_VECTOR.csv,06_RESPONSE_FEATURE_VECTOR.csv,.csv,2193136,2026-09-11T00:35:46.3315403Z,2026-09-10T22:53:09.6850305Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,04_RAW,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\07_SEED_LEVEL_VECTOR.csv,07_SEED_LEVEL_VECTOR.csv,.csv,320144,2026-09-11T00:35:46.3481400Z,2026-09-10T22:53:12.8508076Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,02_INPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN\08_CONDITION_RESULTS.csv,08_CONDITION_RESULTS.csv,.csv,1794,2026-09-11T00:35:46.3652259Z,2026-09-10T22:53:12.8682565Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-008,CAN-V11-CLEAN,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\V11_STRUCTURAL_METRIC_REPAIR\V6_CLEAN,PHASE8B_R2
