partition,coordinate,N,difference,p,PASS
DEVELOPMENT,DIRECTION,50,-0.115,0.6121438785612144,False
DEVELOPMENT,ORDER,50,-0.555,0.9063009369906301,False
DEVELOPMENT,META_CONTROL,50,4.675,9.99990000099999e-06,True
DEVELOPMENT,PRESERVATION,50,4.99,9.99990000099999e-06,True
DEVELOPMENT,TERMINAL,50,2.275,9.99990000099999e-06,True
CONFIRMATION,DIRECTION,30,0.5583333333333333,0.1054089459105409,False
CONFIRMATION,ORDER,30,-0.15,0.6137538624613754,False
CONFIRMATION,META_CONTROL,30,4.675,9.99990000099999e-06,True
CONFIRMATION,PRESERVATION,30,5.366666666666666,9.99990000099999e-06,True
CONFIRMATION,TERMINAL,30,2.566666666666667,3.999960000399996e-05,True
FINAL_HOLDOUT,DIRECTION,20,-0.75,0.8632513674863251,False
FINAL_HOLDOUT,ORDER,20,-0.475,0.7948920510794892,False
FINAL_HOLDOUT,META_CONTROL,20,4.2625,9.99990000099999e-06,True
FINAL_HOLDOUT,PRESERVATION,20,5.5125,9.99990000099999e-06,True
FINAL_HOLDOUT,TERMINAL,20,1.725,0.0005599944000559995,True
