seed,condition,rep,response_id,response_sha256,OUTPUT_TOKENS,CHAR_COUNT,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,LATENCY_SECONDS,RETURN,GENERATIVE_REUSE,RECURRENCE,META_CONTROL,PRESERVATION,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY_DENSITY,CONTROL_DENSITY,PRESERVATION_DENSITY,FINGERPRINT_MAGNITUDE
0,A0_AUTHENTIC,0,resp_0e098663cdd86160006aa32c60a89087d2b2cc0c528675201a,6ab6d6ff0c14894118bf731d992f9768996a20c238d10ab2a05de5973f04f938,87.0,549.0,74.0,4.0,0.8378378378378378,6.324324324324325,11.01483941078186,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,6.0,10.0
0,A0_AUTHENTIC,1,resp_0bc3ff098e3b86f4006aa32c615e0487d2aaa327740910b970,92b23db3efb7092b5fc868cc4f47d9aa1f79515db344d31d558dafada4f696b8,127.0,775.0,112.0,5.0,0.7678571428571429,5.821428571428571,11.793280124664307,1.0,0.0,0.0,4.0,3.0,3.0,4.0,1.0,5.0,5.0,6.0,16.0
0,A0_AUTHENTIC,2,resp_0fa388dbd1602c1e006aa32c6154dc87d2babc7dfd10b08a71,54dcad984d82999f99f24f325dc71f2aa4da1107e522e527a3bcf2e0641c3c27,117.0,695.0,103.0,6.0,0.7669902912621359,5.669902912621359,11.473276376724243,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,9.0
0,A0_AUTHENTIC,3,resp_00ec502b10e96b29006aa32c60a27887d2a78d570a8a75bff8,2d9d761a5889fe72a0cd0e31cfb1a71ff5c065dd34c10825121031825bb2a7ec,159.0,982.0,139.0,7.0,0.7482014388489209,5.956834532374101,11.636593341827393,0.0,0.0,0.0,1.0,4.0,5.0,1.0,2.0,1.0,3.0,9.0,13.0
0,A1_AUTHENTIC_PARAPHRASE,0,resp_02631f499d271f26006aa32c61513087d288004246ae925966,d7ca153583f980a525304dc4b8e990fc0765e0e9e6ec93bdc952632d3c921e44,126.0,762.0,108.0,6.0,0.7777777777777778,5.953703703703703,12.290884494781494,0.0,2.0,0.0,1.0,6.0,2.0,2.0,2.0,4.0,3.0,8.0,15.0
0,A1_AUTHENTIC_PARAPHRASE,1,resp_0fbddeabb6ca6d78006aa32c61270487d2847fec3bb34d35eb,a5af3a36097907fe6cf0a2ad0eaa4919df59adedb7ceb314350c3367c3188542,133.0,782.0,113.0,7.0,0.7522123893805309,5.79646017699115,12.522666692733765,0.0,0.0,0.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,7.0,14.0
0,A1_AUTHENTIC_PARAPHRASE,2,resp_057f39c45f229144006aa32c607e2087d2bd32b1a17916c1df,fa8d196e9a849148e00136a80cbf6ce84efb3948d282fc63130a3a4b52723597,138.0,859.0,120.0,6.0,0.7333333333333333,6.058333333333334,11.826377153396606,0.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,12.0
0,A1_AUTHENTIC_PARAPHRASE,3,resp_08760230f4abf780006aa32c615fc087d2a95122fb614659db,1e15826d9c258c2024719b3b144076d61b91427627ed86effd5392af6b91f14e,130.0,762.0,111.0,6.0,0.7657657657657657,5.747747747747748,12.200668573379517,0.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,4.0,6.0,12.0
0,A2_AUTHENTIC_PARAPHRASE,0,resp_0f78fad28b6cea8c006aa32c603f3887d29f4f1b8d9bf615aa,5fd1683e22f26d1e9da0510cf8cecf661775b135314e1d8ad84e5be64315dcf3,113.0,633.0,96.0,5.0,0.6875,5.489583333333333,10.774256467819214,0.0,0.0,0.0,1.0,2.0,5.0,5.0,0.0,5.0,1.0,7.0,13.0
0,A2_AUTHENTIC_PARAPHRASE,1,resp_03bf53965194a25d006aa32c603bb087d2af1a7618fb325850,de5b947fd2235b1112cfaef24510703c4e0cc70d8f25c3980236acc59f39b0d1,150.0,920.0,132.0,7.0,0.6515151515151515,5.856060606060606,11.037711381912231,0.0,0.0,0.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,8.0,12.0
0,A2_AUTHENTIC_PARAPHRASE,2,resp_0137a178dc034e6b006aa32c6045f087d2a5fe3a223f8ae4b8,883e3aec5b1e2677919e355fbac6eaf2217936432b866db4de61a51350dd267c,196.0,1179.0,176.0,9.0,0.6306818181818182,5.613636363636363,11.592901229858398,0.0,0.0,0.0,5.0,5.0,3.0,2.0,1.0,2.0,6.0,8.0,16.0
0,A2_AUTHENTIC_PARAPHRASE,3,resp_0316ff22276a2ebb006aa32c614b6487d2a298362168ff59e6,8d323f0c8aa5db1c996adfd5b114529e8d6e54d96371f67a357b621018f0bef6,127.0,743.0,112.0,6.0,0.7142857142857143,5.553571428571429,11.495514869689941,0.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,2.0,3.0,7.0,12.0
