contrast,condition_A,condition_B,mean_A,mean_B,difference,permutation_p,wilcoxon_p,holm_p,PASS
DIRECTION,A0_AUTHENTIC,D_DIRECTION_REVERSED,14.215,14.255,-0.04,0.5597344026559734,0.5508495272987759,1.0,False
ORDER,A0_AUTHENTIC,O_ORDER_SHUFFLED,14.215,14.6325,-0.4175,0.9273107268927311,0.8972460851059469,1.0,False
META_CONTROL,A0_AUTHENTIC,M_META_CONTROL_ABLATED,14.215,9.6225,4.5925,9.99990000099999e-06,5.5919339309346205e-18,0.00014999850001499987,True
PRESERVATION,A0_AUTHENTIC,P_PRESERVATION_ABLATED,14.215,9.0075,5.2075,9.99990000099999e-06,2.976374826197914e-18,0.00014999850001499987,True
TERMINAL,A0_AUTHENTIC,T_TERMINAL_COUNTERFACTUAL,14.215,11.9625,2.2525,9.99990000099999e-06,2.577801284811099e-12,0.00014999850001499987,True
COMPRESSION,A0_AUTHENTIC,C_COMPRESSION_ABLATED,14.215,12.625,1.59,9.99990000099999e-06,1.71770384426831e-08,0.00014999850001499987,True
RECURSION_SPECIFICITY,A0_AUTHENTIC,R_RECURSION_CONTROL,14.215,16.6575,-2.4425,1.0,0.9999999565321929,1.0,False
COMPLEXITY_SPECIFICITY,A0_AUTHENTIC,X_COMPLEXITY_CONTROL,14.215,13.6775,0.5375,0.016599834001659982,0.04052690599189003,0.09959900400995989,False
LINEAR_SPECIFICITY,A0_AUTHENTIC,L_LINEAR_CONTROL,14.215,3.27,10.945,9.99990000099999e-06,1.9162201157119843e-18,0.00014999850001499987,True
GRAPH_SPECIFICITY,A0_AUTHENTIC,G_RANDOM_GRAPH_CONTROL,14.215,8.9525,5.2625,9.99990000099999e-06,8.20066300408363e-18,0.00014999850001499987,True
DIRECTION_META_LESION,A0_AUTHENTIC,DM_DIRECTION_META_DAMAGE,14.215,16.66,-2.445,1.0,0.9999999999989558,1.0,False
DIRECTION_PRESERVATION_LESION,A0_AUTHENTIC,DP_DIRECTION_PRESERVATION_DAMAGE,14.215,14.89,-0.675,0.993560064399356,0.9859562479142711,1.0,False
ORDER_PRESERVATION_LESION,A0_AUTHENTIC,OP_ORDER_PRESERVATION_DAMAGE,14.215,13.4175,0.7975,0.0013899861001389986,0.00044136609043370046,0.00972990270097299,True
PRESERVATION_TERMINAL_LESION,A0_AUTHENTIC,PT_PRESERVATION_TERMINAL_DAMAGE,14.215,6.3275,7.8875,9.99990000099999e-06,1.8895659564270217e-18,0.00014999850001499987,True
HELDOUT_FINGERPRINT,H_AUTHENTIC_HELDOUT,H_DAMAGED_HELDOUT,12.955,5.37,7.585,9.99990000099999e-06,1.9135171369359048e-18,0.00014999850001499987,True
