FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN.cpython-313.pyc,RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN.cpython-313.pyc,.pyc,117905,2026-09-11T14:41:08.7831996Z,2026-09-11T14:41:08.7831996Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,True,False,False,,06_DIAGNOSTIC,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN.cpython-313.pyc,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_RUNTIME
C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN_20260911.cpython-313.pyc,RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN_20260911.cpython-313.pyc,.pyc,121494,2026-09-11T14:02:52.6416592Z,2026-09-11T14:02:52.6416592Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,True,False,False,,06_DIAGNOSTIC,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN_20260911.cpython-313.pyc,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_RUNTIME
C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_FINAL.cpython-313.pyc,RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_FINAL.cpython-313.pyc,.pyc,121475,2026-09-11T14:22:54.6492101Z,2026-09-11T14:22:54.6492101Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,True,False,False,,06_DIAGNOSTIC,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_FINAL.cpython-313.pyc,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_RUNTIME
C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4.cpython-313.pyc,RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4.cpython-313.pyc,.pyc,115578,2026-09-11T15:23:47.7787604Z,2026-09-11T15:23:47.7787604Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,True,False,False,,06_DIAGNOSTIC,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_JSON_R4.cpython-313.pyc,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_RUNTIME
C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_STRUCTURED_R3.cpython-313.pyc,RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_STRUCTURED_R3.cpython-313.pyc,.pyc,115666,2026-09-11T15:11:42.3668958Z,2026-09-11T15:11:42.3668958Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,True,False,False,,06_DIAGNOSTIC,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\__pycache__\RUN_V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_STRUCTURED_R3.cpython-313.pyc,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_RUNTIME
C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00_FROZEN_RUNNER.py,00_FROZEN_RUNNER.py,.py,140124,2026-09-11T14:41:55.5232712Z,2026-09-11T14:43:02.7208554Z,AUTHORITY_OR_FREEZE|RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00_RUNNER_SHA256.txt,00_RUNNER_SHA256.txt,.txt,66,2026-09-11T14:41:55.5232712Z,2026-09-11T14:43:02.7208554Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00B_SMOKE_TEST.json,00B_SMOKE_TEST.json,.json,1273,2026-09-11T14:44:32.2252498Z,2026-09-11T14:44:32.2252498Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00D_PREFLIGHT_SUMMARY.json,00D_PREFLIGHT_SUMMARY.json,.json,194,2026-09-11T14:41:55.5076682Z,2026-09-11T14:43:42.7326041Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,False,False,False,,05_OUTPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN\00E_ANALYSIS_SELFTEST.json,00E_ANALYSIS_SELFTEST.json,.json,1785,2026-09-11T14:42:57.7587061Z,2026-09-11T14:42:57.7587061Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-009,CAN-V12-TOPOLOGY,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\V12_RELATIONAL_TOPOLOGY_CAUSAL_MAP_CLEAN,PHASE8B_R2,V12 - Relational Topology Causal Map,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
