FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,00_F1_FINAL_SOURCE_ARCHIVE_HASHES.csv,.csv,1554,2026-09-11T20:46:18.7721657Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1_DEV_LMARENA_BLIND_R1.zip,.zip,11798185,2026-09-11T20:46:19.1660022Z,2026-09-11T16:27:50.7775059Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,08_PACKAGE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,F1_DEV_LMARENA_BLIND_R2_HARDENED_RESULTS.zip,.zip,125986400,2026-09-11T20:46:20.1662402Z,2026-09-11T16:53:46.6161573Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,05_OUTPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,F1_DEV_LMARENA_BLIND_R3_HARDENED_RESULTS.zip,.zip,63138359,2026-09-11T20:46:21.5514732Z,2026-09-11T17:11:59.1677075Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,05_OUTPUTS,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,F1_DEV_R4_V12_GRAPH_CALIBRATION_COMPLETE.zip,.zip,382917,2026-09-11T20:46:22.0834199Z,2026-09-11T17:47:47.3776761Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,F1_DEV_R5_V12_SPECIFICITY_OPERATOR_COMPLETE.zip,.zip,1081086,2026-09-11T20:46:22.1881177Z,2026-09-11T18:06:59.8344526Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\02_F1_FINAL_STATUS_LEDGER.csv,02_F1_FINAL_STATUS_LEDGER.csv,.csv,4034,2026-09-11T20:46:18.7831780Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\03_F1_FINAL_ADJUDICATION.md,03_F1_FINAL_ADJUDICATION.md,.md,2696,2026-09-11T20:46:18.7961496Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,07_ADJUDICATION,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\04_F1_CLAIM_LADDER.csv,04_F1_CLAIM_LADDER.csv,.csv,677,2026-09-11T20:46:18.8081696Z,2026-09-11T17:36:20.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\05_F2_FROZEN_PREOPEN_SPEC.md,05_F2_FROZEN_PREOPEN_SPEC.md,.md,3214,2026-09-11T20:46:18.8201448Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\06_F2_AUTHORIZATION.txt,06_F2_AUTHORIZATION.txt,.txt,388,2026-09-11T20:46:18.8301392Z,2026-09-11T17:34:08.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\07_CHAIN_OF_CUSTODY.json,07_CHAIN_OF_CUSTODY.json,.json,2775,2026-09-11T20:46:18.8416892Z,2026-09-11T17:34:08.0000000Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\08_F1_FINAL_CONTENT_MANIFEST.csv,08_F1_FINAL_CONTENT_MANIFEST.csv,.csv,2015,2026-09-11T20:46:18.8554967Z,2026-09-11T17:36:20.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\README_F1_FINAL.txt,README_F1_FINAL.txt,.txt,757,2026-09-11T20:46:18.8674643Z,2026-09-11T17:34:08.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,00_CONTROL,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip,F1_FINAL_COMPLETE_LOCAL.zip,.zip,518003991,2026-09-11T20:47:55.0110744Z,2026-09-11T20:48:11.3762277Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip
C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt,.txt,431,2026-09-11T20:48:14.7368135Z,2026-09-11T20:48:14.7368135Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-010,CAN-F1-FINAL,True,False,True,False,False,,09_FREEZE,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\F1_FINAL_COMPLETE_LOCAL.zip.sha256.txt
