FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\RSOS_TRAINING_DATA_V12_V18_COMPARISON\04_F2_V15_V16_LINEAGE_RARITY\F2_EXTERNAL_POPULATION_RARITY.csv,F2_EXTERNAL_POPULATION_RARITY.csv,.csv,112,2026-09-11T15:55:35.4470406Z,2026-09-11T15:55:35.4470406Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,02_INPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_TRAINING_DATA_V12_V18_COMPARISON\04_F2_V15_V16_LINEAGE_RARITY,PHASE8B_R2,F2 - External Population Rarity,False,False,False,EXCLUDE_OUTSIDE_AUTHORITATIVE_ROOT
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\__pycache__\RUN_F2_A_WILDCHAT_RARITY.cpython-313.pyc,RUN_F2_A_WILDCHAT_RARITY.cpython-313.pyc,.pyc,53095,2026-09-11T20:56:57.1488792Z,2026-09-11T20:56:57.1488792Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,EXCLUDE_RUNTIME
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00049-of-00086.parquet,train-00049-of-00086.parquet,.parquet,103170595,2026-09-11T20:57:01.5590868Z,2026-09-08T22:43:43.0455522Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00080-of-00086.parquet,train-00080-of-00086.parquet,.parquet,186001659,2026-09-11T20:57:02.6769767Z,2026-09-08T23:30:52.5569860Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\00_INPUTS_WILDCHAT\train-00085-of-00086.parquet,train-00085-of-00086.parquet,.parquet,496266956,2026-09-11T20:57:05.2905746Z,2026-09-08T23:47:58.7125617Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\F2_FROZEN_IMPLEMENTATION_SPEC.json,F2_FROZEN_IMPLEMENTATION_SPEC.json,.json,2286,2026-09-11T20:56:59.3291108Z,2026-09-11T17:53:32.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\PORTABLE_FROZEN_BR1_MODELS.json,PORTABLE_FROZEN_BR1_MODELS.json,.json,5407,2026-09-11T20:56:59.3281330Z,2026-09-11T17:53:32.0000000Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,RUN_F2_A_WILDCHAT_RARITY.py,.py,33909,2026-09-11T20:56:59.3291108Z,2026-09-11T17:53:32.0000000Z,RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,03_RUNNER,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\F1_FINAL_VERIFIED.txt,F1_FINAL_VERIFIED.txt,.txt,103,2026-09-11T20:57:00.9903893Z,2026-09-11T20:57:00.9913896Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\FROZEN_LINEAGE_THRESHOLDS_PRE_EXTERNAL.csv,FROZEN_LINEAGE_THRESHOLDS_PRE_EXTERNAL.csv,.csv,403,2026-09-11T20:57:01.1125678Z,2026-09-11T20:57:01.1135460Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-011,CAN-F2-EXTERNAL,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,PHASE8B_R2,F2 - External Population Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
