SEQUENCE_NO,EXPERIMENT_ID,SOURCE_PATH,DESTINATION_PATH,DESTINATION_BUCKET,POLICY_ORIGIN,SIZE_BYTES,SOURCE_MTIME_NS_BEFORE,SOURCE_SHA256,DESTINATION_SHA256,HASH_VERIFIED,COPY_STATUS,ERROR
169,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\02_INPUT_MANIFEST\WILDCHAT_OFFICIAL_SHARD_MANIFEST.csv,00_CONTROL,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,888,1789160227441227500,1d9eeb274af09346331d31a84149197a7937b5de76e3d2fc4c693f3ccec0b0fc,1d9eeb274af09346331d31a84149197a7937b5de76e3d2fc4c693f3ccec0b0fc,True,COPIED_AND_VERIFIED,
170,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE\FULL_PACKAGE_MANIFEST.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\F2_EXTERNAL_POPULATION_RARITY_COMPLETE_PACKAGE\FULL_PACKAGE_MANIFEST.csv,00_CONTROL,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,175,1789162207179543800,162c1908a45fc3361f7e92f93b4b9d7208a54b786e6e839462953eca8797f7d0,162c1908a45fc3361f7e92f93b4b9d7208a54b786e6e839462953eca8797f7d0,True,COPIED_AND_VERIFIED,
171,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\README.txt,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\00_CONTROL\SOURCE\README.txt,00_CONTROL,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,1013,1789149212000000000,91287afecc1a2f314fac6056ad926dbee1fa0d03962460a5f4886edf086de498,91287afecc1a2f314fac6056ad926dbee1fa0d03962460a5f4886edf086de498,True,COPIED_AND_VERIFIED,
172,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\11_F1_REFERENCES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\02_INPUTS\SOURCE\11_F1_REFERENCES\F1_BR1_BLIND_RSOS_CORPUS_REDISCOVERY_RESULTS_PACKAGE.zip,02_INPUTS,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,2110934,1789155804420424300,159b6a0df406073be5bdf9b242cdd45fde0d7b6281252cef813b88cc8971c364,159b6a0df406073be5bdf9b242cdd45fde0d7b6281252cef813b88cc8971c364,True,COPIED_AND_VERIFIED,
173,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\01_FROZEN_IMPLEMENTATION\RUN_F2_A_WILDCHAT_RARITY.py,03_RUNNER,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,33909,1789149212000000000,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,True,COPIED_AND_VERIFIED,
174,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\RUN_F2_A_WILDCHAT_RARITY.ps1,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\RUN_F2_A_WILDCHAT_RARITY.ps1,03_RUNNER,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,2280,1789149232000000000,ff93f4d4fb6e0b26e27ca1adaade3df1cad2be1290b02fb3bf68e53a9c9f9cc0,ff93f4d4fb6e0b26e27ca1adaade3df1cad2be1290b02fb3bf68e53a9c9f9cc0,True,COPIED_AND_VERIFIED,
175,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\RUN_F2_A_WILDCHAT_RARITY.py,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\03_RUNNER\SOURCE\RUN_F2_A_WILDCHAT_RARITY.py,03_RUNNER,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,33909,1789149212000000000,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,00d2701dade914cfe001eed7fd937be3260464264f36fd4448760836b1e1d780,True,COPIED_AND_VERIFIED,
176,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\06_RARITY_TAILS\EXTERNAL_SCORE_QUANTILES.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\06_RARITY_TAILS\EXTERNAL_SCORE_QUANTILES.csv,05_OUTPUTS,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,924,1789161733180221000,d774097abcb2824fb2d2faa844b7e8f9c383a79c4338aa8f8497f079a05a10aa,d774097abcb2824fb2d2faa844b7e8f9c383a79c4338aa8f8497f079a05a10aa,True,COPIED_AND_VERIFIED,
177,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\06_RARITY_TAILS\LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\06_RARITY_TAILS\LINEAGE_EXTERNAL_PERCENTILE_SUMMARY.csv,05_OUTPUTS,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,213,1789161733228762300,cafbeffea87e19256960f8f251956227673a125dee14c9a037c10b2107b0b4a2,cafbeffea87e19256960f8f251956227673a125dee14c9a037c10b2107b0b4a2,True,COPIED_AND_VERIFIED,
178,EXP-011,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY\07_NUISANCE_CONTROL\CEM_CONDITIONAL_RESULTS.csv,C:\RSOS\RSOS_CANONICAL_EXPERIMENT_CHAIN\025_EXP-011__F2_External_Population_Rarity\05_OUTPUTS\SOURCE\07_NUISANCE_CONTROL\CEM_CONDITIONAL_RESULTS.csv,05_OUTPUTS,C:\RSOS\Training data\F2_EXTERNAL_POPULATION_RARITY,446,1789161733568466500,380fd1bb4751cadf7cd9d49714572b6dba2355a5bfb83d82068999b3eadb5897,380fd1bb4751cadf7cd9d49714572b6dba2355a5bfb83d82068999b3eadb5897,True,COPIED_AND_VERIFIED,
