MODEL,QUANTILE,SCORE
SURFACE_FREE,0.0,1.2767790162787677e-24
SURFACE_FREE,0.01,4.723265734955373e-06
SURFACE_FREE,0.05,0.0023009258516102685
SURFACE_FREE,0.1,0.012711673689187684
SURFACE_FREE,0.25,0.13021282486435495
SURFACE_FREE,0.5,0.7833806877725257
SURFACE_FREE,0.75,0.9999580464309936
SURFACE_FREE,0.9,0.9999999992042932
SURFACE_FREE,0.95,0.9999999999976323
SURFACE_FREE,0.99,1.0
SURFACE_FREE,0.999,1.0
SURFACE_FREE,0.9999,1.0
SURFACE_FREE,1.0,1.0
R1_COMPATIBLE,0.0,1.4496053655480703e-33
R1_COMPATIBLE,0.01,5.8937707115968625e-05
R1_COMPATIBLE,0.05,0.010745280953464312
R1_COMPATIBLE,0.1,0.047985290824504444
R1_COMPATIBLE,0.25,0.43690335901302146
R1_COMPATIBLE,0.5,0.9953365596998306
R1_COMPATIBLE,0.75,0.9999945374077976
R1_COMPATIBLE,0.9,0.999999999096808
R1_COMPATIBLE,0.95,0.9999999999999009
R1_COMPATIBLE,0.99,1.0
R1_COMPATIBLE,0.999,1.0
R1_COMPATIBLE,0.9999,1.0
R1_COMPATIBLE,1.0,1.0
