MODEL,LINEAGE_CONVERSATION_ID,CEM_CELL,N_EXTERNAL_CELL,WITHIN_CELL_PAIRWIN
SURFACE_FREE,68b5df00-83c8-832c-9208-ec73ca31cae7,6|6|1,13,0.07692307692307693
SURFACE_FREE,68c08ca8-2990-8331-927b-b07ae4895113,3|0|0,157,0.7515923566878981
SURFACE_FREE,68c2e64f-9d34-832a-81a1-d832f39f7e9f,7|7|1,9,0.0
SURFACE_FREE,68c55edf-c99c-8320-929f-3c3a13528504,4|2|0,172,0.7093023255813954
SURFACE_FREE,68df59a6-65c8-832e-ab96-92a871261b4f,5|4|0,39,0.9230769230769231
SURFACE_FREE,68e098fa-7128-832c-bcb1-7188bf86c0ba,5|2|0,104,1.0
SURFACE_FREE,68eb0175-ca54-8332-8b00-b50b4a482dda,4|2|1,186,0.05913978494623656
SURFACE_FREE,68eb0f1c-b2ec-8326-a952-3a0498a3a005,6|5|1,48,0.125
SURFACE_FREE,68fdcd42-b568-832d-8d33-e7f125fee15a,7|7|1,9,0.3333333333333333
SURFACE_FREE,68fded15-6b4c-832a-b923-7614a2675015,6|5|0,26,0.8846153846153846
SURFACE_FREE,68ffd0df-bd20-832a-b88c-e3c77dafc495,8|7|1,7,0.0
SURFACE_FREE,6903826b-19f4-8328-951a-e4375d3ccb3c,7|6|1,35,0.08571428571428572
SURFACE_FREE,6904e667-1b3c-8327-9b89-5954350136b1,7|6|1,35,0.14285714285714285
SURFACE_FREE,69077a30-9c80-832e-9b10-19486be65461,5|3|1,108,0.16666666666666666
SURFACE_FREE,690bf51f-3bd0-8330-8f23-f5c629620aae,6|4|0,34,0.9411764705882353
SURFACE_FREE,690fc165-d44c-8325-ac95-028d11fc01a4,5|3|0,81,0.9259259259259259
SURFACE_FREE,6910bd6e-2514-832f-adf2-21c464472e97,8|7|1,7,0.0
SURFACE_FREE,69154da7-8574-8331-97ef-9c9cbdf64420,6|4|0,34,0.9705882352941176
SURFACE_FREE,691569e9-3cfc-8325-9406-0d68eb69e889,7|5|0,6,0.8333333333333334
SURFACE_FREE,6917b806-3574-8330-9cc0-36b41f804b7e,6|2|1,75,0.09333333333333334
SURFACE_FREE,6918199a-7e04-832d-9314-37fbe7cd92ff,6|5|0,26,1.0
SURFACE_FREE,692091ca-ecb8-832f-a281-48442427ada4,7|4|0,9,0.8888888888888888
SURFACE_FREE,6925e053-ca9c-8326-a5b8-74e12c839569,7|5|0,6,0.8333333333333334
SURFACE_FREE,6927b12b-bfb8-8325-80c6-6add963de8be,7|4|0,9,0.8888888888888888
SURFACE_FREE,692babda-5438-8328-9643-61eac55f9b65,5|2|0,104,0.9807692307692307
SURFACE_FREE,692c182f-8848-8329-aa72-e1c484f0883d,7|5|0,6,1.0
SURFACE_FREE,692f5d5a-5c6c-832f-afd8-7791e3ae7169,4|2|0,172,0.9825581395348837
SURFACE_FREE,692f808d-76ec-8331-b1ab-4e1eb2ad3360,6|5|0,26,1.0
SURFACE_FREE,69305a19-e310-8325-9a5c-98c6d8fe99e6,8|7|1,7,0.2857142857142857
SURFACE_FREE,6932383e-a550-832e-a437-aeedb5883fbc,8|6|1,13,0.23076923076923078
SURFACE_FREE,69337a14-0af4-832d-a473-20e5896b3be1,6|4|0,34,0.9411764705882353
SURFACE_FREE,6937eac0-58f8-8333-8b99-4e70c64d575a,7|5|0,6,0.8333333333333334
SURFACE_FREE,6937eda0-34dc-8328-a7b7-0ec0976eb833,7|5|0,6,0.8333333333333334
SURFACE_FREE,693d0da2-8304-832f-81b1-c3abcf628232,5|4|0,39,0.9487179487179487
SURFACE_FREE,69416cbc-ab28-832e-b813-346ada0aadbb,5|2|0,104,1.0
SURFACE_FREE,694722a1-c764-8327-9fe3-6dccc1bb5f13,7|6|1,35,0.2
SURFACE_FREE,69496114-d678-832b-b342-eb9ba8686bec,6|6|0,13,1.0
SURFACE_FREE,694f44f9-9448-8330-861e-1d95c09325d6,7|7|1,9,0.3333333333333333
SURFACE_FREE,69508cb5-801c-832a-862f-cda4c06c06f4,6|6|1,13,0.07692307692307693
SURFACE_FREE,6953290d-f444-8325-9567-00c26dd15416,8|7|1,7,0.0
SURFACE_FREE,6954a332-4f4c-832c-b203-ffab10ebce32,8|7|1,7,0.0
SURFACE_FREE,6955c04b-aeb8-8331-997c-ca99f3c3f749,6|5|0,26,1.0
SURFACE_FREE,6956015b-a104-8326-827b-164d4a6b0462,6|6|1,13,0.15384615384615385
SURFACE_FREE,695726f4-9868-8329-95fe-4d71d983d464,7|6|1,35,0.14285714285714285
SURFACE_FREE,695e9bc7-b158-832c-92e7-316be2bc9388,4|2|0,172,0.9825581395348837
SURFACE_FREE,696d2abb-a3e4-8326-9754-399cd2d82695,4|2|0,172,0.8662790697674418
SURFACE_FREE,69826c1b-8508-8389-ac6a-56a19d0f252f,5|1|0,52,0.9615384615384616
SURFACE_FREE,6982cb68-f4c0-838b-ab0c-4cda364a4b46,7|5|1,52,0.34615384615384615
SURFACE_FREE,6983170e-0ef4-838b-8a6f-bd2ddc7fae89,8|7|1,7,0.0
