FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\PRE_EXTERNAL_THRESHOLDS.json,PRE_EXTERNAL_THRESHOLDS.json,.json,2168,2026-09-11T23:22:33.4417770Z,2026-09-11T23:22:33.4417770Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\SELECTION_AND_METHOD_FREEZE.json,SELECTION_AND_METHOD_FREEZE.json,.json,1770,2026-09-11T23:22:33.2508288Z,2026-09-11T23:22:33.2518258Z,AUTHORITY_OR_FREEZE|PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00007-of-00086_SCHEMA.json,train-00007-of-00086_SCHEMA.json,.json,7708,2026-09-11T23:22:33.5054988Z,2026-09-11T23:22:33.5054988Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00022-of-00086_SCHEMA.json,train-00022-of-00086_SCHEMA.json,.json,7708,2026-09-11T23:33:15.6225499Z,2026-09-11T23:33:15.6235287Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00041-of-00086_SCHEMA.json,train-00041-of-00086_SCHEMA.json,.json,7708,2026-09-11T23:45:35.0375567Z,2026-09-11T23:45:35.0375567Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00051-of-00086_SCHEMA.json,train-00051-of-00086_SCHEMA.json,.json,7708,2026-09-11T23:50:42.7941966Z,2026-09-11T23:50:42.7941966Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00052-of-00086_SCHEMA.json,train-00052-of-00086_SCHEMA.json,.json,7708,2026-09-12T00:00:28.1444649Z,2026-09-12T00:00:28.1444649Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\train-00054-of-00086_SCHEMA.json,train-00054-of-00086_SCHEMA.json,.json,7708,2026-09-12T00:15:53.7733060Z,2026-09-12T00:15:53.7733060Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\00_PREFLIGHT\WINDOW_MARGIN_THRESHOLDS.json,WINDOW_MARGIN_THRESHOLDS.json,.json,279,2026-09-11T23:22:33.4789308Z,2026-09-11T23:22:33.4789308Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY\01_EXTERNAL_FEATURES\EXTRACTION_COUNTS.json,EXTRACTION_COUNTS.json,.json,235,2026-09-12T00:30:38.9382400Z,2026-09-12T00:30:38.9382400Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-012,CAN-F2-B,True,False,False,False,False,,UNCLASSIFIED,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,PHASE8B_R2,F2-B - Corrected External Rarity,True,False,False,SELECT_AUTHORITATIVE_SOURCE
