EXPERIMENT_ID,SOURCE_CLUSTER,ELIGIBLE_FILE_COUNT
EXP-012,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE,63
EXP-012,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER,62
EXP-012,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER,37
EXP-012,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY,25
EXP-012,C:\RSOS\Training data\F2_B_CORRECTED_RARITY_RUNNER,24
EXP-012,C:\RSOS\Training data\F2_B_FRESH_WILDCHAT,15
EXP-012,C:\RSOS\Training data\F2_BR0_FULL_FINGERPRINT_RECOVERY,7
EXP-012,C:\RSOS\Training data\F2_MASTER_HANDOFF_PACKAGE,3
EXP-012,C:\RSOS\Training data\F2_B_CORRECTED_EXTERNAL_RARITY_RESULTS.zip,1
EXP-012,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE.zip,1
EXP-012,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_CORPUS_FINGERPRINT_REFREEZE_COMPLETE_SHA256.txt,1
EXP-012,C:\RSOS\Training data\F2_BR2_DETERMINISTIC_REFREEZE_RUNNER.zip,1
EXP-012,C:\RSOS\Training data\F2_BR2_EXACT_SEGMENT_REFREEZE_RUNNER.zip,1
