POPULATION,WINDOW,TYPE,N_LINEAGE,N_EXTERNAL,AUC_LINEAGE_GT_EXTERNAL,CI_LOW,CI_HIGH,P,REFERENCE,THRESHOLD,MATCHES,FRACTION,ONE_IN
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,SEPARATION,130.0,6014,0.7845616638100843,0.7615004093013739,0.8048286050497557,5.080662707531505e-29,,,,,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,6014,,0.16979137265590236,0.18935001588613348,,LINEAGE_Q50,8.747320699601733,1079.0,0.17941469903558363,5.573679332715478
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,6014,,0.14510072645674416,0.16351677395076414,,LINEAGE_Q75,11.153032525336275,927.0,0.15414033920851347,6.487594390507012
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,6014,,0.12793221645082256,0.14545158436855057,,LINEAGE_Q90,13.38811775352903,821.0,0.1365147988027935,7.325213154689403
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,6014,,0.1227584690445478,0.13998875672925734,,LINEAGE_Q95,14.012344918282752,789.0,0.1311938809444629,7.6223067173637515
ALL_USABLE,8,SEPARATION,130.0,14026,0.8247710296262983,0.8041452275444504,0.8425834576445941,1.2382555653066884e-37,,,,,
ALL_USABLE,8,TAIL,,14026,,0.14210167897542267,0.15392385121314942,,LINEAGE_Q50,8.747320699601733,2075.0,0.1479395408527021,6.759518072289157
ALL_USABLE,8,TAIL,,14026,,0.1210208150270835,0.1320934351429463,,LINEAGE_Q75,11.153032525336275,1774.0,0.126479395408527,7.906426155580609
ALL_USABLE,8,TAIL,,14026,,0.10438862502072777,0.1147958018174389,,LINEAGE_Q90,13.38811775352903,1536.0,0.10951090831313276,9.131510416666666
ALL_USABLE,8,TAIL,,14026,,0.09992247750240557,0.11013796843146502,,LINEAGE_Q95,14.012344918282752,1472.0,0.10494795380008555,9.528532608695652
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,SEPARATION,121.0,3336,0.7863329171373643,0.7687558217888499,0.8033846270091366,4.257966957669544e-27,,,,,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,3336,,0.19261752591876108,0.22036935492301732,,LINEAGE_Q50,2.0414228598855924,688.0,0.20623501199040767,4.848837209302325
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,3336,,0.1713250591238279,0.1979356739943932,,LINEAGE_Q75,2.481289204764341,615.0,0.1843525179856115,5.424390243902439
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,3336,,0.15184392243233413,0.17728470695078632,,LINEAGE_Q90,2.8695221705289984,548.0,0.1642685851318945,6.087591240875913
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,3336,,0.14749136401761373,0.17265248453860574,,LINEAGE_Q95,3.0017611092015026,533.0,0.15977218225419665,6.258911819887429
ALL_USABLE,12,SEPARATION,121.0,7829,0.8181258702281936,0.806355925046632,0.8292452884961506,1.2532477727821345e-33,,,,,
ALL_USABLE,12,TAIL,,7829,,0.16688273328794734,0.18385150725200508,,LINEAGE_Q50,2.0414228598855924,1372.0,0.1752458806999617,5.706268221574344
ALL_USABLE,12,TAIL,,7829,,0.14698720800739154,0.16314411100648837,,LINEAGE_Q75,2.481289204764341,1213.0,0.15493677353429558,6.454245671887882
ALL_USABLE,12,TAIL,,7829,,0.13038188049146968,0.1457860251530302,,LINEAGE_Q90,2.8695221705289984,1080.0,0.13794865244603396,7.249074074074074
ALL_USABLE,12,TAIL,,7829,,0.1268908001997743,0.1421269184696912,,LINEAGE_Q95,3.0017611092015026,1052.0,0.1343722059011368,7.442015209125476
