LANGUAGE,N
English,13408
Russian,6064
Chinese,2578
Spanish,1688
French,998
Persian,978
Portuguese,520
Korean,494
Arabic,468
German,368
Italian,279
Turkish,275
Polish,158
Vietnamese,144
Japanese,95
Indonesian,86
Hungarian,84
Ukrainian,77
Romanian,58
Dutch,41
Latin,28
Catalan,27
Hindi,23
Bulgarian,21
Hebrew,13
Czech,10
Lithuanian,10
Danish,10
Malay,9
Tagalog,8
Kazakh,7
Bengali,6
Croatian,6
Swedish,5
Swahili,5
Thai,4
Slovak,4
Tsonga,4
Bosnian,3
Esperanto,3
Yoruba,3
Urdu,3
Nolang,2
Slovene,2
Georgian,2
Azerbaijani,2
Estonian,2
Greek,2
Finnish,1
Bokmal,1
Afrikaans,1
Latvian,1
Macedonian,1
Maori,1
Sotho,1
Welsh,1
