LANGUAGE,MODEL,N,COMPOSITE_MIN_Z_90_TOL_MATCHES,FRACTION
Arabic,gpt-3.5-turbo-0613,258,0,0.0
Chinese,gpt-3.5-turbo-0613,1659,0,0.0
Chinese,gpt-4-turbo-2024-04-09,125,0,0.0
Chinese,gpt-4o-2024-05-13,275,3,0.01090909090909091
Chinese,gpt-4o-2024-08-06,211,2,0.009478672985781991
Chinese,gpt-4o-mini-2024-07-18,164,0,0.0
English,gpt-3.5-turbo-0125,620,9,0.014516129032258065
English,gpt-3.5-turbo-0613,4943,44,0.008901476835929597
English,gpt-4-turbo-2024-04-09,1136,45,0.03961267605633803
English,gpt-4o-2024-05-13,2135,56,0.02622950819672131
English,gpt-4o-2024-08-06,1854,82,0.04422869471413161
English,gpt-4o-2024-11-20,692,38,0.05491329479768786
English,gpt-4o-mini-2024-07-18,2028,106,0.05226824457593689
French,gpt-3.5-turbo-0125,135,0,0.0
French,gpt-3.5-turbo-0613,397,0,0.0
French,gpt-4o-2024-05-13,177,0,0.0
French,gpt-4o-mini-2024-07-18,164,0,0.0
German,gpt-4o-2024-05-13,101,0,0.0
Korean,gpt-4o-mini-2024-07-18,238,1,0.004201680672268907
Persian,gpt-4o-2024-08-06,481,0,0.0
Persian,gpt-4o-mini-2024-07-18,311,0,0.0
Portuguese,gpt-3.5-turbo-0613,105,0,0.0
Portuguese,gpt-4o-2024-05-13,108,0,0.0
Portuguese,gpt-4o-mini-2024-07-18,108,0,0.0
Russian,gpt-3.5-turbo-0125,395,0,0.0
Russian,gpt-3.5-turbo-0613,1091,0,0.0
Russian,gpt-4-turbo-2024-04-09,621,0,0.0
Russian,gpt-4o-2024-05-13,852,2,0.002347417840375587
Russian,gpt-4o-2024-08-06,1278,3,0.002347417840375587
Russian,gpt-4o-2024-11-20,317,1,0.0031545741324921135
Russian,gpt-4o-mini-2024-07-18,1510,3,0.001986754966887417
Spanish,gpt-3.5-turbo-0613,377,0,0.0
Spanish,gpt-4-turbo-2024-04-09,127,0,0.0
Spanish,gpt-4o-2024-05-13,328,0,0.0
Spanish,gpt-4o-2024-08-06,365,0,0.0
Spanish,gpt-4o-mini-2024-07-18,334,1,0.0029940119760479044
