POPULATION,MEASURE,N_LINEAGE,N_EXTERNAL,AUC_LINEAGE_GT_EXTERNAL,CI_LOW,CI_HIGH,P
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,137,13408,0.8974492840095465,0.8843234456387297,0.9089744193465499,3.771658798612897e-58
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,137,13408,0.8931044544710206,0.8697070356732227,0.9109018011907043,6.23696981185525e-57
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,137,13408,0.7236925770430116,0.7045816148546244,0.7408663582478268,9.102832926285966e-20
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,137,13408,0.743631103775064,0.7174011756789714,0.7724233979495845,4.270091839607336e-23
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MEDIAN_Z,137,13408,0.9824938374300994,0.9664132318868351,0.9958986518561748,1.1217787972542396e-84
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MIN_Z,137,13408,0.9698752678431442,0.9488852934515617,0.9890511493301745,2.0313626095523304e-80
PRIMARY_ENGLISH_NO_SYSTEM_HIT,MAHALANOBIS,137,13408,0.9576399534867516,0.9346059058324478,0.9776845286831698,2.133964306017815e-76
PRIMARY_ENGLISH_NO_SYSTEM_HIT,KNN5_DISTANCE,137,13408,0.9620697089002316,0.9351379718830027,0.9814534818519938,7.681321985190343e-78
PRIMARY_ENGLISH_NO_SYSTEM_HIT,CENTROID_COSINE,137,13408,0.9739968947615978,0.9543817668501646,0.9897882895928785,8.499039567928037e-82
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,137,29093,0.9326458994701361,0.9212791611396727,0.9408866820498373,7.074109225355684e-69
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,137,29093,0.8862432355740124,0.8599529547956076,0.9090232343245584,2.5100327736252514e-55
ALL_USABLE,SURFACE_FREE_MARGIN,137,29093,0.7255923051698543,0.7067485882800714,0.742277301761454,3.5767445418179274e-20
ALL_USABLE,R1_COMPATIBLE_MARGIN,137,29093,0.5918292232234859,0.5636246309030115,0.6193499715611225,0.00010179164832352104
ALL_USABLE,COMPOSITE_MEDIAN_Z,137,29093,0.988819393934528,0.9787288674803506,0.9967963610781533,2.545117525712323e-87
ALL_USABLE,COMPOSITE_MIN_Z,137,29093,0.981427042048141,0.9646801999929246,0.9930223200654533,9.134394769565079e-85
ALL_USABLE,MAHALANOBIS,137,29093,0.973991787223505,0.9578464957958883,0.9867743538779866,3.1003477042949e-82
ALL_USABLE,KNN5_DISTANCE,137,29093,0.9769229862151103,0.9610388570155463,0.9887220155549494,3.1506447680242348e-83
ALL_USABLE,CENTROID_COSINE,137,29093,0.9771387553782347,0.9569061060415116,0.9906896986030953,2.6611053198287856e-83
