FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER,AUDIT_VERSION,PHASE8C_POLICY_NAME,IN_AUTHORITATIVE_ROOT,EXCLUDED_ROOT_MATCH,CROSS_OVERRIDE,PHASE8C_DECISION
C:\RSOS\RSOS  Python Results\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,.py,23894,2026-09-12T16:21:25.1167431Z,2026-09-12T16:21:26.0138776Z,RUNNER,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,03_RUNNER,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS  Python Results\RUN_WF1_P0_HISTORICAL_CORPUS_BRIDGE.py,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_FREEZE.txt,00_PRE_RUN_FREEZE.txt,.txt,741,2026-09-12T16:36:34.1993774Z,2026-09-12T16:36:34.1993774Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_FREEZE.txt,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_MANIFEST.csv,00_PRE_RUN_MANIFEST.csv,.csv,626,2026-09-12T16:36:34.1923543Z,2026-09-12T16:36:34.1923543Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,00_CONTROL,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\00_PRE_RUN_MANIFEST.csv,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_POST_RUN_OUTPUT_SHA256.csv,99_POST_RUN_OUTPUT_SHA256.csv,.csv,2250,2026-09-12T16:49:14.9388308Z,2026-09-12T16:49:15.2740432Z,RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_POST_RUN_OUTPUT_SHA256.csv,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_WF1_P0_COMPLETE.txt,99_WF1_P0_COMPLETE.txt,.txt,673,2026-09-12T16:49:15.2770458Z,2026-09-12T16:49:15.2770458Z,AUTHORITY_OR_FREEZE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\99_WF1_P0_COMPLETE.txt,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\ADJUDICATION\WF1_P0_FINAL_ADJUDICATION_AND_FEATURE_FREEZE.zip,WF1_P0_FINAL_ADJUDICATION_AND_FEATURE_FREEZE.zip,.zip,5342,2026-09-12T16:58:56.5128264Z,2026-09-12T16:58:57.1769471Z,AUTHORITY_OR_FREEZE|RESULT_OR_OUTPUT,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\ADJUDICATION,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS\CANONICAL_CHATGPT_HISTORICAL_CORPUS.zip,CANONICAL_CHATGPT_HISTORICAL_CORPUS.zip,.zip,64896542,2026-09-12T16:36:29.2650484Z,2026-09-05T20:03:11.7611209Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,02_INPUTS,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS\RSOS_CLAIM_DISCOVERY_BUNDLE.zip,RSOS_CLAIM_DISCOVERY_BUNDLE.zip,.zip,247557092,2026-09-12T16:36:29.5079869Z,2026-09-12T04:13:40.1707231Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,08_PACKAGE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\INPUTS,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\00_INPUT_SHA256.csv,00_INPUT_SHA256.csv,.csv,396,2026-09-12T16:36:36.4719608Z,2026-09-12T16:36:36.4756484Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,09_FREEZE,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT\00_PROTOCOL.txt,00_PROTOCOL.txt,.txt,739,2026-09-12T16:36:35.1750786Z,2026-09-12T16:36:35.1760808Z,PROTOCOL_OR_METHOD,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-013,CAN-WF1-P0,True,False,False,False,False,,01_PROTOCOL,ELIGIBLE_PRIMARY_CANDIDATE,C:\RSOS\RSOS_EXPERIMENTS_WF1_P0_HISTORICAL_CORPUS_BRIDGE\OUTPUT,PHASE8B_R2,WF1-P0 - Historical Corpus Bridge,True,False,False,SELECT_AUTHORITATIVE_SOURCE
