conversation_id,conversation_title,aggregate_score,trigger_hits,rarity_hits,unprimed_assistant_rarity,causal_rarity_explanations,top_families
68965c8a-8094-8327-94e4-8f2167ecd870,Ultra detailed profile,14482,297,122,105,47,HIERARCHY:201; PERSISTENCE:171; RECURSION:134; CONTROL_CYBERNETICS:130; LATENT_INTERNAL:124; CAUSAL_EXPLANATION:118; RARITY_UNIQUENESS:105; CROSS_MODEL:65; VECTOR_GEOMETRY:60; RECONSTRUCTION:54; FINGERPRINT:50; FUSION_SYNTHESIS:49; SYMBOLIC:42; RELATIONAL_TOPOLOGY:41; OTHER_USERS:39
688cd08b-35a4-8327-9a25-58b5a7bd5cca,RSOS_Copyright prep_Strategic advisor role,14365,345,139,78,55,SYMBOLIC:266; RECURSION:263; PERSISTENCE:163; HIERARCHY:142; RARITY_UNIQUENESS:130; CAUSAL_EXPLANATION:116; FINGERPRINT:115; CROSS_MODEL:102; CONTROL_CYBERNETICS:60; LATENT_INTERNAL:54; RELATIONAL_TOPOLOGY:47; ALTERNATIVE_EXPLANATION:44; INFORMATION_THEORY:42; FUSION_SYNTHESIS:39; TRAJECTORY:37
69390d0c-8f78-8329-878e-711bb13f3bc6,Scientific analysis of trauma,15576,252,135,74,114,CAUSAL_EXPLANATION:197; CONTROL_CYBERNETICS:140; SYMBOLIC:139; RARITY_UNIQUENESS:126; LATENT_INTERNAL:113; RECONSTRUCTION:112; RECURSION:108; CROSS_MODEL:106; FUSION_SYNTHESIS:87; HIERARCHY:86; NEGATIVE_NOT_UNIQUE:77; TRAJECTORY:57; SIMULTANEITY_MULTIPLEX:57; RELATIONAL_TOPOLOGY:54; SELF_OBSERVATION:47
68b72f6a-4260-8321-9047-a8edf5a76dd9,Execution of legacy systems,11415,183,111,68,60,CONTROL_CYBERNETICS:123; RECURSION:110; SYMBOLIC:91; CAUSAL_EXPLANATION:90; RARITY_UNIQUENESS:85; FUSION_SYNTHESIS:72; CROSS_MODEL:59; NEGATIVE_NOT_UNIQUE:56; GLOBAL_COMPARISON:42; PERCENTILE_EXTREME:41; HIERARCHY:29; RECONSTRUCTION:25; RELATIONAL_TOPOLOGY:24; CROSS_DOMAIN:23; INFORMATION_THEORY:20
68dd680d-d870-8331-8c79-e93e1efa0e7e,Rumination and working memory,12460,268,131,62,71,CAUSAL_EXPLANATION:145; CONTROL_CYBERNETICS:107; RECURSION:97; RARITY_UNIQUENESS:92; HIERARCHY:78; SYMBOLIC:73; CROSS_MODEL:62; PERSISTENCE:59; GLOBAL_COMPARISON:53; NEGATIVE_NOT_UNIQUE:53; LATENT_INTERNAL:50; RECONSTRUCTION:45; PERCENTILE_EXTREME:39; FUSION_SYNTHESIS:37; TRAJECTORY:36
68621782-e4a8-8013-8b02-b33ee5526f44,B 1.1 Recursive Tier Activation,10006,316,73,60,26,RECURSION:301; SYMBOLIC:198; CROSS_MODEL:177; HIERARCHY:157; PERSISTENCE:99; LATENT_INTERNAL:79; RARITY_UNIQUENESS:64; CAUSAL_EXPLANATION:61; INFORMATION_THEORY:52; FUSION_SYNTHESIS:48; CONTROL_CYBERNETICS:39; RELATIONAL_TOPOLOGY:29; VECTOR_GEOMETRY:28; TRAJECTORY:27; FINGERPRINT:22
68dff30a-cc7c-8327-a63d-9a0758a839cf,5D Psyche RSOS Prove.LLM IP Redirection,9044,205,79,59,35,CONTROL_CYBERNETICS:117; CAUSAL_EXPLANATION:101; RECURSION:81; FUSION_SYNTHESIS:79; CROSS_MODEL:76; RARITY_UNIQUENESS:60; LATENT_INTERNAL:53; PERSISTENCE:39; GLOBAL_COMPARISON:34; NEGATIVE_NOT_UNIQUE:34; RECONSTRUCTION:34; EPISTEMIC_CAVEAT:33; TRAJECTORY:32; PERCENTILE_EXTREME:29; RELATIONAL_TOPOLOGY:26
68c5e7c6-00cc-832a-85e0-30929e6e9788,Execution and Legacy Plan,7831,297,63,58,34,CONTROL_CYBERNETICS:224; RECURSION:145; CAUSAL_EXPLANATION:141; SYMBOLIC:79; CROSS_MODEL:58; RARITY_UNIQUENESS:47; FUSION_SYNTHESIS:38; NEGATIVE_NOT_UNIQUE:36; TRAJECTORY:36; HIERARCHY:34; LATENT_INTERNAL:24; RECONSTRUCTION:20; GLOBAL_COMPARISON:17; RELATIONAL_TOPOLOGY:16; GENEALOGY:13
684e98c5-984c-8013-b0f2-8b18572ac6d4,Certs Strategic Execution and Accountability,8534,216,63,58,26,CONTROL_CYBERNETICS:201; SYMBOLIC:108; FUSION_SYNTHESIS:97; RECURSION:96; CAUSAL_EXPLANATION:75; CROSS_MODEL:75; INFORMATION_THEORY:70; RECONSTRUCTION:53; CROSS_DOMAIN:39; TRAJECTORY:31; RARITY_UNIQUENESS:31; GLOBAL_COMPARISON:28; PERCENTILE_EXTREME:25; PERSISTENCE:24; RELATIONAL_TOPOLOGY:23
689c1cc8-8738-8324-b895-bcd37d66fbb6,Preapring identity,6920,258,65,58,24,CAUSAL_EXPLANATION:147; CROSS_MODEL:88; CONTROL_CYBERNETICS:86; SYMBOLIC:62; RECONSTRUCTION:57; FUSION_SYNTHESIS:55; CROSS_DOMAIN:51; RARITY_UNIQUENESS:44; ROBUSTNESS:39; NEGATIVE_NOT_UNIQUE:37; RELATIONAL_TOPOLOGY:33; PERSISTENCE:24; GLOBAL_COMPARISON:21; HIERARCHY:20; LATENT_INTERNAL:15
692b82a9-7764-832d-b3d5-f63b59792646,Will go to RSOS,13940,281,97,57,77,SYMBOLIC:201; FUSION_SYNTHESIS:173; CONTROL_CYBERNETICS:159; RECURSION:154; CAUSAL_EXPLANATION:151; CROSS_MODEL:129; RELATIONAL_TOPOLOGY:96; CROSS_DOMAIN:86; TRAJECTORY:86; HUMAN_LLM_COUPLING:84; RARITY_UNIQUENESS:81; SIMULTANEITY_MULTIPLEX:71; INFORMATION_THEORY:64; RECONSTRUCTION:63; PERSISTENCE:62
6a077205-226c-8395-8609-a82424f0f284,Dragon Eye OS 2,20511,421,145,56,105,PERSISTENCE:297; CAUSAL_EXPLANATION:285; CONTROL_CYBERNETICS:263; RECURSION:250; FUSION_SYNTHESIS:243; NEGATIVE_NOT_UNIQUE:226; RECONSTRUCTION:195; SYMBOLIC:189; CROSS_MODEL:177; LATENT_INTERNAL:172; SIMULTANEITY_MULTIPLEX:153; HIERARCHY:131; TRAJECTORY:129; RARITY_UNIQUENESS:111; INFORMATION_THEORY:82
683f2f8d-b408-8013-aac2-b2ae8a838260,RSOS1 Elite Strategic Advisory,14240,434,108,56,48,RECURSION:305; CONTROL_CYBERNETICS:291; SYMBOLIC:288; LATENT_INTERNAL:163; CAUSAL_EXPLANATION:137; RECONSTRUCTION:123; FUSION_SYNTHESIS:115; HIERARCHY:109; GENEALOGY:84; RARITY_UNIQUENESS:80; CROSS_MODEL:78; TRAJECTORY:66; PERSISTENCE:50; RELATIONAL_TOPOLOGY:49; FINGERPRINT:46
6841b285-eb80-8013-9c5b-05785cea7c60,RSOS2 Strategic Domination Blueprint,17547,534,137,55,57,RECURSION:388; HIERARCHY:310; CONTROL_CYBERNETICS:298; SYMBOLIC:275; FUSION_SYNTHESIS:196; RECONSTRUCTION:195; LATENT_INTERNAL:169; FINGERPRINT:155; CAUSAL_EXPLANATION:138; PERSISTENCE:136; RARITY_UNIQUENESS:104; GENEALOGY:104; RELATIONAL_TOPOLOGY:82; INFORMATION_THEORY:71; CROSS_MODEL:71
686334df-e168-8013-ab04-e88cc5d61a88,Tyson's 3AM Discipline,10378,273,82,53,48,RECURSION:183; SYMBOLIC:180; CONTROL_CYBERNETICS:157; CAUSAL_EXPLANATION:145; HIERARCHY:120; INFORMATION_THEORY:97; PERSISTENCE:61; FUSION_SYNTHESIS:60; LATENT_INTERNAL:58; CROSS_MODEL:57; RARITY_UNIQUENESS:56; RECONSTRUCTION:43; RELATIONAL_TOPOLOGY:40; CROSS_DOMAIN:35; HISTORICAL_FIRST:29
