user_state,assistant_state,count,p_to_given_from,global_fraction
none,control,4394,0.1763171622326552,0.12492536889091065
none,none,4362,0.1750331046105694,0.12401558013248799
none,symbolic,3969,0.15926327193932827,0.11284223694310977
none,hierarchy,3462,0.13891898398940652,0.09842777130185085
none,recursion,2457,0.09859154929577464,0.06985471810763938
none,persistence,1224,0.04911520404478151,0.03479942000966651
hierarchy,hierarchy,1035,0.529682702149437,0.029425980155232706
symbolic,symbolic,858,0.609375,0.024393711085207402
control,control,759,0.6062300319488818,0.02157905211383732
none,reconstruction,747,0.029974720115565186,0.021237881329428825
none,topology,676,0.027125717266562335,0.01921928752167856
none,trajectory,614,0.024637855623771118,0.017456571802234668
recursion,recursion,598,0.4603541185527329,0.017001677423023342
none,generativity,585,0.023474178403755867,0.01663207573991414
none,information,555,0.02227037438305044,0.0157791487788929
none,constraints,476,0.019100357128526143,0.013533107781536975
hierarchy,symbolic,350,0.17911975435005117,0.009950814545247775
none,meta,330,0.01324184422775972,0.009382196571233617
recursion,symbolic,287,0.22093918398768284,0.008159667927103176
none,robustness,285,0.011436138196701577,0.00810280612970176
symbolic,hierarchy,238,0.1690340909090909,0.006766553890768487
hierarchy,recursion,216,0.1105424769703173,0.006141074119352913
recursion,hierarchy,205,0.1578137028483449,0.005828334233645126
none,coupling,205,0.008225994141487098,0.005828334233645126
none,cross_domain,200,0.008025360138036194,0.005686179740141586
information,information,193,0.26116373477672533,0.00548716344923663
topology,topology,168,0.3463917525773196,0.004776390981718932
none,composition,167,0.006701175715260222,0.004747960083018224
reconstruction,reconstruction,166,0.33535353535353535,0.004719529184317516
symbolic,recursion,137,0.09730113636363637,0.0038950331219969863
hierarchy,control,133,0.06806550665301944,0.0037813095271941547
persistence,persistence,130,0.2549019607843137,0.003696016831092031
control,symbolic,130,0.10383386581469649,0.003696016831092031
meta,meta,129,0.16559691912708602,0.0036675859323913227
none,compression,126,0.005055976886962802,0.003582293236289199
meta,symbolic,124,0.15917843388960207,0.003525431438887783
meta,none,111,0.14249037227214378,0.00315582975577858
control,hierarchy,109,0.08706070287539937,0.0030989679583771643
meta,hierarchy,105,0.13478818998716302,0.0029852443635743327
generativity,generativity,103,0.2909604519774011,0.002928382566172917
reconstruction,symbolic,98,0.19797979797979798,0.002786228072669377
information,symbolic,95,0.12855209742895804,0.0027009353765672533
information,none,91,0.12313937753721245,0.0025872117817644217
recursion,control,90,0.06928406466512702,0.002558780883063714
persistence,symbolic,83,0.1627450980392157,0.002359764592158758
generativity,none,81,0.2288135593220339,0.0023029027947573423
meta,control,81,0.10397946084724005,0.0023029027947573423
control,recursion,80,0.06389776357827476,0.0022744718960566344
reconstruction,control,78,0.15757575757575756,0.0022176100986552186
trajectory,trajectory,77,0.2862453531598513,0.0021891791999545107
topology,symbolic,75,0.15463917525773196,0.002132317402553095
information,recursion,72,0.09742895805142084,0.002047024706450971
persistence,control,64,0.12549019607843137,0.0018195775168453074
information,hierarchy,64,0.08660351826792964,0.0018195775168453074
constraints,constraints,61,0.3177083333333333,0.0017342848207431837
information,persistence,60,0.08119079837618404,0.0017058539220424758
information,control,58,0.07848443843031123,0.00164899212464106
symbolic,control,54,0.03835227272727273,0.0015352685298382282
none,genealogy,54,0.0021668472372697724,0.0015352685298382282
topology,hierarchy,54,0.11134020618556702,0.0015352685298382282
meta,recursion,53,0.06803594351732992,0.0015068376311375203
persistence,hierarchy,52,0.10196078431372549,0.0014784067324368124
cross_domain,cross_domain,51,0.35172413793103446,0.0014499758337361043
reconstruction,hierarchy,51,0.10303030303030303,0.0014499758337361043
trajectory,symbolic,49,0.1821561338289963,0.0013931140363346885
persistence,none,45,0.08823529411764706,0.001279390441531857
persistence,recursion,39,0.07647058823529412,0.0011088050493276093
topology,control,38,0.07835051546391752,0.0010803741506269014
hierarchy,persistence,37,0.018935516888433982,0.0010519432519261933
meta,persistence,37,0.04749679075738126,0.0010519432519261933
hierarchy,none,35,0.01791197543500512,0.0009950814545247775
generativity,symbolic,34,0.096045197740113,0.0009666505558240696
reconstruction,recursion,33,0.06666666666666667,0.0009382196571233617
control,none,33,0.026357827476038338,0.0009382196571233617
none,cross_model,33,0.0013241844227759722,0.0009382196571233617
composition,composition,32,0.26666666666666666,0.0009097887584226537
cross_domain,hierarchy,32,0.2206896551724138,0.0009097887584226537
trajectory,control,31,0.11524163568773234,0.0008813578597219458
topology,persistence,31,0.06391752577319587,0.0008813578597219458
topology,recursion,31,0.06391752577319587,0.0008813578597219458
constraints,hierarchy,29,0.15104166666666666,0.00082449606232053
control,constraints,28,0.022364217252396165,0.000796065163619822
topology,constraints,28,0.0577319587628866,0.000796065163619822
control,persistence,28,0.022364217252396165,0.000796065163619822
composition,symbolic,28,0.23333333333333334,0.000796065163619822
constraints,control,27,0.140625,0.0007676342649191141
robustness,robustness,27,0.3333333333333333,0.0007676342649191141
trajectory,none,27,0.10037174721189591,0.0007676342649191141
hierarchy,topology,26,0.01330603889457523,0.0007392033662184062
compression,symbolic,26,0.3939393939393939,0.0007392033662184062
persistence,constraints,25,0.049019607843137254,0.0007107724675176982
meta,topology,25,0.03209242618741977,0.0007107724675176982
symbolic,none,24,0.017045454545454544,0.0006823415688169903
control,reconstruction,24,0.019169329073482427,0.0006823415688169903
generativity,hierarchy,23,0.06497175141242938,0.0006539106701162824
recursion,persistence,22,0.016936104695919937,0.0006254797714155744
hierarchy,meta,22,0.011258955987717503,0.0006254797714155744
cross_domain,symbolic,21,0.14482758620689656,0.0005970488727148665
hierarchy,reconstruction,21,0.010747185261003071,0.0005970488727148665
robustness,control,20,0.24691358024691357,0.0005686179740141586
information,topology,20,0.02706359945872801,0.0005686179740141586
reconstruction,trajectory,19,0.03838383838383838,0.0005401870753134507
generativity,persistence,19,0.05367231638418079,0.0005401870753134507
constraints,symbolic,19,0.09895833333333333,0.0005401870753134507
meta,composition,19,0.024390243902439025,0.0005401870753134507
meta,generativity,19,0.024390243902439025,0.0005401870753134507
hierarchy,trajectory,17,0.008700102354145343,0.0004833252779120348
coupling,coupling,17,0.17894736842105263,0.0004833252779120348
meta,constraints,17,0.021822849807445442,0.0004833252779120348
trajectory,persistence,16,0.05947955390334572,0.00045489437921132685
generativity,trajectory,16,0.04519774011299435,0.00045489437921132685
symbolic,persistence,16,0.011363636363636364,0.00045489437921132685
recursion,none,16,0.012317167051578136,0.00045489437921132685
persistence,generativity,16,0.03137254901960784,0.00045489437921132685
trajectory,hierarchy,15,0.055762081784386616,0.00042646348051061895
information,meta,15,0.02029769959404601,0.00042646348051061895
symbolic,reconstruction,15,0.01065340909090909,0.00042646348051061895
information,reconstruction,15,0.02029769959404601,0.00042646348051061895
coupling,symbolic,15,0.15789473684210525,0.00042646348051061895
recursion,topology,15,0.011547344110854504,0.00042646348051061895
hierarchy,constraints,14,0.007164790174002047,0.000398032581809911
information,constraints,14,0.018944519621109608,0.000398032581809911
information,trajectory,14,0.018944519621109608,0.000398032581809911
coupling,recursion,14,0.14736842105263157,0.000398032581809911
topology,none,14,0.0288659793814433,0.000398032581809911
constraints,recursion,14,0.07291666666666667,0.000398032581809911
generativity,topology,13,0.03672316384180791,0.0003696016831092031
reconstruction,persistence,13,0.026262626262626262,0.0003696016831092031
trajectory,recursion,13,0.048327137546468404,0.0003696016831092031
control,trajectory,13,0.010383386581469648,0.0003696016831092031
meta,reconstruction,13,0.01668806161745828,0.0003696016831092031
compression,hierarchy,13,0.19696969696969696,0.0003696016831092031
meta,trajectory,12,0.01540436456996149,0.00034117078440849515
coupling,control,12,0.12631578947368421,0.00034117078440849515
constraints,persistence,12,0.0625,0.00034117078440849515
topology,generativity,12,0.024742268041237112,0.00034117078440849515
coupling,none,12,0.12631578947368421,0.00034117078440849515
hierarchy,generativity,12,0.006141248720573183,0.00034117078440849515
persistence,reconstruction,12,0.023529411764705882,0.00034117078440849515
symbolic,generativity,12,0.008522727272727272,0.00034117078440849515
composition,none,11,0.09166666666666666,0.0003127398857077872
constraints,trajectory,11,0.057291666666666664,0.0003127398857077872
generativity,constraints,11,0.031073446327683617,0.0003127398857077872
meta,information,11,0.014120667522464698,0.0003127398857077872
information,generativity,11,0.014884979702300407,0.0003127398857077872
generativity,reconstruction,11,0.031073446327683617,0.0003127398857077872
trajectory,generativity,10,0.03717472118959108,0.0002843089870070793
persistence,information,10,0.0196078431372549,0.0002843089870070793
symbolic,topology,10,0.007102272727272727,0.0002843089870070793
recursion,meta,10,0.007698229407236336,0.0002843089870070793
robustness,symbolic,10,0.12345679012345678,0.0002843089870070793
persistence,meta,10,0.0196078431372549,0.0002843089870070793
control,topology,10,0.007987220447284345,0.0002843089870070793
recursion,information,10,0.007698229407236336,0.0002843089870070793
generativity,recursion,10,0.02824858757062147,0.0002843089870070793
composition,hierarchy,10,0.08333333333333333,0.0002843089870070793
composition,control,10,0.08333333333333333,0.0002843089870070793
coupling,hierarchy,10,0.10526315789473684,0.0002843089870070793
cross_domain,control,10,0.06896551724137931,0.0002843089870070793
hierarchy,robustness,9,0.004605936540429887,0.00025587808830637135
reconstruction,constraints,9,0.01818181818181818,0.00025587808830637135
trajectory,reconstruction,9,0.03345724907063197,0.00025587808830637135
generativity,control,9,0.025423728813559324,0.00025587808830637135
recursion,trajectory,9,0.006928406466512702,0.00025587808830637135
recursion,constraints,9,0.006928406466512702,0.00025587808830637135
topology,information,9,0.018556701030927835,0.00025587808830637135
control,meta,8,0.006389776357827476,0.00022744718960566342
symbolic,cross_domain,8,0.005681818181818182,0.00022744718960566342
compression,compression,8,0.12121212121212122,0.00022744718960566342
hierarchy,cross_domain,8,0.0040941658137154556,0.00022744718960566342
persistence,trajectory,8,0.01568627450980392,0.00022744718960566342
compression,control,8,0.12121212121212122,0.00022744718960566342
topology,reconstruction,8,0.016494845360824743,0.00022744718960566342
symbolic,constraints,8,0.005681818181818182,0.00022744718960566342
meta,compression,7,0.008985879332477536,0.0001990162909049555
recursion,cross_domain,7,0.005388760585065435,0.0001990162909049555
hierarchy,compression,7,0.0035823950870010235,0.0001990162909049555
control,composition,7,0.005591054313099041,0.0001990162909049555
control,information,7,0.005591054313099041,0.0001990162909049555
symbolic,trajectory,7,0.004971590909090909,0.0001990162909049555
generativity,information,7,0.01977401129943503,0.0001990162909049555
persistence,topology,6,0.011764705882352941,0.00017058539220424757
recursion,generativity,6,0.004618937644341801,0.00017058539220424757
recursion,reconstruction,6,0.004618937644341801,0.00017058539220424757
cross_domain,recursion,6,0.041379310344827586,0.00017058539220424757
information,robustness,6,0.008119079837618403,0.00017058539220424757
constraints,none,6,0.03125,0.00017058539220424757
symbolic,meta,6,0.004261363636363636,0.00017058539220424757
robustness,persistence,6,0.07407407407407407,0.00017058539220424757
generativity,coupling,6,0.01694915254237288,0.00017058539220424757
composition,information,6,0.05,0.00017058539220424757
meta,cross_domain,6,0.007702182284980745,0.00017058539220424757
reconstruction,topology,6,0.012121212121212121,0.00017058539220424757
robustness,hierarchy,6,0.07407407407407407,0.00017058539220424757
composition,persistence,5,0.041666666666666664,0.00014215449350353965
topology,meta,5,0.010309278350515464,0.00014215449350353965
trajectory,constraints,5,0.01858736059479554,0.00014215449350353965
hierarchy,information,4,0.0020470829068577278,0.00011372359480283171
control,robustness,4,0.003194888178913738,0.00011372359480283171
composition,meta,4,0.03333333333333333,0.00011372359480283171
generativity,meta,4,0.011299435028248588,0.00011372359480283171
cross_domain,meta,4,0.027586206896551724,0.00011372359480283171
constraints,generativity,4,0.020833333333333332,0.00011372359480283171
cross_domain,persistence,4,0.027586206896551724,0.00011372359480283171
symbolic,composition,4,0.002840909090909091,0.00011372359480283171
symbolic,information,4,0.002840909090909091,0.00011372359480283171
robustness,reconstruction,4,0.04938271604938271,0.00011372359480283171
recursion,coupling,4,0.003079291762894534,0.00011372359480283171
information,cross_domain,4,0.005412719891745603,0.00011372359480283171
reconstruction,generativity,4,0.00808080808080808,0.00011372359480283171
coupling,trajectory,4,0.042105263157894736,0.00011372359480283171
meta,robustness,4,0.005134788189987163,0.00011372359480283171
symbolic,compression,4,0.002840909090909091,0.00011372359480283171
meta,coupling,4,0.005134788189987163,0.00011372359480283171
reconstruction,robustness,4,0.00808080808080808,0.00011372359480283171
control,compression,4,0.003194888178913738,0.00011372359480283171
reconstruction,none,4,0.00808080808080808,0.00011372359480283171
hierarchy,genealogy,3,0.0015353121801432957,8.529269610212379e-05
hierarchy,coupling,3,0.0015353121801432957,8.529269610212379e-05
persistence,compression,3,0.0058823529411764705,8.529269610212379e-05
control,cross_domain,3,0.0023961661341853034,8.529269610212379e-05
coupling,constraints,3,0.031578947368421054,8.529269610212379e-05
constraints,compression,3,0.015625,8.529269610212379e-05
topology,trajectory,3,0.006185567010309278,8.529269610212379e-05
cross_domain,topology,3,0.020689655172413793,8.529269610212379e-05
trajectory,robustness,3,0.011152416356877323,8.529269610212379e-05
cross_domain,reconstruction,3,0.020689655172413793,8.529269610212379e-05
robustness,recursion,3,0.037037037037037035,8.529269610212379e-05
coupling,persistence,3,0.031578947368421054,8.529269610212379e-05
composition,reconstruction,3,0.025,8.529269610212379e-05
reconstruction,information,3,0.006060606060606061,8.529269610212379e-05
trajectory,coupling,3,0.011152416356877323,8.529269610212379e-05
control,coupling,3,0.0023961661341853034,8.529269610212379e-05
persistence,robustness,3,0.0058823529411764705,8.529269610212379e-05
topology,composition,3,0.006185567010309278,8.529269610212379e-05
trajectory,meta,3,0.011152416356877323,8.529269610212379e-05
cross_domain,none,3,0.020689655172413793,8.529269610212379e-05
generativity,composition,2,0.005649717514124294,5.6861797401415856e-05
trajectory,information,2,0.007434944237918215,5.6861797401415856e-05
composition,trajectory,2,0.016666666666666666,5.6861797401415856e-05
compression,information,2,0.030303030303030304,5.6861797401415856e-05
generativity,genealogy,2,0.005649717514124294,5.6861797401415856e-05
composition,constraints,2,0.016666666666666666,5.6861797401415856e-05
cross_domain,constraints,2,0.013793103448275862,5.6861797401415856e-05
coupling,cross_domain,2,0.021052631578947368,5.6861797401415856e-05
genealogy,hierarchy,2,0.2857142857142857,5.6861797401415856e-05
symbolic,robustness,2,0.0014204545454545455,5.6861797401415856e-05
robustness,none,2,0.024691358024691357,5.6861797401415856e-05
recursion,compression,2,0.001539645881447267,5.6861797401415856e-05
genealogy,symbolic,2,0.2857142857142857,5.6861797401415856e-05
control,generativity,2,0.001597444089456869,5.6861797401415856e-05
information,coupling,2,0.0027063599458728013,5.6861797401415856e-05
reconstruction,compression,2,0.00404040404040404,5.6861797401415856e-05
compression,recursion,2,0.030303030303030304,5.6861797401415856e-05
generativity,compression,2,0.005649717514124294,5.6861797401415856e-05
recursion,composition,2,0.001539645881447267,5.6861797401415856e-05
composition,cross_domain,2,0.016666666666666666,5.6861797401415856e-05
topology,cross_domain,2,0.004123711340206186,5.6861797401415856e-05
information,compression,2,0.0027063599458728013,5.6861797401415856e-05
composition,topology,2,0.016666666666666666,5.6861797401415856e-05
reconstruction,composition,2,0.00404040404040404,5.6861797401415856e-05
trajectory,topology,2,0.007434944237918215,5.6861797401415856e-05
composition,recursion,2,0.016666666666666666,5.6861797401415856e-05
trajectory,cross_domain,2,0.007434944237918215,5.6861797401415856e-05
cross_domain,compression,2,0.013793103448275862,5.6861797401415856e-05
cross_domain,information,2,0.013793103448275862,5.6861797401415856e-05
coupling,compression,1,0.010526315789473684,2.8430898700707928e-05
cross_domain,coupling,1,0.006896551724137931,2.8430898700707928e-05
robustness,constraints,1,0.012345679012345678,2.8430898700707928e-05
compression,constraints,1,0.015151515151515152,2.8430898700707928e-05
topology,coupling,1,0.002061855670103093,2.8430898700707928e-05
composition,compression,1,0.008333333333333333,2.8430898700707928e-05
trajectory,composition,1,0.0037174721189591076,2.8430898700707928e-05
compression,meta,1,0.015151515151515152,2.8430898700707928e-05
reconstruction,cross_model,1,0.00202020202020202,2.8430898700707928e-05
robustness,meta,1,0.012345679012345678,2.8430898700707928e-05
generativity,cross_domain,1,0.002824858757062147,2.8430898700707928e-05
constraints,robustness,1,0.005208333333333333,2.8430898700707928e-05
reconstruction,cross_domain,1,0.00202020202020202,2.8430898700707928e-05
persistence,composition,1,0.00196078431372549,2.8430898700707928e-05
genealogy,topology,1,0.14285714285714285,2.8430898700707928e-05
recursion,genealogy,1,0.0007698229407236335,2.8430898700707928e-05
topology,compression,1,0.002061855670103093,2.8430898700707928e-05
constraints,cross_domain,1,0.005208333333333333,2.8430898700707928e-05
information,genealogy,1,0.0013531799729364006,2.8430898700707928e-05
cross_model,hierarchy,1,0.5,2.8430898700707928e-05
coupling,topology,1,0.010526315789473684,2.8430898700707928e-05
genealogy,cross_model,1,0.14285714285714285,2.8430898700707928e-05
coupling,generativity,1,0.010526315789473684,2.8430898700707928e-05
cross_domain,robustness,1,0.006896551724137931,2.8430898700707928e-05
compression,none,1,0.015151515151515152,2.8430898700707928e-05
persistence,coupling,1,0.00196078431372549,2.8430898700707928e-05
genealogy,persistence,1,0.14285714285714285,2.8430898700707928e-05
meta,genealogy,1,0.0012836970474967907,2.8430898700707928e-05
hierarchy,cross_model,1,0.0005117707267144319,2.8430898700707928e-05
persistence,cross_domain,1,0.00196078431372549,2.8430898700707928e-05
topology,genealogy,1,0.002061855670103093,2.8430898700707928e-05
hierarchy,composition,1,0.0005117707267144319,2.8430898700707928e-05
symbolic,coupling,1,0.0007102272727272727,2.8430898700707928e-05
trajectory,genealogy,1,0.0037174721189591076,2.8430898700707928e-05
constraints,coupling,1,0.005208333333333333,2.8430898700707928e-05
compression,composition,1,0.015151515151515152,2.8430898700707928e-05
constraints,meta,1,0.005208333333333333,2.8430898700707928e-05
information,composition,1,0.0013531799729364006,2.8430898700707928e-05
reconstruction,coupling,1,0.00202020202020202,2.8430898700707928e-05
persistence,genealogy,1,0.00196078431372549,2.8430898700707928e-05
topology,robustness,1,0.002061855670103093,2.8430898700707928e-05
cross_model,cross_model,1,0.5,2.8430898700707928e-05
constraints,topology,1,0.005208333333333333,2.8430898700707928e-05
compression,reconstruction,1,0.015151515151515152,2.8430898700707928e-05
compression,coupling,1,0.015151515151515152,2.8430898700707928e-05
meta,cross_model,1,0.0012836970474967907,2.8430898700707928e-05
compression,trajectory,1,0.015151515151515152,2.8430898700707928e-05
robustness,cross_domain,1,0.012345679012345678,2.8430898700707928e-05
constraints,information,1,0.005208333333333333,2.8430898700707928e-05
information,cross_model,1,0.0013531799729364006,2.8430898700707928e-05
