from_state,to_state,count,p_to_given_from,global_fraction
none,none,8877,0.29343514478381594,0.12526811921426959
none,control,4446,0.14696548988496627,0.06273989613908332
control,none,4321,0.6051820728291316,0.0609759539399413
none,symbolic,4040,0.13354488959407643,0.05701061187627004
symbolic,none,3892,0.5044064282011405,0.05492210431248589
none,hierarchy,3542,0.11708316805500463,0.049983066154888234
hierarchy,none,3495,0.46780886092892515,0.04931982388801084
none,recursion,2492,0.0823747190268412,0.035165951682095284
recursion,none,2420,0.47321079389910053,0.03414992097538948
hierarchy,hierarchy,1958,0.2620800428322848,0.02763039060736058
symbolic,symbolic,1632,0.2115085536547434,0.023030029351998195
control,control,1439,0.2015406162464986,0.02030650259652292
none,persistence,1303,0.04307153246066376,0.0183873334838564
persistence,none,1230,0.5699721964782206,0.01735719123955746
recursion,recursion,1127,0.22037543996871334,0.01590370286746444
reconstruction,none,760,0.48562300319488816,0.010724768570783473
none,reconstruction,760,0.025122305963242098,0.010724768570783473
none,topology,707,0.023370355678963374,0.009976857078347256
generativity,none,691,0.5436664044059796,0.009751072476857078
none,information,682,0.022543964035435675,0.009624068638518854
topology,none,680,0.47255038220986795,0.00959584556333258
none,generativity,672,0.022213407378024592,0.009482953262587492
symbolic,hierarchy,648,0.08398133748055987,0.009144276360352224
none,trajectory,647,0.021387015734496893,0.009130164822759088
information,none,630,0.41529334212261043,0.008890268683675774
trajectory,none,629,0.5791896869244936,0.008876157146082636
hierarchy,symbolic,613,0.08205059563646099,0.00865037254459246
none,constraints,494,0.016329498876107365,0.006971099571009257
symbolic,recursion,488,0.06324520476931052,0.006886430345450441
constraints,none,484,0.537180910099889,0.0068299841950778956
meta,none,479,0.35666418466120625,0.006759426507112215
recursion,symbolic,467,0.09131795072350411,0.006590088055994581
none,meta,462,0.015271717572391909,0.006519530368028901
hierarchy,recursion,455,0.06090215499933074,0.006420749604876947
recursion,hierarchy,449,0.08779820101681658,0.006336080379318131
information,information,342,0.22544495715227422,0.004826145856852562
control,hierarchy,307,0.04299719887955182,0.004332242041092798
none,robustness,294,0.00971836572788576,0.004148792052382028
robustness,none,286,0.6858513189448441,0.004035899751636938
topology,topology,282,0.1959694232105629,0.003979453601264394
generativity,generativity,282,0.2218725413060582,0.003979453601264394
reconstruction,reconstruction,264,0.16869009584664538,0.003725445924587943
symbolic,control,252,0.03265940902021773,0.003556107473470309
control,symbolic,252,0.03529411764705882,0.003556107473470309
hierarchy,control,247,0.033061169856779545,0.0034855497855046285
persistence,persistence,236,0.10936051899907322,0.003330322871980131
none,coupling,220,0.007272246463043766,0.0031045382704899525
cross_domain,none,214,0.4965197215777262,0.0030198690449311357
none,cross_domain,209,0.006908634139891578,0.002949311356965455
meta,meta,204,0.1518987341772152,0.0028787536689997744
coupling,none,201,0.5911764705882353,0.0028364190562203658
recursion,control,186,0.03637074696910442,0.0026247459923233237
control,recursion,186,0.026050420168067228,0.0026247459923233237
none,composition,185,0.006115298162104985,0.0026106344547301872
composition,none,168,0.4692737430167598,0.002370738315646873
meta,symbolic,140,0.10424422933730454,0.0019756152630390606
compression,none,139,0.5767634854771784,0.0019615037254459245
none,compression,132,0.00436334787782626,0.0018627229622939715
hierarchy,meta,126,0.01686521215366082,0.0017780537367351546
meta,hierarchy,125,0.09307520476545049,0.0017639421991420185
symbolic,persistence,119,0.015422498703991705,0.0016792729735832016
trajectory,trajectory,118,0.10865561694290976,0.0016651614359900655
symbolic,meta,118,0.015292897874546397,0.0016651614359900655
reconstruction,symbolic,117,0.07476038338658147,0.0016510498983969293
reconstruction,control,111,0.07092651757188498,0.0015663806728381125
symbolic,information,110,0.01425609123898393,0.0015522691352449762
persistence,symbolic,104,0.04819277108433735,0.0014675999096861595
control,meta,103,0.01442577030812325,0.0014534883720930232
constraints,constraints,102,0.11320754716981132,0.0014393768344998872
persistence,hierarchy,100,0.04633920296570899,0.0014111537593136149
persistence,control,99,0.0458758109360519,0.0013970422217204786
symbolic,topology,99,0.012830482115085537,0.0013970422217204786
information,symbolic,99,0.06526038233355307,0.0013970422217204786
meta,control,95,0.07073715562174236,0.0013405960713479342
hierarchy,persistence,94,0.012581983670191407,0.001326484533754798
reconstruction,hierarchy,93,0.05942492012779553,0.0013123729961616619
hierarchy,topology,91,0.012180430999866149,0.0012841499209753895
symbolic,reconstruction,90,0.01166407465007776,0.0012700383833822533
topology,symbolic,90,0.06254343293954134,0.0012700383833822533
control,reconstruction,89,0.01246498599439776,0.0012559268457891172
control,persistence,87,0.012184873949579832,0.001227703770602845
hierarchy,reconstruction,87,0.011645027439432472,0.001227703770602845
topology,hierarchy,83,0.057678943710910355,0.0011712576202303003
recursion,information,81,0.01583887368009386,0.001143034545044028
information,recursion,80,0.05273566249176005,0.001128923007450892
recursion,meta,79,0.015447790379350802,0.0011148114698577556
control,information,76,0.010644257703081233,0.0010724768570783473
information,persistence,75,0.049439683586025046,0.0010583653194852112
information,hierarchy,71,0.04680290046143705,0.0010019191691126666
persistence,information,71,0.032900834105653386,0.0010019191691126666
hierarchy,information,71,0.009503413197697765,0.0010019191691126666
cross_domain,cross_domain,70,0.16241299303944315,0.0009878076315195303
information,control,68,0.04482531311799604,0.0009595845563332581
meta,recursion,65,0.04839910647803425,0.0009172499435538496
recursion,topology,65,0.012710207274149394,0.0009172499435538496
trajectory,symbolic,65,0.05985267034990792,0.0009172499435538496
recursion,persistence,64,0.012514665623777864,0.0009031384059607134
control,topology,62,0.008683473389355743,0.0008749153307744411
control,constraints,60,0.008403361344537815,0.0008466922555881689
topology,control,58,0.04030576789437109,0.0008184691804018966
composition,composition,56,0.1564245810055866,0.0007902461052156243
persistence,recursion,56,0.025949953660797033,0.0007902461052156243
symbolic,trajectory,56,0.007257646448937273,0.0007902461052156243
constraints,control,55,0.06104328523862375,0.0007761345676224881
symbolic,generativity,55,0.007128045619491965,0.0007761345676224881
none,genealogy,55,0.0018180616157609415,0.0007761345676224881
recursion,reconstruction,54,0.010559249120062574,0.000762023030029352
control,trajectory,53,0.00742296918767507,0.0007479114924362158
reconstruction,recursion,53,0.03386581469648562,0.0007479114924362158
generativity,symbolic,53,0.041699449252557044,0.0007479114924362158
trajectory,control,51,0.04696132596685083,0.0007196884172499436
persistence,generativity,49,0.022706209453197405,0.0006914653420636713
topology,recursion,49,0.034051424600416956,0.0006914653420636713
constraints,hierarchy,49,0.05438401775804662,0.0006914653420636713
meta,persistence,48,0.035740878629932984,0.0006773538044705351
genealogy,none,47,0.6714285714285714,0.000663242266877399
persistence,meta,46,0.021316033364226137,0.0006491307292842628
hierarchy,cross_domain,44,0.005889439164770445,0.0006209076540979905
cross_domain,hierarchy,44,0.10208816705336426,0.0006209076540979905
hierarchy,generativity,43,0.0057555882746620265,0.0006067961165048543
generativity,persistence,42,0.03304484657749803,0.0005926845789117183
generativity,hierarchy,42,0.03304484657749803,0.0005926845789117183
robustness,robustness,40,0.09592326139088729,0.000564461503725446
hierarchy,constraints,39,0.005220184714228349,0.0005503499661323098
topology,persistence,38,0.02640722724113968,0.0005362384285391736
persistence,constraints,38,0.017608897126969416,0.0005362384285391736
constraints,topology,36,0.03995560488346282,0.0005080153533529013
composition,symbolic,35,0.09776536312849161,0.0004939038157597651
reconstruction,trajectory,34,0.021725239616613417,0.00047979227816662904
meta,topology,34,0.02531645569620253,0.00047979227816662904
trajectory,hierarchy,34,0.03130755064456722,0.00047979227816662904
symbolic,cross_domain,34,0.0044064282011404875,0.00047979227816662904
trajectory,persistence,34,0.03130755064456722,0.00047979227816662904
none,cross_model,33,0.001090836969456565,0.0004656807405734929
hierarchy,trajectory,33,0.0044170793735778344,0.0004656807405734929
symbolic,constraints,32,0.00414722654224987,0.0004515692029803567
constraints,persistence,32,0.03551609322974473,0.0004515692029803567
symbolic,compression,32,0.00414722654224987,0.0004515692029803567
persistence,topology,32,0.014828544949026877,0.0004515692029803567
trajectory,generativity,31,0.0285451197053407,0.00043745766538722056
persistence,reconstruction,31,0.014365152919369786,0.00043745766538722056
topology,constraints,30,0.020847810979847115,0.00042334612779408446
reconstruction,persistence,30,0.019169329073482427,0.00042334612779408446
composition,meta,29,0.08100558659217877,0.0004092345902009483
cross_model,none,29,0.8529411764705882,0.0004092345902009483
persistence,trajectory,29,0.013438368860055607,0.0004092345902009483
topology,meta,29,0.020152883947185545,0.0004092345902009483
