CONDITION,PERSISTENT_MISSING,EDGE_OR_HARD_CONTROL_ROLE
E7_DELETE,7,EXCLUDED_FROM_PURE9_DELETE
E9_REVERSE,6,EXCLUDED_FROM_PURE8_REVERSE
G_RANDOM_CONTROL,6,
D_ALL_DIRECTION_REVERSED,2,
M0_SWITCH_NEUTRALIZED,2,
M_SWITCH_REASSIGNED,2,
E2_REVERSE,1,IN_PURE8_REVERSE
E4_DELETE,1,IN_PURE9_DELETE
E5_REVERSE,1,IN_PURE8_REVERSE
E7_REVERSE,1,EXCLUDED_FROM_PURE8_REVERSE
A_AUTHENTIC,0,
E0_DELETE,0,IN_PURE9_DELETE
E0_REVERSE,0,IN_PURE8_REVERSE
E1_DELETE,0,IN_PURE9_DELETE
E1_REVERSE,0,IN_PURE8_REVERSE
E2_DELETE,0,IN_PURE9_DELETE
E3_DELETE,0,IN_PURE9_DELETE
E3_REVERSE,0,IN_PURE8_REVERSE
E4_REVERSE,0,IN_PURE8_REVERSE
E5_DELETE,0,IN_PURE9_DELETE
E6_DELETE,0,IN_PURE9_DELETE
E6_REVERSE,0,IN_PURE8_REVERSE
E8_DELETE,0,IN_PURE9_DELETE
E8_REVERSE,0,IN_PURE8_REVERSE
E9_DELETE,0,IN_PURE9_DELETE
F_SURFACE_FORMAT_CONTROL,0,
I_ISOMORPHIC_RELABEL,0,
L_FORWARD_CONTROL,0,
O_ORDER_SHUFFLED,0,
P_ANCHOR_REASSIGNED,0,
R_DEGREE_MATCHED_REWIRE,0,HARD_CLASSIFIER_CONTROL
T_TERMINAL_CHANGED,0,
X_COMPLEXITY_MATCHED,0,HARD_CLASSIFIER_CONTROL
Y_TOPOLOGY_MATCHED,0,HARD_CLASSIFIER_CONTROL
