PARTITION,METRIC,CONDITION,N,MEAN,CHANCE,ABOVE_CHANCE,P,HOLM_P,PASS_005
DEVELOPMENT,ORDER_FIDELITY,A_AUTHENTIC,38,1.0,0.5,0.5,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,ORDER_FIDELITY,O_ORDER_SHUFFLED,38,0.9370300751879701,0.5,0.43703007518797005,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,K_JACCARD,A_AUTHENTIC,38,1.0000000000000002,0.17857142857142858,0.8214285714285716,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,K_JACCARD,P_ANCHOR_REASSIGNED,38,1.0000000000000002,0.17857142857142858,0.8214285714285716,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,S_APPLIED_SCORE,A_AUTHENTIC,38,0.9912280701754383,0.07173913043478261,0.9194889397406557,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,S_APPLIED_SCORE,M_SWITCH_REASSIGNED,38,0.8640350877192983,0.07173913043478261,0.7922959572845156,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,Z_EXACT,A_AUTHENTIC,38,1.0,0.125,0.875,4.999750012499375e-05,0.00039998000099995,True
DEVELOPMENT,Z_EXACT,T_TERMINAL_CHANGED,38,1.0,0.125,0.875,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,ORDER_FIDELITY,A_AUTHENTIC,19,1.0,0.5,0.5,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,ORDER_FIDELITY,O_ORDER_SHUFFLED,19,0.9730576441102756,0.5,0.4730576441102756,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,K_JACCARD,A_AUTHENTIC,19,1.0,0.17857142857142858,0.8214285714285714,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,K_JACCARD,P_ANCHOR_REASSIGNED,19,1.0,0.17857142857142858,0.8214285714285714,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,S_APPLIED_SCORE,A_AUTHENTIC,19,1.0,0.07173913043478261,0.9282608695652174,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,S_APPLIED_SCORE,M_SWITCH_REASSIGNED,19,0.8508771929824562,0.07173913043478261,0.7791380625476736,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,Z_EXACT,A_AUTHENTIC,19,1.0,0.125,0.875,4.999750012499375e-05,0.00039998000099995,True
CONFIRMATION,Z_EXACT,T_TERMINAL_CHANGED,19,1.0,0.125,0.875,9.99950002499875e-05,0.00039998000099995,True
FINAL_HOLDOUT,ORDER_FIDELITY,A_AUTHENTIC,19,1.0,0.5,0.5,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,ORDER_FIDELITY,O_ORDER_SHUFFLED,19,0.9486215538847118,0.5,0.44862155388471175,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,K_JACCARD,A_AUTHENTIC,19,1.0,0.17857142857142858,0.8214285714285714,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,K_JACCARD,P_ANCHOR_REASSIGNED,19,1.0,0.17857142857142858,0.8214285714285714,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,S_APPLIED_SCORE,A_AUTHENTIC,19,1.0,0.07173913043478261,0.9282608695652174,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,S_APPLIED_SCORE,M_SWITCH_REASSIGNED,19,0.8421052631578948,0.07173913043478261,0.7703661327231122,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,Z_EXACT,A_AUTHENTIC,19,1.0,0.125,0.875,4.999750012499375e-05,0.00039998000099995,True
FINAL_HOLDOUT,Z_EXACT,T_TERMINAL_CHANGED,19,1.0,0.125,0.875,4.999750012499375e-05,0.00039998000099995,True
