PARTITION,CONDITION,METRIC,N,MEAN,SD
ALL,A_AUTHENTIC,ORDER_FIDELITY,76,1.0,0.0
ALL,A_AUTHENTIC,K_JACCARD,76,1.0,0.0
ALL,A_AUTHENTIC,S_EXACT,76,1.0,0.0
ALL,A_AUTHENTIC,S_APPLIED_SCORE,76,0.9956140350877194,0.0268560526390761
ALL,A_AUTHENTIC,K_INCIDENT_RETENTION,76,1.0,0.0
ALL,A_AUTHENTIC,Z_EXACT,76,1.0,0.0
ALL,A_AUTHENTIC,Z_FINAL_SINKNESS,76,0.7017543859649124,0.19872890425882753
ALL,A_AUTHENTIC,Z_SEQUENCE_POSITION,76,1.0,0.0
ALL,O_ORDER_SHUFFLED,ORDER_FIDELITY,76,0.9489348370927319,0.12340923982506892
ALL,M_SWITCH_REASSIGNED,S_EXACT,76,0.982456140350877,0.12042808632793342
ALL,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,76,0.8552631578947368,0.1852767804667303
ALL,M0_SWITCH_NEUTRALIZED,S_EXACT,76,0.0,0.0
ALL,P_ANCHOR_REASSIGNED,K_JACCARD,76,1.0,0.0
ALL,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,76,1.0,0.0
ALL,T_TERMINAL_CHANGED,Z_EXACT,76,1.0,0.0
ALL,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,76,0.5,0.0
ALL,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,76,0.0,0.0
DEVELOPMENT,A_AUTHENTIC,ORDER_FIDELITY,38,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,K_JACCARD,38,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,S_EXACT,38,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,S_APPLIED_SCORE,38,0.9912280701754387,0.0377157143202357
DEVELOPMENT,A_AUTHENTIC,K_INCIDENT_RETENTION,38,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,Z_EXACT,38,1.0,0.0
DEVELOPMENT,A_AUTHENTIC,Z_FINAL_SINKNESS,38,0.6622807017543859,0.183749903904954
DEVELOPMENT,A_AUTHENTIC,Z_SEQUENCE_POSITION,38,1.0,0.0
DEVELOPMENT,O_ORDER_SHUFFLED,ORDER_FIDELITY,38,0.9370300751879699,0.13445667778425383
DEVELOPMENT,M_SWITCH_REASSIGNED,S_EXACT,38,0.9649122807017543,0.16960426796804415
DEVELOPMENT,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,38,0.8640350877192982,0.17695821242821114
DEVELOPMENT,M0_SWITCH_NEUTRALIZED,S_EXACT,38,0.0,0.0
DEVELOPMENT,P_ANCHOR_REASSIGNED,K_JACCARD,38,1.0,0.0
DEVELOPMENT,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,38,1.0,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_EXACT,38,1.0,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,38,0.5,0.0
DEVELOPMENT,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,38,0.0,0.0
CONFIRMATION,A_AUTHENTIC,ORDER_FIDELITY,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,K_JACCARD,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,S_EXACT,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,S_APPLIED_SCORE,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,K_INCIDENT_RETENTION,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,Z_EXACT,19,1.0,0.0
CONFIRMATION,A_AUTHENTIC,Z_FINAL_SINKNESS,19,0.7631578947368421,0.22440448952456016
CONFIRMATION,A_AUTHENTIC,Z_SEQUENCE_POSITION,19,1.0,0.0
CONFIRMATION,O_ORDER_SHUFFLED,ORDER_FIDELITY,19,0.9730576441102756,0.09271136512432968
CONFIRMATION,M_SWITCH_REASSIGNED,S_EXACT,19,1.0,0.0
CONFIRMATION,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,19,0.8508771929824562,0.18337320140672694
CONFIRMATION,M0_SWITCH_NEUTRALIZED,S_EXACT,19,0.0,0.0
CONFIRMATION,P_ANCHOR_REASSIGNED,K_JACCARD,19,1.0,0.0
CONFIRMATION,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,19,1.0,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_EXACT,19,1.0,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,19,0.5,0.0
CONFIRMATION,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,19,0.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,ORDER_FIDELITY,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,K_JACCARD,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,S_EXACT,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,S_APPLIED_SCORE,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,K_INCIDENT_RETENTION,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,Z_EXACT,19,1.0,0.0
FINAL_HOLDOUT,A_AUTHENTIC,Z_FINAL_SINKNESS,19,0.7192982456140351,0.19287166764959632
FINAL_HOLDOUT,A_AUTHENTIC,Z_SEQUENCE_POSITION,19,1.0,0.0
FINAL_HOLDOUT,O_ORDER_SHUFFLED,ORDER_FIDELITY,19,0.9486215538847119,0.12956532313413247
FINAL_HOLDOUT,M_SWITCH_REASSIGNED,S_EXACT,19,1.0,0.0
FINAL_HOLDOUT,M_SWITCH_REASSIGNED,S_APPLIED_SCORE,19,0.8421052631578947,0.2113571972924117
FINAL_HOLDOUT,M0_SWITCH_NEUTRALIZED,S_EXACT,19,0.0,0.0
FINAL_HOLDOUT,P_ANCHOR_REASSIGNED,K_JACCARD,19,1.0,0.0
FINAL_HOLDOUT,P_ANCHOR_REASSIGNED,K_INCIDENT_RETENTION,19,1.0,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_EXACT,19,1.0,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_FINAL_SINKNESS,19,0.5,0.0
FINAL_HOLDOUT,T_TERMINAL_CHANGED,Z_SEQUENCE_POSITION,19,0.0,0.0
