SEED,EXPECTED_CELLS,VALID_CELLS,MISSING_CELLS,MISSING_RATE
1130,102,96,6,0.058823529411764705
1087,102,99,3,0.029411764705882353
1104,102,99,3,0.029411764705882353
1153,102,99,3,0.029411764705882353
1086,102,100,2,0.0196078431372549
1090,102,100,2,0.0196078431372549
1133,102,100,2,0.0196078431372549
1098,102,101,1,0.00980392156862745
1101,102,101,1,0.00980392156862745
1122,102,101,1,0.00980392156862745
1132,102,101,1,0.00980392156862745
1136,102,101,1,0.00980392156862745
1142,102,101,1,0.00980392156862745
1143,102,101,1,0.00980392156862745
1148,102,101,1,0.00980392156862745
1080,102,102,0,0.0
1081,102,102,0,0.0
1082,102,102,0,0.0
1083,102,102,0,0.0
1084,102,102,0,0.0
1085,102,102,0,0.0
1088,102,102,0,0.0
1089,102,102,0,0.0
1091,102,102,0,0.0
1092,102,102,0,0.0
1093,102,102,0,0.0
1094,102,102,0,0.0
1095,102,102,0,0.0
1096,102,102,0,0.0
1097,102,102,0,0.0
1099,102,102,0,0.0
1100,102,102,0,0.0
1102,102,102,0,0.0
1103,102,102,0,0.0
1105,102,102,0,0.0
1106,102,102,0,0.0
1107,102,102,0,0.0
1108,102,102,0,0.0
1109,102,102,0,0.0
1110,102,102,0,0.0
1111,102,102,0,0.0
1112,102,102,0,0.0
1113,102,102,0,0.0
1114,102,102,0,0.0
1115,102,102,0,0.0
1116,102,102,0,0.0
1117,102,102,0,0.0
1118,102,102,0,0.0
1119,102,102,0,0.0
1120,102,102,0,0.0
1121,102,102,0,0.0
1123,102,102,0,0.0
1124,102,102,0,0.0
1125,102,102,0,0.0
1126,102,102,0,0.0
1127,102,102,0,0.0
1128,102,102,0,0.0
1129,102,102,0,0.0
1131,102,102,0,0.0
1134,102,102,0,0.0
1135,102,102,0,0.0
1137,102,102,0,0.0
1138,102,102,0,0.0
1139,102,102,0,0.0
1140,102,102,0,0.0
1141,102,102,0,0.0
1144,102,102,0,0.0
1145,102,102,0,0.0
1146,102,102,0,0.0
1147,102,102,0,0.0
1149,102,102,0,0.0
1150,102,102,0,0.0
1151,102,102,0,0.0
1152,102,102,0,0.0
1154,102,102,0,0.0
1155,102,102,0,0.0
1156,102,102,0,0.0
1157,102,102,0,0.0
1158,102,102,0,0.0
1159,102,102,0,0.0
