SEED,CONDITION,EXPECTED_REPS,MISSING_REPS,VALID_REPS
1087,E9_REVERSE,3,3,0
1104,E7_DELETE,3,3,0
1130,E7_DELETE,3,3,0
1130,G_RANDOM_CONTROL,3,3,0
1153,E9_REVERSE,3,3,0
1086,D_ALL_DIRECTION_REVERSED,3,2,1
1090,M_SWITCH_REASSIGNED,3,2,1
1133,G_RANDOM_CONTROL,3,2,1
1098,G_RANDOM_CONTROL,3,1,2
1101,E4_DELETE,3,1,2
1122,M0_SWITCH_NEUTRALIZED,3,1,2
1132,E7_REVERSE,3,1,2
1136,E5_REVERSE,3,1,2
1142,E2_REVERSE,3,1,2
1143,E7_DELETE,3,1,2
1148,M0_SWITCH_NEUTRALIZED,3,1,2
1080,A_AUTHENTIC,3,0,3
1080,D_ALL_DIRECTION_REVERSED,3,0,3
1080,E0_DELETE,3,0,3
1080,E0_REVERSE,3,0,3
1080,E1_DELETE,3,0,3
1080,E1_REVERSE,3,0,3
1080,E2_DELETE,3,0,3
1080,E2_REVERSE,3,0,3
1080,E3_DELETE,3,0,3
1080,E3_REVERSE,3,0,3
1080,E4_DELETE,3,0,3
1080,E4_REVERSE,3,0,3
1080,E5_DELETE,3,0,3
1080,E5_REVERSE,3,0,3
1080,E6_DELETE,3,0,3
1080,E6_REVERSE,3,0,3
1080,E7_DELETE,3,0,3
1080,E7_REVERSE,3,0,3
1080,E8_DELETE,3,0,3
1080,E8_REVERSE,3,0,3
1080,E9_DELETE,3,0,3
1080,E9_REVERSE,3,0,3
1080,F_SURFACE_FORMAT_CONTROL,3,0,3
1080,G_RANDOM_CONTROL,3,0,3
1080,I_ISOMORPHIC_RELABEL,3,0,3
1080,L_FORWARD_CONTROL,3,0,3
1080,M0_SWITCH_NEUTRALIZED,3,0,3
1080,M_SWITCH_REASSIGNED,3,0,3
1080,O_ORDER_SHUFFLED,3,0,3
1080,P_ANCHOR_REASSIGNED,3,0,3
1080,R_DEGREE_MATCHED_REWIRE,3,0,3
1080,T_TERMINAL_CHANGED,3,0,3
1080,X_COMPLEXITY_MATCHED,3,0,3
1080,Y_TOPOLOGY_MATCHED,3,0,3
1081,A_AUTHENTIC,3,0,3
1081,D_ALL_DIRECTION_REVERSED,3,0,3
1081,E0_DELETE,3,0,3
1081,E0_REVERSE,3,0,3
1081,E1_DELETE,3,0,3
1081,E1_REVERSE,3,0,3
1081,E2_DELETE,3,0,3
1081,E2_REVERSE,3,0,3
1081,E3_DELETE,3,0,3
1081,E3_REVERSE,3,0,3
1081,E4_DELETE,3,0,3
1081,E4_REVERSE,3,0,3
1081,E5_DELETE,3,0,3
1081,E5_REVERSE,3,0,3
1081,E6_DELETE,3,0,3
1081,E6_REVERSE,3,0,3
1081,E7_DELETE,3,0,3
1081,E7_REVERSE,3,0,3
1081,E8_DELETE,3,0,3
1081,E8_REVERSE,3,0,3
1081,E9_DELETE,3,0,3
1081,E9_REVERSE,3,0,3
1081,F_SURFACE_FORMAT_CONTROL,3,0,3
1081,G_RANDOM_CONTROL,3,0,3
1081,I_ISOMORPHIC_RELABEL,3,0,3
1081,L_FORWARD_CONTROL,3,0,3
1081,M0_SWITCH_NEUTRALIZED,3,0,3
1081,M_SWITCH_REASSIGNED,3,0,3
1081,O_ORDER_SHUFFLED,3,0,3
1081,P_ANCHOR_REASSIGNED,3,0,3
1081,R_DEGREE_MATCHED_REWIRE,3,0,3
1081,T_TERMINAL_CHANGED,3,0,3
1081,X_COMPLEXITY_MATCHED,3,0,3
1081,Y_TOPOLOGY_MATCHED,3,0,3
1082,A_AUTHENTIC,3,0,3
1082,D_ALL_DIRECTION_REVERSED,3,0,3
1082,E0_DELETE,3,0,3
1082,E0_REVERSE,3,0,3
1082,E1_DELETE,3,0,3
1082,E1_REVERSE,3,0,3
1082,E2_DELETE,3,0,3
1082,E2_REVERSE,3,0,3
1082,E3_DELETE,3,0,3
1082,E3_REVERSE,3,0,3
1082,E4_DELETE,3,0,3
1082,E4_REVERSE,3,0,3
1082,E5_DELETE,3,0,3
1082,E5_REVERSE,3,0,3
1082,E6_DELETE,3,0,3
1082,E6_REVERSE,3,0,3
1082,E7_DELETE,3,0,3
1082,E7_REVERSE,3,0,3
1082,E8_DELETE,3,0,3
1082,E8_REVERSE,3,0,3
1082,E9_DELETE,3,0,3
1082,E9_REVERSE,3,0,3
1082,F_SURFACE_FORMAT_CONTROL,3,0,3
1082,G_RANDOM_CONTROL,3,0,3
1082,I_ISOMORPHIC_RELABEL,3,0,3
1082,L_FORWARD_CONTROL,3,0,3
1082,M0_SWITCH_NEUTRALIZED,3,0,3
1082,M_SWITCH_REASSIGNED,3,0,3
1082,O_ORDER_SHUFFLED,3,0,3
1082,P_ANCHOR_REASSIGNED,3,0,3
1082,R_DEGREE_MATCHED_REWIRE,3,0,3
1082,T_TERMINAL_CHANGED,3,0,3
1082,X_COMPLEXITY_MATCHED,3,0,3
1082,Y_TOPOLOGY_MATCHED,3,0,3
1083,A_AUTHENTIC,3,0,3
1083,D_ALL_DIRECTION_REVERSED,3,0,3
1083,E0_DELETE,3,0,3
1083,E0_REVERSE,3,0,3
1083,E1_DELETE,3,0,3
1083,E1_REVERSE,3,0,3
1083,E2_DELETE,3,0,3
1083,E2_REVERSE,3,0,3
1083,E3_DELETE,3,0,3
1083,E3_REVERSE,3,0,3
1083,E4_DELETE,3,0,3
1083,E4_REVERSE,3,0,3
1083,E5_DELETE,3,0,3
1083,E5_REVERSE,3,0,3
1083,E6_DELETE,3,0,3
1083,E6_REVERSE,3,0,3
1083,E7_DELETE,3,0,3
1083,E7_REVERSE,3,0,3
1083,E8_DELETE,3,0,3
1083,E8_REVERSE,3,0,3
1083,E9_DELETE,3,0,3
1083,E9_REVERSE,3,0,3
1083,F_SURFACE_FORMAT_CONTROL,3,0,3
1083,G_RANDOM_CONTROL,3,0,3
1083,I_ISOMORPHIC_RELABEL,3,0,3
1083,L_FORWARD_CONTROL,3,0,3
1083,M0_SWITCH_NEUTRALIZED,3,0,3
1083,M_SWITCH_REASSIGNED,3,0,3
1083,O_ORDER_SHUFFLED,3,0,3
1083,P_ANCHOR_REASSIGNED,3,0,3
1083,R_DEGREE_MATCHED_REWIRE,3,0,3
1083,T_TERMINAL_CHANGED,3,0,3
1083,X_COMPLEXITY_MATCHED,3,0,3
1083,Y_TOPOLOGY_MATCHED,3,0,3
1084,A_AUTHENTIC,3,0,3
1084,D_ALL_DIRECTION_REVERSED,3,0,3
1084,E0_DELETE,3,0,3
1084,E0_REVERSE,3,0,3
1084,E1_DELETE,3,0,3
1084,E1_REVERSE,3,0,3
1084,E2_DELETE,3,0,3
1084,E2_REVERSE,3,0,3
1084,E3_DELETE,3,0,3
1084,E3_REVERSE,3,0,3
1084,E4_DELETE,3,0,3
1084,E4_REVERSE,3,0,3
1084,E5_DELETE,3,0,3
1084,E5_REVERSE,3,0,3
1084,E6_DELETE,3,0,3
1084,E6_REVERSE,3,0,3
1084,E7_DELETE,3,0,3
1084,E7_REVERSE,3,0,3
1084,E8_DELETE,3,0,3
1084,E8_REVERSE,3,0,3
1084,E9_DELETE,3,0,3
1084,E9_REVERSE,3,0,3
1084,F_SURFACE_FORMAT_CONTROL,3,0,3
1084,G_RANDOM_CONTROL,3,0,3
1084,I_ISOMORPHIC_RELABEL,3,0,3
1084,L_FORWARD_CONTROL,3,0,3
1084,M0_SWITCH_NEUTRALIZED,3,0,3
1084,M_SWITCH_REASSIGNED,3,0,3
1084,O_ORDER_SHUFFLED,3,0,3
1084,P_ANCHOR_REASSIGNED,3,0,3
1084,R_DEGREE_MATCHED_REWIRE,3,0,3
1084,T_TERMINAL_CHANGED,3,0,3
1084,X_COMPLEXITY_MATCHED,3,0,3
1084,Y_TOPOLOGY_MATCHED,3,0,3
1085,A_AUTHENTIC,3,0,3
1085,D_ALL_DIRECTION_REVERSED,3,0,3
1085,E0_DELETE,3,0,3
1085,E0_REVERSE,3,0,3
1085,E1_DELETE,3,0,3
1085,E1_REVERSE,3,0,3
1085,E2_DELETE,3,0,3
1085,E2_REVERSE,3,0,3
1085,E3_DELETE,3,0,3
1085,E3_REVERSE,3,0,3
1085,E4_DELETE,3,0,3
1085,E4_REVERSE,3,0,3
