"CELL_KEY","SEED","CONDITION","REP","FAILED_COLLECTION_PASSES","TOTAL_FAILED_API_ATTEMPTS","FAILURE_CATEGORIES","FAILURE_ERRORS"
"1086|D_ALL_DIRECTION_REVERSED|1","1086","D_ALL_DIRECTION_REVERSED","1","3","24","VALIDATOR","INVALID_PLUS"
"1086|D_ALL_DIRECTION_REVERSED|2","1086","D_ALL_DIRECTION_REVERSED","2","3","24","VALIDATOR","INVALID_PLUS"
"1087|E9_REVERSE|0","1087","E9_REVERSE","0","3","24","VALIDATOR","INVALID_PLUS"
"1087|E9_REVERSE|1","1087","E9_REVERSE","1","3","24","VALIDATOR","INVALID_PLUS"
"1087|E9_REVERSE|2","1087","E9_REVERSE","2","3","24","VALIDATOR","INVALID_PLUS"
"1090|M_SWITCH_REASSIGNED|0","1090","M_SWITCH_REASSIGNED","0","3","24","VALIDATOR","INVALID_PLUS"
"1090|M_SWITCH_REASSIGNED|2","1090","M_SWITCH_REASSIGNED","2","3","24","VALIDATOR","INVALID_PLUS"
"1098|G_RANDOM_CONTROL|1","1098","G_RANDOM_CONTROL","1","3","24","VALIDATOR","INVALID_PLUS"
"1101|E4_DELETE|0","1101","E4_DELETE","0","3","24","VALIDATOR","INVALID_PLUS"
"1104|E7_DELETE|0","1104","E7_DELETE","0","3","24","VALIDATOR","INVALID_PLUS"
"1104|E7_DELETE|1","1104","E7_DELETE","1","3","24","VALIDATOR","INVALID_PLUS"
"1104|E7_DELETE|2","1104","E7_DELETE","2","3","24","VALIDATOR","INVALID_PLUS"
"1122|M0_SWITCH_NEUTRALIZED|0","1122","M0_SWITCH_NEUTRALIZED","0","3","24","VALIDATOR","INVALID_PLUS"
"1130|E7_DELETE|0","1130","E7_DELETE","0","3","24","VALIDATOR","INVALID_PLUS"
"1130|E7_DELETE|1","1130","E7_DELETE","1","3","24","VALIDATOR","INVALID_PLUS"
"1130|E7_DELETE|2","1130","E7_DELETE","2","3","24","VALIDATOR","INVALID_PLUS"
"1130|G_RANDOM_CONTROL|0","1130","G_RANDOM_CONTROL","0","3","24","VALIDATOR","INVALID_PLUS"
"1130|G_RANDOM_CONTROL|1","1130","G_RANDOM_CONTROL","1","3","24","VALIDATOR","INVALID_PLUS"
"1130|G_RANDOM_CONTROL|2","1130","G_RANDOM_CONTROL","2","3","24","VALIDATOR","INVALID_PLUS"
"1132|E7_REVERSE|0","1132","E7_REVERSE","0","3","24","VALIDATOR","INVALID_PLUS"
"1133|G_RANDOM_CONTROL|1","1133","G_RANDOM_CONTROL","1","3","24","VALIDATOR","INVALID_PLUS"
"1133|G_RANDOM_CONTROL|2","1133","G_RANDOM_CONTROL","2","3","24","VALIDATOR","INVALID_PLUS"
"1136|E5_REVERSE|2","1136","E5_REVERSE","2","3","24","VALIDATOR","INVALID_PLUS"
"1142|E2_REVERSE|2","1142","E2_REVERSE","2","3","24","VALIDATOR","INVALID_PLUS"
"1143|E7_DELETE|2","1143","E7_DELETE","2","3","24","VALIDATOR","INVALID_PLUS"
"1148|M0_SWITCH_NEUTRALIZED|0","1148","M0_SWITCH_NEUTRALIZED","0","3","24","VALIDATOR","INVALID_PLUS"
"1153|E9_REVERSE|0","1153","E9_REVERSE","0","3","24","VALIDATOR","INVALID_PLUS"
"1153|E9_REVERSE|1","1153","E9_REVERSE","1","3","24","VALIDATOR","INVALID_PLUS"
"1153|E9_REVERSE|2","1153","E9_REVERSE","2","3","24","VALIDATOR","INVALID_PLUS"
