POPULATION,WINDOW,TYPE,N_LINEAGE,N_EXTERNAL,AUC_LINEAGE_GT_EXTERNAL,CI_LOW,CI_HIGH,P,REFERENCE,THRESHOLD,MATCHES,FRACTION,ONE_IN
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,SEPARATION,130.0,2849,0.814995814995815,0.7902795177795179,0.8400276075276076,2.3944427823172633e-34,,,,,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,2849,,0.13087912918564829,0.1569760033382389,,LINEAGE_Q50,8.747320699601733,409.0,0.14355914355914356,6.965770171149145
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,2849,,0.10799149118139104,0.1321780361166413,,LINEAGE_Q75,11.153032525336275,341.0,0.11969111969111969,8.35483870967742
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,2849,,0.0915921990452849,0.11421598573220651,,LINEAGE_Q90,13.38811775352903,292.0,0.10249210249210249,9.756849315068493
PRIMARY_ENGLISH_NO_SYSTEM_HIT,8,TAIL,,2849,,0.08792341005036357,0.11017105788324755,,LINEAGE_Q95,14.012344918282752,281.0,0.09863109863109863,10.138790035587188
ALL_USABLE,8,SEPARATION,130.0,6301,0.8576587354876516,0.838468436023586,0.8742685532211004,1.0070953331572518e-44,,,,,
ALL_USABLE,8,TAIL,,6301,,0.10605128284027197,0.12189109961233373,,LINEAGE_Q50,8.747320699601733,717.0,0.11379146167275035,8.788005578800558
ALL_USABLE,8,TAIL,,6301,,0.08885098198790783,0.10355841493580645,,LINEAGE_Q75,11.153032525336275,605.0,0.09601650531661642,10.414876033057851
ALL_USABLE,8,TAIL,,6301,,0.07538942610556519,0.089101311590683,,LINEAGE_Q90,13.38811775352903,517.0,0.08205046817965403,12.18762088974855
ALL_USABLE,8,TAIL,,6301,,0.07249018260677959,0.08597268072368304,,LINEAGE_Q95,14.012344918282752,498.0,0.07903507379780987,12.652610441767068
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,SEPARATION,121.0,1580,0.8322000209226906,0.8118891881996023,0.8491302699027096,1.6262371914226675e-34,,,,,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,1580,,0.1369506019048803,0.17320456709585189,,LINEAGE_Q50,2.0414228598855924,244.0,0.15443037974683543,6.475409836065574
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,1580,,0.11954133789165383,0.15397537623659455,,LINEAGE_Q75,2.481289204764341,215.0,0.1360759493670886,7.348837209302325
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,1580,,0.10938283697301916,0.14265642563154154,,LINEAGE_Q90,2.8695221705289984,198.0,0.12531645569620253,7.97979797979798
PRIMARY_ENGLISH_NO_SYSTEM_HIT,12,TAIL,,1580,,0.10640234277217214,0.13932006727892632,,LINEAGE_Q95,3.0017611092015026,193.0,0.12215189873417721,8.186528497409327
ALL_USABLE,12,SEPARATION,121.0,3265,0.8584182349739916,0.8446344272461495,0.870812967486363,2.667262832683974e-41,,,,,
ALL_USABLE,12,TAIL,,3265,,0.12175415670732567,0.14536954087679152,,LINEAGE_Q50,2.0414228598855924,435.0,0.1332312404287902,7.505747126436781
ALL_USABLE,12,TAIL,,3265,,0.1058735709546911,0.1282025237308965,,LINEAGE_Q75,2.481289204764341,381.0,0.11669218989280244,8.569553805774278
ALL_USABLE,12,TAIL,,3265,,0.09298588193470338,0.11416270995622745,,LINEAGE_Q90,2.8695221705289984,337.0,0.10321592649310873,9.688427299703264
ALL_USABLE,12,TAIL,,3265,,0.08831270356500973,0.10904411877963928,,LINEAGE_Q95,3.0017611092015026,321.0,0.09831546707503828,10.171339563862928
