LANGUAGE,MODEL,N,COMPOSITE_MIN_Z_90_TOL_MATCHES,FRACTION
Arabic,gpt-3.5-turbo-0613,171,0,0.0
Chinese,gpt-3.5-turbo-0613,1192,0,0.0
Chinese,gpt-4-1106-preview,338,3,0.008875739644970414
English,gpt-3.5-turbo-0613,4131,53,0.012829823287339627
English,gpt-4-1106-preview,2487,158,0.06353035786087656
French,gpt-3.5-turbo-0613,385,0,0.0
French,gpt-4-1106-preview,225,3,0.013333333333333334
Indonesian,gpt-4-1106-preview,146,0,0.0
Korean,gpt-4-1106-preview,158,0,0.0
Russian,gpt-3.5-turbo-0613,1839,0,0.0
Russian,gpt-4-1106-preview,725,0,0.0
Spanish,gpt-3.5-turbo-0613,327,0,0.0
Spanish,gpt-4-1106-preview,138,0,0.0
Vietnamese,gpt-3.5-turbo-0613,227,0,0.0
