LANGUAGE,N
English,6618
Russian,2564
Chinese,1530
French,610
Spanish,465
Vietnamese,298
Arabic,190
Indonesian,181
Korean,171
Portuguese,144
Persian,136
Italian,121
Turkish,112
Polish,84
Greek,67
Ukrainian,65
German,64
Dutch,47
Japanese,42
Slovene,33
Romanian,25
Hungarian,21
Malay,20
Tagalog,17
Czech,15
Bokmal,15
Latin,10
Swedish,9
Bulgarian,8
Lithuanian,8
Finnish,7
Bosnian,7
Danish,7
Croatian,7
Hindi,7
Swahili,6
Nynorsk,5
Thai,4
Latvian,4
Hebrew,3
Nolang,3
Azerbaijani,3
Yoruba,3
Slovak,2
Albanian,2
Catalan,2
Belarusian,2
Estonian,2
Xhosa,2
Urdu,2
Kazakh,2
Bengali,1
Marathi,1
Maori,1
Mongolian,1
Tswana,1
