POPULATION,MEASURE,REFERENCE,THRESHOLD,N_EXTERNAL,MATCHES,FRACTION,CI_LOW,CI_HIGH,ONE_IN,LINEAGE_ACTUAL_COVERAGE
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q50,2.1299768577726845,6618,358,0.05409489271683288,0.04876694698313556,0.05981989385461301,18.48603351955307,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q75,2.5324463635735537,6618,280,0.042308854638863705,0.037586308783851254,0.0474398460215129,23.635714285714286,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q90,2.934697230047748,6618,220,0.03324267150196434,0.02905476849446121,0.03784812670229806,30.081818181818182,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,LINEAGE_Q95,3.4632221631504088,6618,165,0.024932003626473256,0.021310477462502295,0.028979927635631,40.10909090909091,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q50,6.392869088564129,6618,603,0.09111514052583862,0.08428765883751864,0.0983053261306771,10.975124378109452,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q75,8.577594544816272,6618,420,0.06346328195829556,0.05770744488339079,0.06960733368322647,15.757142857142858,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q90,11.165009409464217,6618,250,0.037775763070414026,0.03331156368338058,0.04265291068143915,26.472,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,LINEAGE_Q95,11.944496220327633,6618,226,0.03414928981565428,0.029904532584123664,0.03881066877208385,29.283185840707965,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,LINEAGE_Q50,5.169596516578415,6618,1378,0.20822000604412208,0.1984921996219367,0.2182055745795262,4.802612481857765,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,LINEAGE_Q75,7.558190893521439,6618,1105,0.16696887277123,0.15805621781714832,0.17617599398079395,5.989140271493213,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,LINEAGE_Q90,9.223146097812174,6618,947,0.14309459051072831,0.1347411470245837,0.15176383419673953,6.988384371700105,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,LINEAGE_Q95,10.678216732016637,6618,840,0.12692656391659113,0.11899645582181544,0.13518697726658482,7.878571428571429,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,LINEAGE_Q50,5.409719241108979,6618,939,0.14188576609247508,0.133562636487039,0.15052577855162513,7.047923322683706,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,LINEAGE_Q75,7.860949786822722,6618,607,0.09171955273496525,0.08487116290330422,0.0989300952014481,10.902800658978583,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,LINEAGE_Q90,10.368566430169743,6618,397,0.05998791175581747,0.054386103548205784,0.06598119766874612,16.670025188916878,
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,LINEAGE_Q95,12.356024590830328,6618,285,0.04306436990027199,0.038300310246118,0.048236132598356504,23.221052631578946,
