POPULATION,MEASURE,N_LINEAGE,N_EXTERNAL,AUC_LINEAGE_GT_EXTERNAL,CI_LOW,CI_HIGH,P
PRIMARY_ENGLISH_NO_SYSTEM_HIT,JOINT_MULTILAYER_V2_MARGIN,137,6618,0.9244363414973099,0.9111182894252128,0.9368710473316525,2.352472288742856e-65
PRIMARY_ENGLISH_NO_SYSTEM_HIT,OPERATOR_RELATIONAL_V2_MARGIN,137,6618,0.8715800526323916,0.8504011124272886,0.8937146644960768,1.3873286064534525e-50
PRIMARY_ENGLISH_NO_SYSTEM_HIT,SURFACE_FREE_MARGIN,137,6618,0.7551700405662062,0.731976163217767,0.7779532650391654,6.564609606619008e-25
PRIMARY_ENGLISH_NO_SYSTEM_HIT,R1_COMPATIBLE_MARGIN,137,6618,0.7978307336990689,0.7716991427934874,0.825874246966358,3.171596621477437e-33
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MEDIAN_Z,137,6618,0.9822514575378365,0.9647969318359793,0.9967022586046018,9.663926751983781e-84
PRIMARY_ENGLISH_NO_SYSTEM_HIT,COMPOSITE_MIN_Z,137,6618,0.9673915201408234,0.9437814752069671,0.9858890705066695,8.579826537151699e-79
PRIMARY_ENGLISH_NO_SYSTEM_HIT,MAHALANOBIS,137,6618,0.9593720289500213,0.9317401612060009,0.98097080402265,3.467090511247347e-76
PRIMARY_ENGLISH_NO_SYSTEM_HIT,KNN5_DISTANCE,137,6618,0.9634948260991368,0.9385607544564372,0.9823150145698636,1.6053878549802504e-77
PRIMARY_ENGLISH_NO_SYSTEM_HIT,CENTROID_COSINE,137,6618,0.9770378507631255,0.9610682985796313,0.9911407563534974,5.480399532093328e-82
ALL_USABLE,JOINT_MULTILAYER_V2_MARGIN,137,13777,0.9495403584414731,0.9401958542985797,0.9582302886064737,8.19805277080571e-74
ALL_USABLE,OPERATOR_RELATIONAL_V2_MARGIN,137,13777,0.863937515662675,0.8359405870039402,0.8891899065882044,4.1455576667869655e-49
ALL_USABLE,SURFACE_FREE_MARGIN,137,13777,0.7612147401068851,0.7375543921981468,0.7811857168061229,2.866608217372269e-26
ALL_USABLE,R1_COMPATIBLE_MARGIN,137,13777,0.6381639980735904,0.6122215355222843,0.6649997960209785,1.2435198568583865e-08
ALL_USABLE,COMPOSITE_MEDIAN_Z,137,13777,0.9889544035362016,0.978432185452428,0.9970640531214354,6.358591404734117e-87
ALL_USABLE,COMPOSITE_MIN_Z,137,13777,0.9804153648654876,0.9668882576429879,0.9933980600270523,5.453131008646991e-84
ALL_USABLE,MAHALANOBIS,137,13777,0.9751765478166563,0.9594706664921808,0.9881739321168413,3.241985697097089e-82
ALL_USABLE,KNN5_DISTANCE,137,13777,0.9779347680387658,0.9618154318341846,0.9914602063419993,3.7942923279624775e-83
ALL_USABLE,CENTROID_COSINE,137,13777,0.9790929450279188,0.9591113190343156,0.9933154352779864,1.535745201799941e-83
