FULL_PATH,FILE_NAME,EXTENSION,SIZE_BYTES,CREATED_UTC,MODIFIED_UTC,SOURCE_ROLE,COPY_STATUS,HYDRATION_STATUS,EXPERIMENT_ID,CANONICAL_ID,SOURCE_EXISTS,SENSITIVE_PATH,RUNTIME_OR_LIBRARY,COPY_OR_PROVENANCE_AUDIT,CROSS_CANONICAL_OVERLAP,OTHER_CANONICAL_MATCHES,DESTINATION_BUCKET,HYDRATION_AUDIT_CLASS,SOURCE_CLUSTER
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\.gitignore,.gitignore,.gitignore,71,2026-09-15T14:03:12.7677267Z,2026-09-15T14:03:12.7677267Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\__pycache__\six.cpython-313.pyc,six.cpython-313.pyc,.pyc,42114,2026-09-15T14:03:32.4616363Z,2026-09-15T14:03:32.4616363Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\__pycache__\threadpoolctl.cpython-313.pyc,threadpoolctl.cpython-313.pyc,.pyc,58141,2026-09-15T14:03:32.4147647Z,2026-09-15T14:03:32.4147647Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\__init__.py,__init__.py,.py,308,2026-09-15T14:03:56.7791922Z,2026-09-15T14:03:56.7791922Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\__pycache__\__init__.cpython-313.pyc,__init__.cpython-313.pyc,.pyc,487,2026-09-15T14:03:56.7948165Z,2026-09-15T14:03:56.7948165Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\__pycache__\cloudpickle.cpython-313.pyc,cloudpickle.cpython-313.pyc,.pyc,55192,2026-09-15T14:03:56.8416898Z,2026-09-15T14:03:56.8416898Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\__pycache__\cloudpickle_fast.cpython-313.pyc,cloudpickle_fast.cpython-313.pyc,.pyc,679,2026-09-15T14:03:56.8416898Z,2026-09-15T14:03:56.8416898Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\cloudpickle.py,cloudpickle.py,.py,58874,2026-09-15T14:03:56.7791922Z,2026-09-15T14:03:56.7791922Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle\cloudpickle_fast.py,cloudpickle_fast.py,.py,323,2026-09-15T14:03:56.7791922Z,2026-09-15T14:03:56.7791922Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive\Lib\site-packages\cloudpickle-3.1.2.dist-info\INSTALLER,INSTALLER,,4,2026-09-15T14:03:56.8416898Z,2026-09-15T14:03:56.8416898Z,OTHER_SOURCE,PRIMARY_OR_UNRESOLVED,NOT_YET_COPIED,EXP-016,CAN-WF2,True,False,True,False,False,,UNCLASSIFIED,EXCLUDE_RUNTIME_OR_LIBRARY,C:\RSOS\RSOS_EXPERIMENTS_WF2_PROSPECTIVE_CROSS_SYSTEM_CONFIRMATION\.venv_wf2_passive
