archive,source_family,artifact_classes,member
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/BLIND_SPLIT_COUNTS.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/F1_DEV_SUMMARY.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/F1_DEV_SUMMARY.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,MATCHED_SOURCE_SUBSET|FREEZE_OR_MANIFEST,00_MANIFEST/F1_FROZEN_SPEC_BEFORE_DEVELOPMENT_HOLDOUT.json
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/F1_FROZEN_SPEC_SHA256.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/INPUT_SHA256_MANIFEST.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,CONTEXT_OR_ID_MAP|FREEZE_OR_MANIFEST,00_MANIFEST/OUTPUT_FILE_INDEX.csv
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,CONTROL_SUBSET|FREEZE_OR_MANIFEST,00_MANIFEST/RESERVED_EXTERNAL_CONTROLS_NOT_READ.txt
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/RUN_F1_DEV_LMARENA_BLIND_R1.py
C:\RSOS\F1_FINAL_COMPLETE\F1_FINAL_FREEZE\01_FROZEN_EVIDENCE_ARCHIVES\F1_DEV_LMARENA_BLIND_R1.zip,F1,FREEZE_OR_MANIFEST,00_MANIFEST/RUN_SCRIPT_SHA256.txt
