FEATURE,BASELINE_MEAN,BASELINE_SD
SEQ_ACTIVE_EDGE_COHERENCE,0.7000000000000002,1.0
PLUS_SEQ_COHERENCE,0.6209150326797385,0.16275418090526625
PLUS_REACHABILITY,0.7712418300653594,0.21991293485147606
MINUS_SEQ_CONFLICT,1.0,1.0
CODE_SEQ_COHERENCE,1.0,1.0
CODE_CONNECTEDNESS,0.9864612511671336,0.07203575061813115
FINAL_RECIPROCITY,0.1818181818181819,0.01477171752186159
FINAL_SCC_COUNT,2.3529411764705883,1.1255836079793173
FINAL_LARGEST_SCC_FRAC,0.8308823529411765,0.14069795099741467
FINAL_TRANSITIVITY,0.030701754385964907,0.04614920352485978
FINAL_IN_DEGREE_SD,0.62341355980643,0.11859924884631004
FINAL_OUT_DEGREE_SD,0.6528751011887736,0.13770305750976414
FINAL_SPECTRAL_RADIUS,1.488412644017193,0.038303176748928754
FINAL_TWO_CYCLES,1.0000000000000002,0.08124444637023877
FINAL_THREE_CYCLES,0.00980392156862745,0.056597363035929944
FINAL_REACHABILITY_FRAC,0.8499649859943978,0.12328997541772213
FINAL_MEAN_REACHABLE_PATH,2.5429172280907464,0.26053516241554164
