"RelativePath","SizeBytes","SHA256"
"ACTIVE_RAW_FREEZE\WF2_ACTIVE_1680_FINAL_SHA256.csv","216770","D6821CD3168EF200C50803756092C2BACB7ABA36C03F4351350F4C5BCA679A85"
"ACTIVE_RAW_FREEZE\WF2_ACTIVE_FINAL_PARSE_VALID_FREEZE_RECORD.txt","644","4C828B446D076E834837C502C7ED14EA37AB59C6E2D061968831B36F1775ACD8"
"ACTIVE_RAW_FREEZE\WF2_ACTIVE_PARSE_AUDIT_FINAL.csv","328205","A29837F2A413295306945175BA87C2360F0BC839582EBE273862B9BF97FC7576"
"ACTIVE_VALIDATION_AUDIT\WF2_ACTIVE_VALIDATION_AUDIT.csv","179155","4C94D2E3FAAC293FEBF491F7AB376031A79BE9645546B206EE4E271F3D6358EB"
"ACTIVE_VALIDATION_AUDIT\WF2_AUDIT_ACTIVE_VALIDATION.py","5748","9ADD2DC755AF6477EC13E12A70A78C6756BA2BB44BEAC3E25E468D0481D41750"
"ACTIVE_VALIDATION_AUDIT\WF2_FROZEN_VALIDATOR_PROMPT_CONTRACT.txt","5618","61519BA8F2572F50156D8CDAC5199E1DEB9C21CD06A1742A24FF23279C845DBE"
"ACTIVE_VALIDATION_AUDIT\WF2_INSPECT_FROZEN_VALIDATOR_CONTRACT.py","667","FD6639EACD68B27A9F0BCC615E2180C049CC255568A01FB0934565D3CF72CCC9"
"ACTIVE_VALIDATION_AUDIT\WF2_INSPECT_INSTRUCTION_AND_PLUS.py","1935","D35A72C80E8B883527796824C509F80900665D63A3B22CBD8E0A7F49FEC9DA1A"
"ACTIVE_VALIDATION_AUDIT\WF2_INSTRUCTION_PLUS_INSPECTION.txt","15396","AA2557B69C6EB255FEB72ECC978A711C79378600AC92572C98561FAF4767143C"
"ADJUDICATION\WF2_A_V13_ADJUDICATION.json","632","078779C4BFF43979140B12CADA48D66B0E5C1097704E9559DC3AE5B46AFB5004"
"ADJUDICATION\WF2_ACTIVE_CAUSAL_R1_ADJUDICATION.json","3137","02D8E5F826666E5287A40D298EA0EC92FBF7851DCC408023D45C85130F9C4FEB"
"ADJUDICATION\WF2_B_V14_ADJUDICATION.json","1208","2C6904032FD4BAFB177ED7E3A3434B41BB46CC9FEC171FB56270A51F2852F4FA"
"ADJUDICATION\WF2_C_V17_ADJUDICATION.json","3192","D989FBA33BDE848F3A55EE83D83B73CE7057C16EF78C2CECB91F107BE64936A6"
"ADJUDICATION\WF2_OVERALL_ADJUDICATION.json","295","574B8237F1236A4B6C63BBB11EF959E5399AA9BA926E908F4050E610D2DDA96F"
"FINAL_RUNNERS\WF2_SCORE_ACTIVE_CAUSAL_R1.py","14277","0007D5367899E8194E8E6A28E6DBF870EB9A0C0BF98609041C5C664496E49F0D"
"FINAL_RUNNERS\WF2_SCORE_AND_ADJUDICATE.py","13448","89DD3E22C9FCC365CFF0545D10168DD730A3A9AD80F00632E8E1C1E60E3C6CAA"
"OUTPUTS\ACTIVE_CAUSAL\WF2_ACTIVE_CAUSAL_FEATURES.csv","408237","74B8DD4551B7D2B643D3C98E71833EC968539B53033CCE279D545A3D90D0A57A"
"OUTPUTS\WF2_CELL_SCORES.csv","138678","4C3776272FCF654217C962E6AFD028D6EFA46AFD7D2DB001300E55B6663E5B04"
"OUTPUTS\WF2_CONDITION_STATISTICS.csv","8633","C75399313D2A56F13D08937423F93D5D212F74C85A659B2F382A345B6AD4889A"
"PASSIVE_MIXED_VERSION_BRIDGE\WF2_MIXED_VERSION_BRIDGE_SHA256.csv","457","229AB6182EFA690DB71C9D4B240D628830821E6FFB391B525347CEE1B9ECA19E"
"PASSIVE_MIXED_VERSION_BRIDGE\WF2_PASSIVE_MIXED_VERSION_FINAL_CONSOLE.txt","1432","8F2AF52FF57568AE038DB82DBC9C14C4BBF9384BAF6B70A46310F7F495EAAE35"
"PASSIVE_MIXED_VERSION_BRIDGE\WF2_RUN_PASSIVE_MIXED_VERSION.py","4137","C794B7A88FFDD081B4C0CDDF432A0F9D793EF30EDBD18FA5C02C647E15961A73"
"PASSIVE_MIXED_VERSION_BRIDGE\WF2_SKLEARN18_MODEL_WORKER.py","1705","138E07983C2831CA007D8ED5557723F18CF5B4EF5EEF85B42D23069D8E0581FD"
"PROTOCOL\WF2_ACTIVE_CAUSAL_R1_DECISION_RULES.json","3908","DEE19787C172BA15DCE7CAA5DEAE9F56E33F7A976183DC5EA2799943B6DEF5CB"
"PROTOCOL\WF2_BOUNDARY1_R1_SUPERSEDING_PROTOCOL.json","1465","19E6A70682DB9E6A491D565DDDEDA7A40F8486B439971D27DEBEBB67D89289F2"
"PROTOCOL\WF2_BOUNDARY1_R2_TECHNICAL_CORRECTION.json","881","3ADADCDCEED6C57EB87C395AB149FDBB6A22D74DFE7E277B684E27EA92F06A33"
"PROTOCOL\WF2_ENDPOINTS_AND_DECISION_RULES.json","2013","7A3B26175FD292A1CEBD07ED1972F70AE9F57B6725CFE764CFAA5107F4CA54A5"
"PROTOCOL\WF2_FAILURE_POLICY.json","460","0A4E6D12B2AB9C2CA8726B90F89A156ABC2823F4B58E93856E971A5926A13524"
"PROTOCOL\WF2_PERTURBATION_MATRIX.json","727","6DD449B726CF459F82C8354B772F56BE1D9A22E9C6C1CCEEFF5867ED295D0E6B"
"PROTOCOL\WF2_UNIFIED_PREREGISTRATION.json","2699","3A1C183DFC1EC8A23BB3E32D877CE70FF8C6E3B1FEA715ACBE9094A2A507F73B"
"SCORING_AUDIT\WF2_ACTIVE_CAUSAL_SCORE_R1_CONSOLE.txt","6280","460D613DD413814501871F764F0CD95A0D8757CB7137EE746863813BB2C3DA03"
"SCORING_AUDIT\WF2_AUDIT_MODEL_SKLEARN_VERSIONS.py","786","6DC53FF03F2D8418A267EC9831925CA73478BBF5BB28DF76FDFE84CE7A7FDE42"
"SCORING_AUDIT\WF2_FINAL_ADJUDICATION_CONSOLE.txt","3390","D3B73563C75184192FA713614AB03F67D67ED719395CB04F2BFF65DB8E8D0B4D"
"SCORING_AUDIT\WF2_FINAL_ADJUDICATION_TECHNICAL_FAILURE_01_MISSING_PYARROW.txt","2530","C458AB3735E21E557ED1C91DE10745F1810F5E4FFA41F2BCB331AD42B3D49625"
"SCORING_AUDIT\WF2_MODEL_VERSION_AUDIT_SKLEARN_1_8_0.txt","2902","3D34E4A62AB310EF679A060B416CFF475AE57E5CDA7096FE86FB9F9A449DA14F"
"SCORING_AUDIT\WF2_MODEL_VERSION_AUDIT_SKLEARN_1_9_1.txt","1750","1EA720E611BD176011FFF46ED183559DB582F5DAD010A88FB504B525E596EE54"
"SCORING_AUDIT\WF2_PASSIVE_ADJUDICATION_TECHNICAL_FAILURE_02_SKLEARN_MISMATCH.txt","3390","D3B73563C75184192FA713614AB03F67D67ED719395CB04F2BFF65DB8E8D0B4D"
"SCORING_AUDIT\WF2_PASSIVE_ENV_REQUIREMENTS.txt","117","77210458E6B50B115872D3F14685F9B395DBABAFE43F91D3DDF3E1F9B1BF8F0F"
"SCORING_AUDIT\WF2_TEST_PASSIVE_MODEL_PARITY.py","618","F6A902EF9D668F8AA14DA6358177D2E99F306F64E6E6EECBF7E0BC2D32806B49"
"SCORING_AUDIT\WF2_VALIDATION_CONTRACT_AUDIT_SHA256.csv","648","CB7A06C8645C787C8B373CE7E1EDBE27E5CDD5D6F4B12B884A091DD32ECD7415"
"WF2_FINAL_FREEZE_RECORD.txt","3892","38F9579B5D3843CC04A13895C239201759FD29CB653E605EA7BB50551F6AF0C9"
