condition,N_SEEDS,MEAN_PATHWAY_SCORE,MEDIAN_PATHWAY_SCORE,SD_PATHWAY_SCORE,MIN_PATHWAY_SCORE,MAX_PATHWAY_SCORE
A100_AUTHENTIC_FULL_PREFIX,40,1.2583333333333333,1.1666666666666665,0.5256253906367645,0.3333333333333333,2.3333333333333335
A25_AUTHENTIC_DOSE,40,0.6333333333333333,0.6666666666666666,0.40509574683346666,0.0,1.3333333333333333
A50_AUTHENTIC_DOSE,40,0.6666666666666666,0.5,0.622466374565235,0.0,2.3333333333333335
A75_AUTHENTIC_DOSE,40,1.025,1.0,0.5411157619273974,0.0,2.0
B_TOPOLOGY_SHUFFLED,40,0.8833333333333333,1.0,0.4865718207542816,0.0,2.0
C_ORDER_SHUFFLED,40,0.85,0.8333333333333333,0.5844616682002692,0.0,2.0
D_DIRECTION_REVERSED,40,0.5166666666666666,0.5,0.33715755022721006,0.0,1.3333333333333333
E_META_CONTROL_ABLATED,40,0.725,0.6666666666666666,0.36112754729195806,0.0,1.6666666666666667
F_PRESERVATION_ABLATED,40,0.49166666666666664,0.3333333333333333,0.3921414652583029,0.0,1.6666666666666667
G_SURFACE_SUBSTITUTED,40,0.7416666666666667,0.6666666666666666,0.5034779324757228,0.0,1.6666666666666667
H_AUTHENTIC_PERTURBED,40,0.21666666666666665,0.0,0.35041692709117633,0.0,1.3333333333333333
I_SHUFFLED_PERTURBED,40,0.39999999999999997,0.3333333333333333,0.46039744999925003,0.0,2.0
J_RECURSION_CONTROL,40,0.13333333333333333,0.0,0.25929995610579504,0.0,1.0
K_COMPLEXITY_CONTROL,40,0.6916666666666667,0.6666666666666666,0.4295860327619597,0.0,2.0
L_COUNTERFACTUAL_PATH,40,0.8916666666666666,1.0,0.5463554461193496,0.0,2.3333333333333335
