motif,messages,conversations,models,temporal_span_days,user_messages,assistant_messages
CONTAINMENT,17758,988,25,1242.782,2613,15145
VERTICAL_HIERARCHY,20050,845,25,1237.22,3380,16670
SELF_OBSERVATION,1181,215,14,887.396,151,1030
RECURSIVE_REENTRY,17237,466,21,1038.48,2607,14630
CONTROL_OF_CONTROL,2182,268,16,1201.351,410,1772
NODE_VECTOR_GRAPH,8084,515,20,1237.042,1456,6628
GENEALOGY,2767,365,18,1217.245,564,2203
TRANSFORMATION,15560,850,25,1236.156,2393,13167
COMPRESSION_RECONSTRUCTION,14049,649,21,1227.901,1905,12144
SYMBOLIC_BINDING,24752,719,22,1235.514,3986,20766
MICRO_MACRO,9251,698,22,1241.276,1573,7678
MIRROR_REFLECTION,11036,727,22,1233.329,1867,9169
TREE_BRANCH,2956,456,19,1235.015,638,2318
SIGNAL_FLOW,14770,714,23,1237.183,2324,12446
STATE_MACHINE,16522,778,22,1237.22,2672,13850
