feature,discovery_hits,discovery_N,discovery_rate,background_hits,background_N,background_rate,log_prevalence_ratio,frozen_weight
P07_RECURSIVE_CONTROL,16,2701,0.006289308176100629,0,7746,0.00012906556530717606,3.886285822306655,3.886285822306655
P21_ANCHORED_TRANSFORMATION,61,2701,0.02293747687754347,3,7746,0.0005162622612287042,3.79391250217564,3.79391250217564
P23_COMPRESSION_REENTRY,13,2701,0.005179430262671106,0,7746,0.00012906556530717606,3.6921298078656974,3.6921298078656974
P15_TRANSFORMATION_REENTRY,11,2701,0.004439511653718091,0,7746,0.00012906556530717606,3.5379791280384394,3.5379791280384394
P18_REFLECTIVE_REENTRY,10,2701,0.004069552349241583,0,7746,0.00012906556530717606,3.4509677510488093,3.4509677510488093
P17_SYMBOLIC_TRANSPOSITION,9,2701,0.003699593044765076,0,7746,0.00012906556530717606,3.3556575712444845,3.3556575712444845
P22_RECONSTRUCTION_CONTINUITY,9,2701,0.003699593044765076,0,7746,0.00012906556530717606,3.3556575712444845,3.3556575712444845
P19_CONTAINED_CONTROLLER,29,2701,0.011098779134295227,4,7746,0.0006453278265358802,2.844831947478494,2.844831947478494
P29_RECURSIVE_GENEALOGY,3,2701,0.0014798372179060304,0,7746,0.00012906556530717606,2.4393668393703294,2.4393668393703294
P16_EVOLUTIONARY_INHERITANCE,6,2701,0.002589715131335553,1,7746,0.0002581311306143521,2.3058354467458066,2.3058354467458066
P09_HIERARCHICAL_FEEDBACK,9,2701,0.003699593044765076,2,7746,0.0003871966959215281,2.257045282576375,2.257045282576375
P02_SYSTEM_SELF_OBSERVATION,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486
P03_OBSERVER_INSIDE_SYSTEM,8,2701,0.003329633740288568,2,7746,0.0003871966959215281,2.1516847669185486,2.1516847669185486
P05_OBSERVER_OF_OBSERVER,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486
P12_TREE_GENEALOGY,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486
P28_SELF_MODEL_CONTROL,2,2701,0.0011098779134295228,0,7746,0.00012906556530717606,2.1516847669185486,2.1516847669185486
P25_SYSTEM_ABOVE_SYSTEM,34,2701,0.012948575656677765,14,7746,0.0019359834796076408,1.9003703386376425,1.9003703386376425
P01_VERTICAL_NESTING,17,2701,0.006659267480577136,8,7746,0.0011615900877645843,1.7462196588103842,1.7462196588103842
P04_RECURSIVE_SELF_OBSERVATION,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P08_STATE_SELF_OBSERVATION,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P10_CROSS_LEVEL_SIGNAL,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P13_PARENT_CHILD_INHERITANCE,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P20_CROSS_SCALE_CONTROL,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P30_FULL_SELF_REFERENTIAL_TOPOLOGY,1,2701,0.0007399186089530152,0,7746,0.00012906556530717606,1.7462196588103842,1.7462196588103842
P26_SYSTEM_BELOW_SYSTEM,24,2701,0.00924898261191269,14,7746,0.0019359834796076408,1.5638981020164295,1.5638981020164295
P06_META_CONTROL,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388
P11_NODE_SUBNODE_RECURSION,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388
P14_MICRO_RECURSION,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388
P27_SYSTEM_INSIDE_SYSTEM,0,2701,0.0003699593044765076,0,7746,0.00012906556530717606,1.0530724782504388,1.0530724782504388
P24_BECOMING_ONE,18,2701,0.007029226785053644,28,7746,0.0037429013939081052,0.6302156274304053,0.6302156274304053
