experiment,metric,value
Z2,actual_adoption_rate,0.04400593338427653
Z2,shuffle_null_mean,
Z2,empirical_p,0.00019998000199980003
Z2,standardized_effect,6.8995246661669976
Z2,reverse_rate,0.04687640046607511
Z2,mutated_adoption,0.04112914100777633
Z2,compressed_adoption,0.10367722165474974
W,top_structural_score,388.76190476190476
W,median_structural_score,24.61474987106756
W,p99_structural_score,118.30612244897958
W,median_output_input_density_ratio,12128567.225654604
F3,random_graph_empirical_p,
F3,long_recursive_message_N,1355
F3,rare_subgraph_N,50
SYNTHESIS,positive_flag_fraction,0.8
