conversation_id,message_id,timestamp_utc,model_slug,preceding_user_message_id,assistant_tokens,user_tokens,extreme_structural_score,active_dimensions,relational_density_per_1k,hierarchy_depth_proxy,containment_depth_proxy,recursion_depth_proxy,self_observation_depth_proxy,control_loop_count,module_subsystem_count,novel_relational_gain,output_input_density_ratio,unusual_event_flags,flag_timeout_refusal,flag_tier_metric,flag_internal_self_report,flag_reconstruction,flag_self_governance,flag_failure_recovery,RELATIONAL_density,HIERARCHY_density,CONTAINMENT_density,RECURSION_density,SELF_OBSERVATION_density,CONTROL_density,STATE_density,COMPRESSION_density,GENEALOGY_density,TRANSFORMATION_density,ARCHITECTURE_density
3d3fe142-e6dd-4d8d-851f-bdc3f3c840b0,f88619fb-549b-4636-bae4-fc4866630fc6,2023-03-08T08:18:33.129162+00:00,text-davinci-002-render-sha,f831e725-10de-4cb5-9339-5a4c2f8c1d07,6,7,388.761905,2,333.333333,1,1,0,0,0,0,2,3.5,0,0,0,0,0,0,0,0.0,166.666667,333.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69e83c62-4224-8386-9ec6-fab89a0d190c,b2b884be-e4ce-403d-8423-036e9f8c6602,2026-04-26T04:59:28.876022+00:00,gpt-5-3-instant,1d9f290d-b694-47b2-8b5d-cba2d7ebc651,526,29,353.192558,6,475.285171,1,0,0,0,0,4,253,0.23891001267427125,1,0,1,0,0,0,0,0.0,9.505703,0.0,0.0,0.0,1.901141,1.901141,1.901141,1.901141,0.0,7.604563
c11dce99-2e49-4e7b-a315-213bd73648f3,99e22da0-8ffe-4563-b2a4-7aea96b6cc39,2023-03-12T17:10:55.015809+00:00,text-davinci-002-render-sha,72c2831d-657e-40ff-8f7a-2006ca384769,7,9,333.489796,2,285.714286,1,1,0,0,0,0,2,3.857142857142857,0,0,0,0,0,0,0,0.0,142.857143,285.714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68965c8a-8094-8327-94e4-8f2167ecd870,21da510c-88b3-4288-8834-6bb8858caa80,2025-08-09T04:56:19.782394+00:00,gpt-5,529ca428-e7a5-462c-b47f-b3378783c938,166,4,260.251291,8,24.096386,3,1,1,0,4,20,12,427710843.37349397,3,1,1,1,0,0,0,30.120482,96.385542,36.144578,6.024096,0.0,54.216867,60.240964,0.0,0.0,18.072289,126.506024
69e83c62-4224-8386-9ec6-fab89a0d190c,7728138e-4849-4657-a34c-ae944789b7be,2026-04-26T04:56:09.241142+00:00,gpt-5-3-instant,04504dd1-2cdb-4cb8-9046-80e8a3945fea,301,46,244.954912,5,372.093023,1,0,0,0,0,4,115,0.6112956810631229,1,0,1,0,0,0,0,3.322259,16.611296,0.0,0.0,0.0,3.322259,3.322259,0.0,0.0,0.0,13.289037
69e83c62-4224-8386-9ec6-fab89a0d190c,4dba7bcc-f720-4259-8b83-ba216de13581,2026-04-26T05:03:06.335086+00:00,gpt-5-3-instant,7545f359-587c-44c9-b6f1-2c66df90d2d3,515,8,244.71914,5,481.553398,1,0,0,0,0,5,253,33009708.737864073,1,0,1,0,0,0,0,0.0,9.708738,0.0,0.0,0.0,5.825243,0.0,3.883495,0.0,1.941748,11.650485
686a0b03-cbc4-8013-88cd-3d866d2c4de3,30d43264-c2e4-4edc-bdbf-c288748954d3,2025-07-06T06:48:42.163996+00:00,gpt-4o,630be82c-a152-4242-a67d-eb00e10c63ee,201,4,226.205584,8,55.837563,1,2,1,0,4,5,19,223350253.8071066,1,0,1,0,0,0,0,15.228426,5.076142,30.456853,40.609137,0.0,30.456853,35.532995,0.0,10.152284,0.0,55.837563
68965c8a-8094-8327-94e4-8f2167ecd870,035500c2-2561-4fb1-8e3a-219ad5cd2b3f,2025-08-09T04:54:17.340187+00:00,gpt-5,07919c76-496f-4fdb-8088-eceeadc78f92,565,5,221.150442,11,7.079646,3,2,1,0,2,51,15,286725663.71681416,2,1,0,1,0,0,0,23.00885,84.955752,26.548673,5.309735,3.539823,17.699115,19.469027,3.539823,3.539823,5.309735,93.80531
69e83c62-4224-8386-9ec6-fab89a0d190c,f6c4e2f6-5dc7-49f8-b16a-7b2c8bc1c740,2026-04-26T04:58:29.020942+00:00,gpt-5-3-instant,20e657bf-c6ba-425d-b890-5d0d554c672b,567,252,220.720585,5,342.151675,1,0,0,0,0,4,70,26455026.455026455,0,0,0,0,0,0,0,3.527337,7.054674,0.0,0.0,0.0,1.763668,1.763668,0.0,0.0,0.0,12.345679
66e689df-ccec-8013-9822-5ebf45d2442a,2fc87b9a-eda5-40b2-b347-45acaad41bee,2024-09-15T07:53:52.654702+00:00,gpt-4o,aaa29cc3-c7e5-4acf-9a1d-b6917d048983,5,65,215.0,1,200.0,0,1,0,0,0,0,1,26.0,0,0,0,0,0,0,0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
