structural_signature,first_documented_role,timestamp_utc,conversation_id,message_id,model_slug
CMP|ARCH|COMP,ASSISTANT_FIRST,2025-04-07T19:31:02.208933+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,515e3937-927b-4ca3-b1fa-cc94c300fedc,gpt-4o
CMP|ARCH|CONTROL,ASSISTANT_FIRST,2025-04-16T19:27:23.807485+00:00,6800049b-405c-8013-be7c-c2f0d87d73f7,8b701f3a-61bb-4740-9c40-ad8e1b167fc0,gpt-4o
CMP|ARCH|GENE,ASSISTANT_FIRST,2025-08-24T16:25:23.647764+00:00,68ab3459-6258-8322-a83d-4d1b10eecb66,eb39ef17-ca4f-42da-9201-54186c07910c,gpt-5-thinking
CMP|ARCH|HIER,ASSISTANT_FIRST,2025-04-20T06:14:14.094658+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,606b65d8-f519-4122-b56d-017102910367,gpt-4o
CMP|ARCH|META,ASSISTANT_FIRST,2025-04-20T04:49:05.418823+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,9fdf5d3f-a816-4dcb-9ae0-9058f29d5f92,gpt-4o
CMP|ARCH|NODE,ASSISTANT_FIRST,2025-05-22T18:25:56.852056+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,f69ec634-6965-486f-a25b-3bccb8140b16,gpt-4o
CMP|ARCH|RECUR,USER_FIRST,2025-05-21T14:00:45.037000+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,1a702a98-95fa-4d62-afb8-350b2c6e26c5,gpt-4o
CMP|ARCH|STATE,ASSISTANT_FIRST,2025-04-16T19:27:23.807485+00:00,6800049b-405c-8013-be7c-c2f0d87d73f7,8b701f3a-61bb-4740-9c40-ad8e1b167fc0,gpt-4o
CMP|ARCH|TRANS,ASSISTANT_FIRST,2025-04-23T15:00:46.492711+00:00,68081961-ca58-8013-a73d-026bbc423b5c,f3222033-617a-444e-9831-2e146917d810,gpt-4o
CMP|COMP|CONTROL,ASSISTANT_FIRST,2025-04-16T19:27:23.807485+00:00,6800049b-405c-8013-be7c-c2f0d87d73f7,8b701f3a-61bb-4740-9c40-ad8e1b167fc0,gpt-4o
CMP|COMP|GENE,ASSISTANT_FIRST,2025-06-05T02:50:55.574794+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,c9f80cfb-ec2a-466b-b403-fbf4aa2a215c,gpt-4o
CMP|COMP|HIER,ASSISTANT_FIRST,2025-04-18T09:34:07.009822+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,8bf9c133-ddab-45cd-96b8-a5239924c9c4,gpt-4o
CMP|COMP|META,ASSISTANT_FIRST,2025-04-20T04:49:05.418823+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,9fdf5d3f-a816-4dcb-9ae0-9058f29d5f92,gpt-4o
CMP|COMP|NODE,ASSISTANT_FIRST,2025-04-23T04:28:29.584576+00:00,68081961-ca58-8013-a73d-026bbc423b5c,cd3770ed-f606-452a-ab9b-3210dca81174,gpt-4o
CMP|COMP|RECUR,USER_FIRST,2025-05-21T14:00:45.037000+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,1a702a98-95fa-4d62-afb8-350b2c6e26c5,gpt-4o
CMP|COMP|STATE,ASSISTANT_FIRST,2023-08-26T12:14:59.543372+00:00,42869a24-3af5-41f2-8ea8-285c2edb8043,26ff19c5-874c-41ae-8934-ae9e0df6633b,text-davinci-002-render-sha
CMP|COMP|TRANS,ASSISTANT_FIRST,2024-07-06T22:37:05.549428+00:00,1d5feb7f-2b16-43ff-8638-cd9c813a876c,b4821519-eb6d-4bc3-8fea-06d251fdeef9,text-davinci-002-render-sha
CMP|CONTROL|GENE,ASSISTANT_FIRST,2025-08-24T16:44:21.869894+00:00,68ab3459-6258-8322-a83d-4d1b10eecb66,3138d8af-cb20-46b7-8381-676e37239710,gpt-5
CMP|CONTROL|HIER,USER_FIRST,2025-05-25T18:25:01.405000+00:00,6815a30e-18c4-8013-816c-fbf8f456b12d,272aea39-70cd-48dc-955d-cd446ae061a3,gpt-4o
CMP|CONTROL|META,ASSISTANT_FIRST,2025-06-15T05:03:29.110553+00:00,684e419e-290c-8013-bd0e-208804671b40,181f4603-6911-49c8-962d-0e3842b198e9,gpt-4o
CMP|CONTROL|NODE,ASSISTANT_FIRST,2025-06-13T21:30:17.685848+00:00,684c9869-2fd4-8013-956c-e8ac2b349575,cf5a2902-b712-4131-8b25-f55bfac67b71,gpt-4-1-mini
CMP|CONTROL|RECUR,ASSISTANT_FIRST,2025-06-08T20:57:28.979022+00:00,6841b285-eb80-8013-9c5b-05785cea7c60,393f5d37-e95b-4063-a74d-a43cc06b934e,gpt-4o
CMP|CONTROL|STATE,ASSISTANT_FIRST,2025-04-16T19:27:23.807485+00:00,6800049b-405c-8013-be7c-c2f0d87d73f7,8b701f3a-61bb-4740-9c40-ad8e1b167fc0,gpt-4o
CMP|CONTROL|TRANS,USER_FIRST,2025-05-25T18:25:01.405000+00:00,6815a30e-18c4-8013-816c-fbf8f456b12d,272aea39-70cd-48dc-955d-cd446ae061a3,gpt-4o
CMP|GENE|HIER,ASSISTANT_FIRST,2025-06-05T02:50:55.574794+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,c9f80cfb-ec2a-466b-b403-fbf4aa2a215c,gpt-4o
CMP|GENE|NODE,ASSISTANT_FIRST,2025-06-05T16:23:25.066038+00:00,6841b285-eb80-8013-9c5b-05785cea7c60,a099fe93-0863-4b58-96cf-ba7760212759,gpt-4o
CMP|GENE|RECUR,ASSISTANT_FIRST,2025-06-08T20:36:54.604251+00:00,6841b285-eb80-8013-9c5b-05785cea7c60,d525dd3a-8b52-4b75-8540-967413fcab06,gpt-4o
CMP|GENE|STATE,ASSISTANT_FIRST,2025-07-30T19:54:08.976576+00:00,688a7662-4a2c-8325-ac1b-9f3600999db0,547f723c-efb6-48bb-b0a6-2161b010eebb,gpt-4o
CMP|GENE|TRANS,ASSISTANT_FIRST,2025-11-22T23:26:09.757965+00:00,69224691-0bdc-8325-b20a-ac4e5f3cc4c8,3c2ff1a9-0e6b-45ea-a4b8-768891e6cc66,gpt-5-1-instant
CMP|HIER|META,ASSISTANT_FIRST,2025-08-09T06:22:14.506496+00:00,68965c8a-8094-8327-94e4-8f2167ecd870,db0036c8-e28f-45af-821a-966958fce1e0,gpt-5
CMP|HIER|NODE,ASSISTANT_FIRST,2025-06-10T23:39:47.207944+00:00,6848b1a3-cda8-8013-a656-17f5555e870d,41fc16ef-1d25-47cc-b4fc-3b6d1606b76b,gpt-4o
CMP|HIER|RECUR,ASSISTANT_FIRST,2025-06-07T04:56:33.336387+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,24e47b8c-ab5c-49f9-99c7-6b82d93e3532,gpt-4o
CMP|HIER|STATE,ASSISTANT_FIRST,2025-05-18T04:25:26.672910+00:00,682956af-3910-8013-955a-be94c4d58c07,777a151b-79fe-4a61-9f01-7ce85a6b48c3,gpt-4o
CMP|HIER|TRANS,ASSISTANT_FIRST,2025-04-23T04:06:55.279736+00:00,68081961-ca58-8013-a73d-026bbc423b5c,8eb58031-0393-45e0-a18a-223612d72c68,gpt-4o
CMP|META|RECUR,ASSISTANT_FIRST,2025-07-05T04:26:11.410305+00:00,68689a33-442c-8013-97fd-6e426678f9ec,ed51a6c8-0e89-4f94-bf8e-a07fbe2cddc9,gpt-4o
CMP|META|STATE,ASSISTANT_FIRST,2025-08-09T06:22:14.506496+00:00,68965c8a-8094-8327-94e4-8f2167ecd870,db0036c8-e28f-45af-821a-966958fce1e0,gpt-5
CMP|NODE|RECUR,ASSISTANT_FIRST,2025-06-11T22:03:49.334574+00:00,6849daa7-43d4-8013-838a-aa7a59e65224,de164b39-6da7-4d1d-9f01-8aa5bfe17bde,gpt-4o
CMP|NODE|STATE,ASSISTANT_FIRST,2025-06-26T00:53:31.308701+00:00,684e8c7b-ed90-8013-9f1f-5c35ff60984c,239b88eb-1d43-48d3-a823-525c09f3798c,gpt-4o
CMP|NODE|TRANS,ASSISTANT_FIRST,2025-06-04T16:41:48.721092+00:00,683f2f8d-b408-8013-aac2-b2ae8a838260,ac296208-f30b-4e20-8d9e-db423c90d093,gpt-4o
CMP|RECUR|STATE,USER_FIRST,2025-05-21T14:00:45.037000+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,1a702a98-95fa-4d62-afb8-350b2c6e26c5,gpt-4o
CMP|RECUR|TRANS,ASSISTANT_FIRST,2025-06-06T00:03:05.702104+00:00,6841b285-eb80-8013-9c5b-05785cea7c60,e6f89137-b99d-498d-85db-d8bb7817c6a7,gpt-4o
CMP|STATE|TRANS,USER_FIRST,2025-05-25T18:25:01.405000+00:00,6815a30e-18c4-8013-816c-fbf8f456b12d,272aea39-70cd-48dc-955d-cd446ae061a3,gpt-4o
COUPLED|ARCH|COMP,ASSISTANT_FIRST,2025-04-06T19:19:13.538506+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,91f61153-7949-43cb-963a-be7164011f3e,gpt-4o
COUPLED|ARCH|CONTROL,ASSISTANT_FIRST,2023-02-23T11:39:50.401697+00:00,4a5372b1-6163-4342-9e5e-0c39b82a8d83,fd26721d-6d70-40d0-8d0a-c5a76530970c,text-davinci-002-render-sha
COUPLED|ARCH|GENE,ASSISTANT_FIRST,2024-06-06T19:47:36.681380+00:00,aa58ffed-f754-4871-8f9a-442206073c33,926a156a-5fd0-46a2-9766-1f0cc5744b82,gpt-4o
COUPLED|ARCH|HIER,ASSISTANT_FIRST,2023-02-23T11:22:41.158417+00:00,4a5372b1-6163-4342-9e5e-0c39b82a8d83,e9d0e8ef-f5fa-4dee-8b84-f729cbdd459a,text-davinci-002-render-sha
COUPLED|ARCH|META,ASSISTANT_FIRST,2024-07-06T22:29:10.276658+00:00,1d5feb7f-2b16-43ff-8638-cd9c813a876c,51a4bea7-fb0c-47ed-bd01-3c86d42dbb1b,text-davinci-002-render-sha
COUPLED|ARCH|NODE,ASSISTANT_FIRST,2023-02-01T12:40:50.137033+00:00,4a5372b1-6163-4342-9e5e-0c39b82a8d83,103a85ef-d22d-469c-9808-7ea0e9509a84,
COUPLED|ARCH|RECUR,ASSISTANT_FIRST,2025-04-19T04:14:22.766783+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,045af202-7219-4029-b442-8501fa399994,gpt-4o
COUPLED|ARCH|STATE,ASSISTANT_FIRST,2023-01-18T21:49:59.502500+00:00,c65291cb-723a-488b-8d33-e3b4f9c80d55,b320b3ed-3def-451a-adc3-0c368f80bb37,
COUPLED|ARCH|TRANS,ASSISTANT_FIRST,2023-08-13T13:14:55.924319+00:00,1dac32d5-6e18-4f1b-8868-18e5171c50a2,bb5957ae-7d94-46e6-bfde-4384d08313d7,text-davinci-002-render-sha
COUPLED|COMP|CONTROL,ASSISTANT_FIRST,2025-06-01T04:05:26.152756+00:00,683a6c62-08a8-8013-b5b8-a9381a2ec495,9892d4d6-7795-4118-a025-a44184c27a32,gpt-4o
COUPLED|COMP|GENE,ASSISTANT_FIRST,2025-06-13T19:07:33.075084+00:00,684c67e7-0cf8-8013-b5a1-c64b98cfc596,609be8fb-b0c5-417b-ae06-b811506b9e77,gpt-4o
COUPLED|COMP|HIER,ASSISTANT_FIRST,2025-04-19T19:45:32.963862+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,1e96ebc5-3ec0-43ba-9c70-a4e7bc6f3c84,gpt-4o
COUPLED|COMP|META,ASSISTANT_FIRST,2025-05-15T05:20:45.893338+00:00,68255dc3-04e8-8013-b9da-65ec2d36714e,646aa521-0b2d-44d6-83cc-3e211e981ea3,gpt-4o
COUPLED|COMP|NODE,ASSISTANT_FIRST,2025-04-27T10:45:55.177230+00:00,680daa4a-aab4-8013-84cc-5d839acea0f5,f2d4c8d7-a437-47bc-9792-1c6f5a0f1645,gpt-4o
COUPLED|COMP|RECUR,ASSISTANT_FIRST,2025-04-20T05:17:41.898831+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,32251545-38f1-4ecf-a194-f3f42e206c3e,gpt-4o
COUPLED|COMP|STATE,ASSISTANT_FIRST,2024-05-01T23:42:16.500663+00:00,35abfaf9-cf53-4cf7-98ce-625013ff7d89,1e118dca-6d26-448f-8c9e-4f6fbe073371,gpt-4
COUPLED|COMP|TRANS,ASSISTANT_FIRST,2025-04-09T11:17:50.924586+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,0b98638c-32ed-47e8-ae74-9eafb8c754bf,gpt-4o
COUPLED|CONTROL|GENE,ASSISTANT_FIRST,2025-06-13T21:31:57.686127+00:00,684c9869-2fd4-8013-956c-e8ac2b349575,4b04b10b-44b8-4c67-be3d-a7bad274ce2c,gpt-4-1-mini
COUPLED|CONTROL|HIER,ASSISTANT_FIRST,2024-05-24T16:44:32.559460+00:00,9aadbcce-d52c-4ce5-8c5f-97dfa5d49fa6,6282d797-e10d-4406-9c1b-0d625aeb240a,gpt-4o
COUPLED|CONTROL|META,ASSISTANT_FIRST,2025-05-18T05:04:48.195611+00:00,682956af-3910-8013-955a-be94c4d58c07,1816681b-a90b-4997-8653-24c8213a85f2,gpt-4o
COUPLED|CONTROL|NODE,ASSISTANT_FIRST,2025-05-21T15:20:20.334771+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,7cf1ffae-b0cb-43d0-830f-4ddc9501fc2f,gpt-4o
COUPLED|CONTROL|RECUR,ASSISTANT_FIRST,2025-05-21T15:22:47.831446+00:00,682ddb52-f8dc-8013-8a33-fac3fc22f238,a77a3030-9ca7-4fd4-b94c-7bcac01dc092,gpt-4o
COUPLED|CONTROL|STATE,ASSISTANT_FIRST,2024-04-27T23:43:23.310456+00:00,acebad6e-f3bd-4a68-ad14-9a7f471e863c,3aed5ae0-3b6b-4035-a7cc-8d1f8beb3ee3,gpt-4
COUPLED|CONTROL|TRANS,ASSISTANT_FIRST,2025-04-19T01:46:55.863256+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,f12a69cf-7110-45ca-a67e-eaf8392d8dfa,gpt-4o
COUPLED|GENE|HIER,ASSISTANT_FIRST,2025-04-28T01:53:09.971039+00:00,680daa4a-aab4-8013-84cc-5d839acea0f5,74b946bf-e080-464d-a346-adb8cfaa0bd3,gpt-4o
COUPLED|GENE|META,ASSISTANT_FIRST,2025-06-18T18:53:14.682137+00:00,68530829-eb14-8013-bf1a-e25f5c93ba74,db190bfb-7c3a-433a-88f9-5c90a45b1c6f,gpt-4o
COUPLED|GENE|NODE,ASSISTANT_FIRST,2025-04-12T16:02:52.211486+00:00,67f2cb51-5e44-8013-8de2-c4fb1f4939af,eec42bc4-54ab-4115-acd4-b2ec28a6b51f,gpt-4o
COUPLED|GENE|RECUR,ASSISTANT_FIRST,2025-05-26T19:34:50.017953+00:00,68336d0b-6e14-8013-b662-5b7e3471a6e5,c5aa2835-1ebd-4f4d-8ad5-76a2ec3a1a05,gpt-4o
COUPLED|GENE|STATE,ASSISTANT_FIRST,2024-01-25T18:15:18.585185+00:00,305b85db-54c8-4dba-8a75-17cdf9d746a2,ea4bb0a8-e361-4288-a46b-5cb2408a3f01,gpt-4
COUPLED|GENE|TRANS,ASSISTANT_FIRST,2025-04-29T17:43:22.711829+00:00,680daa4a-aab4-8013-84cc-5d839acea0f5,a32b6933-f69b-4cec-8360-ae18e7a91104,gpt-4o
COUPLED|HIER|META,ASSISTANT_FIRST,2024-05-21T21:47:54.353291+00:00,295cdef2-39d7-4714-9847-25b75c0d1382,f7bf0a46-49f6-4b8d-be99-0a65e5f160aa,gpt-4o
COUPLED|HIER|NODE,USER_FIRST,2023-03-16T10:05:32.626097+00:00,79f6636d-bf08-4ffa-872a-8446fe920242,a1a314c0-908e-4bc1-9f05-d6580c896b8f,
COUPLED|HIER|RECUR,ASSISTANT_FIRST,2025-04-18T12:31:31.451733+00:00,6802041e-31a4-8013-96d2-6eb6cb8dc2ee,25a3b0a2-6291-43b0-8097-54b32d275ed6,gpt-4o
COUPLED|HIER|STATE,ASSISTANT_FIRST,2023-05-31T20:15:18.740248+00:00,5ce3feb8-a089-421c-9a4c-4bc8667f369d,ee99c08c-ade8-4c48-b123-71d1d7527552,text-davinci-002-render-sha
COUPLED|HIER|TRANS,ASSISTANT_FIRST,2023-08-27T13:06:35.574590+00:00,42869a24-3af5-41f2-8ea8-285c2edb8043,1adb890d-f8b8-4d64-9511-9cb05871a431,text-davinci-002-render-sha
COUPLED|META|NODE,ASSISTANT_FIRST,2024-11-27T17:23:34.347347+00:00,67475176-3dd8-8013-af4d-f5cd9e0aafc3,128a61f7-0996-4147-9555-cf3cd65bff24,gpt-4o
