seed,condition,RETURN,REENTRY,GENERATIVE_REUSE,NEXT_TRANSFORMATION,RECURRENCE,PRESERVATION,META_CONTROL,COMPRESSION_USE,RELATIONAL_CONTINUITY,CLOSED_TRAJECTORY,FOREST_SCORE,REENTRY_CLUSTER,CONTROL_CLUSTER,PRESERVATION_CLUSTER,TRAJECTORY_CLUSTER,MULTISCALE_SCORE
0,A100_AUTHENTIC,0.5,0.0,0.25,0.25,0.0,1.0,0.5,0.0,0.0,0.0,2.5,0.0,0.25,0.0,0.0,2.75
0,A75_DOSE,0.0,0.0,0.0,0.0,0.25,1.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
0,A50_DOSE,0.0,0.0,0.0,0.75,0.0,0.75,0.75,0.0,0.0,0.0,2.25,0.0,0.75,0.0,0.0,3.0
0,A25_DOSE,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,S1_SURFACE_PARAPHRASE,0.0,0.0,0.0,0.25,0.0,0.75,0.5,0.0,0.0,0.0,1.5,0.0,0.25,0.0,0.0,1.75
0,S2_SURFACE_PARAPHRASE,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,1.5,0.0,0.0,0.25,0.0,1.75
0,S3_SURFACE_PARAPHRASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,T_TOPOLOGY_SHUFFLED,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,O_ORDER_SHUFFLED,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.75,0.0,0.0,0.25,0.0,1.0
0,R_DIRECTION_REVERSED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,M_META_CONTROL_ABLATED,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,P_PRESERVATION_ABLATED,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,C_COMPRESSION_ABLATED,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.0,0.25,0.0,1.5,0.0,0.0,0.25,0.0,1.75
0,AP1_AUTHENTIC_MILD_PERTURB,0.25,0.0,0.0,0.0,0.0,0.75,0.5,0.5,0.0,0.0,2.0,0.0,0.0,0.5,0.0,2.5
0,AP2_AUTHENTIC_MEDIUM_PERTURB,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,AP3_AUTHENTIC_STRONG_PERTURB,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
0,SP1_SHUFFLED_MILD_PERTURB,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.5,0.0,0.0,1.75,0.0,0.0,0.5,0.0,2.25
0,SP2_SHUFFLED_MEDIUM_PERTURB,0.75,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,1.75
0,SP3_SHUFFLED_STRONG_PERTURB,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25,0.0,1.25,0.0,0.0,0.25,0.0,1.5
