condition,N_SEEDS,mean_MULTISCALE_SCORE,median_MULTISCALE_SCORE,sd_MULTISCALE_SCORE,min,max
A100_AUTHENTIC,80,1.8,1.75,0.929815552690595,0.25,4.75
A75_DOSE,80,1.91875,2.0,0.6497017329299283,0.75,3.25
A50_DOSE,80,2.071875,2.0,0.7622353763683117,0.5,4.0
A25_DOSE,80,0.64375,0.5,0.4736322747085228,0.0,2.5
S1_SURFACE_PARAPHRASE,80,1.415625,1.5,0.6238200887792544,0.5,3.0
S2_SURFACE_PARAPHRASE,80,1.171875,1.0,0.6710488554909368,0.0,3.0
S3_SURFACE_PARAPHRASE,80,0.0625,0.0,0.17565429223263188,0.0,1.0
T_TOPOLOGY_SHUFFLED,80,2.259375,2.125,0.9004602813863755,0.25,4.25
O_ORDER_SHUFFLED,80,0.275,0.0,0.3637010874504752,0.0,1.25
R_DIRECTION_REVERSED,80,0.278125,0.25,0.3029228658556958,0.0,1.25
M_META_CONTROL_ABLATED,80,0.875,0.875,0.7226007879418463,0.0,3.0
P_PRESERVATION_ABLATED,80,0.9375,1.0,0.4748417457893775,0.0,2.0
C_COMPRESSION_ABLATED,80,1.628125,1.5,0.704858534599297,0.5,3.75
AP1_AUTHENTIC_MILD_PERTURB,80,1.88125,1.875,0.7430852124160409,0.5,3.5
AP2_AUTHENTIC_MEDIUM_PERTURB,80,0.7625,0.75,0.4445521142436295,0.0,1.75
AP3_AUTHENTIC_STRONG_PERTURB,80,1.05625,1.0,0.5124633361383777,0.0,2.5
SP1_SHUFFLED_MILD_PERTURB,80,1.54375,1.5,0.863074244719847,0.0,4.0
SP2_SHUFFLED_MEDIUM_PERTURB,80,1.146875,1.125,0.5841982361441397,0.25,2.5
SP3_SHUFFLED_STRONG_PERTURB,80,1.44375,1.5,0.7081968098763135,0.0,3.25
CTRL_RECURSION,80,0.265625,0.25,0.29592097709277776,0.0,1.25
CTRL_COMPLEXITY,80,0.946875,1.0,0.48830264984751137,0.0,2.75
CTRL_MATCHED_LINEAR_CHAIN,80,0.09375,0.0,0.2118894803871447,0.0,1.0
CTRL_RANDOM_RELATIONAL_GRAPH,80,0.075,0.0,0.16108807245916001,0.0,0.75
CF_PASSIVE_ARCHIVE,80,0.325,0.25,0.37399654774010815,0.0,1.75
CF_TERMINAL_BRANCH,80,0.79375,0.75,0.58295270885338,0.0,2.25
CF_DISSOLUTION_PATH,80,0.3625,0.25,0.3533295517670419,0.0,1.5
H_AUTHENTIC,80,0.225,0.25,0.29926069241602127,0.0,1.5
H_TOPOLOGY_DAMAGE,80,0.34375,0.25,0.36968811692759124,0.0,1.5
H_DIRECTION_REVERSE,80,0.15,0.0,0.25962485106618594,0.0,1.25
H_COUNTERFACTUAL,80,0.228125,0.125,0.3034447533809579,0.0,1.5
