contrast,condition_A,condition_B,N,mean_A,mean_B,difference,permutation_p,wilcoxon_stat,wilcoxon_p,holm_adjusted_p,HOLM_GATE
TOPOLOGY,A100_AUTHENTIC,T_TOPOLOGY_SHUFFLED,80,1.8,2.259375,-0.459375,0.999080018399632,889.0,0.9994262674480588,1.0,False
ORDER,A100_AUTHENTIC,O_ORDER_SHUFFLED,80,1.8,0.275,1.525,1.999960000799984e-05,2907.0,3.547530516406318e-14,0.000379992400151997,True
DIRECTION,A100_AUTHENTIC,R_DIRECTION_REVERSED,80,1.8,0.278125,1.521875,1.999960000799984e-05,3152.0,7.244712419914929e-15,0.000379992400151997,True
META_CONTROL,A100_AUTHENTIC,M_META_CONTROL_ABLATED,80,1.8,0.875,0.925,1.999960000799984e-05,2359.5,2.067068358167611e-09,0.000379992400151997,True
PRESERVATION,A100_AUTHENTIC,P_PRESERVATION_ABLATED,80,1.8,0.9375,0.8625,1.999960000799984e-05,2402.5,3.3822070167569458e-09,0.000379992400151997,True
COMPRESSION,A100_AUTHENTIC,C_COMPRESSION_ABLATED,80,1.8,1.628125,0.171875,0.08485830283394333,1563.0,0.08046392413135456,0.5091498170036599,False
RECURSION_SPECIFICITY,A100_AUTHENTIC,CTRL_RECURSION,80,1.8,0.265625,1.534375,1.999960000799984e-05,3081.0,7.938335422969115e-15,0.000379992400151997,True
COMPLEXITY_SPECIFICITY,A100_AUTHENTIC,CTRL_COMPLEXITY,80,1.8,0.946875,0.853125,1.999960000799984e-05,2422.5,1.1604245234373622e-08,0.000379992400151997,True
LINEAR_SPECIFICITY,A100_AUTHENTIC,CTRL_MATCHED_LINEAR_CHAIN,80,1.8,0.09375,1.70625,1.999960000799984e-05,3158.5,5.668037629732317e-15,0.000379992400151997,True
RANDOM_GRAPH_SPECIFICITY,A100_AUTHENTIC,CTRL_RANDOM_RELATIONAL_GRAPH,80,1.8,0.075,1.725,1.999960000799984e-05,3240.0,3.6723805857477634e-15,0.000379992400151997,True
COUNTERFACTUAL_ARCHIVE,A100_AUTHENTIC,CF_PASSIVE_ARCHIVE,80,1.8,0.325,1.475,1.999960000799984e-05,3065.0,1.4131735016187633e-14,0.000379992400151997,True
COUNTERFACTUAL_BRANCH,A100_AUTHENTIC,CF_TERMINAL_BRANCH,80,1.8,0.79375,1.00625,1.999960000799984e-05,2600.0,3.00910119390593e-11,0.000379992400151997,True
COUNTERFACTUAL_DISSOLUTION,A100_AUTHENTIC,CF_DISSOLUTION_PATH,80,1.8,0.3625,1.4375,1.999960000799984e-05,3068.0,1.3020363522545512e-14,0.000379992400151997,True
HELDOUT_TOPOLOGY,H_AUTHENTIC,H_TOPOLOGY_DAMAGE,80,0.225,0.34375,-0.11875,0.989480210395792,526.5,0.9923069209850172,1.0,False
HELDOUT_DIRECTION,H_AUTHENTIC,H_DIRECTION_REVERSE,80,0.225,0.15,0.075,0.04905901881962361,745.5,0.024463734474521926,0.34341313173736526,False
HELDOUT_COUNTERFACTUAL,H_AUTHENTIC,H_COUNTERFACTUAL,80,0.225,0.228125,-0.003125,0.5594888102237955,531.5,0.540445938891866,1.0,False
PERTURB_MILD,AP1_AUTHENTIC_MILD_PERTURB,SP1_SHUFFLED_MILD_PERTURB,80,1.88125,1.54375,0.3375,0.00625987480250395,1816.0,0.005115297068336847,0.0500789984200316,False
PERTURB_MEDIUM,AP2_AUTHENTIC_MEDIUM_PERTURB,SP2_SHUFFLED_MEDIUM_PERTURB,80,0.7625,1.146875,-0.384375,1.0,325.0,0.9999987106901563,1.0,False
PERTURB_STRONG,AP3_AUTHENTIC_STRONG_PERTURB,SP3_SHUFFLED_STRONG_PERTURB,80,1.05625,1.44375,-0.3875,0.999940001199976,813.5,0.9997757769574822,1.0,False
