condition,combo_index,heldout_from_fitting,DIRECTION,ORDER,META_CONTROL,PRESERVATION,TERMINAL,seed,rep,response_id,response_sha256,latency_seconds,OUTPUT_TOKENS,WORD_COUNT,SENTENCE_COUNT,TYPE_TOKEN_RATIO,RETURN,RECURRENCE,GENERATIVE_REUSE,COMPRESSION,TRANSFORMATION,CAUSAL,TRAJECTORY,CONTROL,RELATIONAL,TOTAL
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.0,-1,0,0,resp_0bcb67ce95cd4296006aa31650c10087d2ad39d43c520c6118,9662534bc6f6dba117e7966dbafa7069783e1dfc3654948701100e1c32b67abb,5.111565828323364,203.0,177.0,10.0,0.6440677966101694,0.0,0.0,0.0,5.0,1.0,3.0,1.0,5.0,7.0,13.0
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.0,-1,0,1,resp_08268fe834b97bc1006aa31650af1c87d29d85a48ba42c1472,dbf6ac770c73597e59a902211e494578d66efdd14458b779afbd20437028ce9f,4.703526735305786,173.0,151.0,8.0,0.7417218543046358,0.0,1.0,0.0,3.0,4.0,1.0,5.0,3.0,5.0,13.0
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,2.0,-1,0,2,resp_067ea34de7ed526f006aa31650b95c87d288bbfbdd09073a06,a11f217c315c675a9fc4d2c5d9e939e6a6f073e0c075f7657ee710e6528b8a00,5.111579179763794,203.0,179.0,8.0,0.6256983240223464,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,6.0,9.0
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,1.0,-1,1,0,resp_0880ebe05764bd5b006aa31650b21887d29fa4e67bb61780fc,b92f8228cce64315db6b9a8f80cf8478741fc8b519655d2a4eb66cbd67d77a02,5.086852788925171,220.0,196.0,11.0,0.6173469387755102,0.0,0.0,0.0,7.0,3.0,1.0,3.0,3.0,8.0,14.0
D-_O-_M-_P-_T-,0,False,-1,-1,1.0,1.0,-1,1,1,resp_05b8f43655216765006aa31650b03c87d2beee0fa691744f4d,c171ed07a4b90a673c6bc9d59355e94fb2695092435f2a1e70e6b93ab7d332d3,4.738638639450073,115.0,103.0,6.0,0.7669902912621359,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,5.0,7.0
D-_O-_M-_P-_T-,0,False,-1,-1,1.0,2.0,-1,1,2,resp_04b751881e660557006aa31650b2ec87d2b44f93644eb440d6,aed90bef5fc1ae993c4fb8e2a533b4cfe0792cbff64a4be6c075bc3fe6fb115c,5.284189701080322,162.0,143.0,7.0,0.7062937062937062,0.0,0.0,0.0,3.0,5.0,0.0,5.0,1.0,5.0,11.0
D-_O-_M-_P-_T-,0,False,-1,-1,3.0,1.0,-1,2,0,resp_012c99b6f0af5e70006aa31650b41087d2843108845822cbff,f7d2c72c56d0b85b46d3b5a5b2040d5fb77d32ea769f46c1eb1be474289b467b,5.442784309387207,172.0,151.0,9.0,0.6158940397350994,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,6.0,9.0
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,3.0,-1,2,1,resp_05e56391b82aa29c006aa31650b42487d29524d0be23a4d940,a5b48593c8870e96e8d6338bba322b10df64fd19902a4477af8027f6524b096d,5.630124807357788,200.0,179.0,8.0,0.6480446927374302,0.0,0.0,1.0,5.0,2.0,2.0,3.0,4.0,8.0,15.0
D-_O-_M-_P-_T-,0,False,-1,-1,3.0,1.0,-1,2,2,resp_0e3085304fde3189006aa31650c89c87d28efd05ee6c8e2bba,fe2bb74fe1d27501ec7e2ba60fef218a6f084e9301da62c9d0f1ac3822009c0e,4.8275086879730225,158.0,139.0,7.0,0.697841726618705,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,7.0
D-_O-_M-_P-_T-,0,False,-1,-1,2.0,1.0,-1,3,0,resp_04b8c923bed82a0b006aa31650b88087d2ba74ee77c8cdd12c,267f4ee14b36f9704e3abe518097452aaaf8dd3af078138c4eddfadc3fe908b9,4.715186357498169,196.0,175.0,9.0,0.6571428571428571,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,1.0,6.0
