group,edge,count,N,rate
RSOS_MATCHED_RANDOM,K1_TRANSFORM_PRODUCES_STATE,52,5000,0.0104
RSOS_MATCHED_RANDOM,K2_STATE_REENTERS_TRANSFORMATION,16,5000,0.0032
RSOS_MATCHED_RANDOM,K3_RELATION_ACTS_ON_RELATION,13,5000,0.0026
RSOS_MATCHED_RANDOM,K4_RELATION_ACTS_ON_STATE,37,5000,0.0074
RSOS_MATCHED_RANDOM,K5_TRANSFORMATION_PRESERVES_INVARIANT,14,5000,0.0028
RSOS_MATCHED_RANDOM,K6_PRESERVED_STRUCTURE_RECONSTRUCTED,4,5000,0.0008
RSOS_MATCHED_RANDOM,K7_RECONSTRUCTED_STRUCTURE_RETURNS_TO_PROCESS,0,5000,0.0
RSOS_TOP100,K1_TRANSFORM_PRODUCES_STATE,57,100,0.57
RSOS_TOP100,K2_STATE_REENTERS_TRANSFORMATION,23,100,0.23
RSOS_TOP100,K3_RELATION_ACTS_ON_RELATION,1,100,0.01
RSOS_TOP100,K4_RELATION_ACTS_ON_STATE,16,100,0.16
RSOS_TOP100,K5_TRANSFORMATION_PRESERVES_INVARIANT,29,100,0.29
RSOS_TOP100,K6_PRESERVED_STRUCTURE_RECONSTRUCTED,4,100,0.04
RSOS_TOP100,K7_RECONSTRUCTED_STRUCTURE_RETURNS_TO_PROCESS,0,100,0.0
EXTERNAL_MATCHED_RANDOM,K1_TRANSFORM_PRODUCES_STATE,17,5000,0.0034
EXTERNAL_MATCHED_RANDOM,K2_STATE_REENTERS_TRANSFORMATION,7,5000,0.0014
EXTERNAL_MATCHED_RANDOM,K3_RELATION_ACTS_ON_RELATION,4,5000,0.0008
EXTERNAL_MATCHED_RANDOM,K4_RELATION_ACTS_ON_STATE,30,5000,0.006
EXTERNAL_MATCHED_RANDOM,K5_TRANSFORMATION_PRESERVES_INVARIANT,3,5000,0.0006
EXTERNAL_MATCHED_RANDOM,K6_PRESERVED_STRUCTURE_RECONSTRUCTED,0,5000,0.0
EXTERNAL_MATCHED_RANDOM,K7_RECONSTRUCTED_STRUCTURE_RETURNS_TO_PROCESS,0,5000,0.0
EXTERNAL_HARD_NEGATIVE,K1_TRANSFORM_PRODUCES_STATE,143,500,0.286
EXTERNAL_HARD_NEGATIVE,K2_STATE_REENTERS_TRANSFORMATION,96,500,0.192
EXTERNAL_HARD_NEGATIVE,K3_RELATION_ACTS_ON_RELATION,46,500,0.092
EXTERNAL_HARD_NEGATIVE,K4_RELATION_ACTS_ON_STATE,350,500,0.7
EXTERNAL_HARD_NEGATIVE,K5_TRANSFORMATION_PRESERVES_INVARIANT,13,500,0.026
EXTERNAL_HARD_NEGATIVE,K6_PRESERVED_STRUCTURE_RECONSTRUCTED,0,500,0.0
EXTERNAL_HARD_NEGATIVE,K7_RECONSTRUCTED_STRUCTURE_RETURNS_TO_PROCESS,0,500,0.0
