condition,N,mean_fingerprint,median_fingerprint,sd_fingerprint,mean_output_tokens,mean_latency
A0_AUTHENTIC,100,8.035,8.25,2.363447447772816,255.16,4.527882514595985
A1_AUTHENTIC_PARAPHRASE,100,4.145,3.75,2.0841452963173213,252.495,4.6693865740299225
A2_AUTHENTIC_PARAPHRASE,100,3.85,3.75,2.5685058345704066,256.3675,4.5404061150550845
A3_AUTHENTIC_PARAPHRASE,100,5.0075,4.75,1.9647959130143717,257.88,4.516867292523384
D_DIRECTION_REVERSED,100,0.315,0.0,0.5791189755816916,256.75,4.520653225779533
O_ORDER_SHUFFLED,100,3.695,3.75,2.395170857025326,254.3925,4.514333111643791
M_META_CONTROL_ABLATED,100,6.61,6.625,1.7937602285633827,238.98,4.4329689675569535
P_PRESERVATION_ABLATED,100,4.09,4.0,1.7514496160540152,250.24,4.578353753685951
T_TERMINAL_COUNTERFACTUAL,100,3.11,2.75,2.173160431865596,252.9375,4.559262274503708
C_COMPRESSION_ABLATED,100,7.9375,8.0,1.998539555159055,252.83,4.767882381081581
R_RECURSION_CONTROL,100,1.0225,0.75,1.1124269355192218,253.5,4.4579840832948685
X_COMPLEXITY_CONTROL,100,5.8075,5.5,2.1319642268683743,259.35,4.499168742895126
L_LINEAR_CONTROL,100,1.0275,0.75,0.9251637856633983,231.685,4.089150706529617
G_RANDOM_GRAPH_CONTROL,100,0.0475,0.0,0.19034458386321526,260.0,4.330298542380333
DM_DIRECTION_META_DAMAGE,100,0.2875,0.0,0.6698550649810808,256.725,4.365474386811257
DP_DIRECTION_PRESERVATION_DAMAGE,100,1.3625,1.0,1.2877506620758414,254.7925,4.3763802498579025
OP_ORDER_PRESERVATION_DAMAGE,100,0.7825,0.0,1.238408374903167,254.09,4.282504092454911
PT_PRESERVATION_TERMINAL_DAMAGE,100,1.1925,0.875,1.1447370788954028,248.1725,4.381743847131729
H_AUTHENTIC_HELDOUT,100,3.5675,3.25,2.2439185489998192,254.07,4.449047197699547
H_DAMAGED_HELDOUT,100,2.7025,2.5,1.2425002286445739,241.7075,4.24410416662693
